acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
fingerd 0 7.5 34 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 68 0 60 2 0 2 2 2 0 0 0 3 0 0 0 0 0 0 0
gethostbyname 3 1.5 4.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 8 5 0 2 5 2 0 0 0 4 0 0 0 0 0 0 0
hdrs 0 1 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 4 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
main 0 1 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 6 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
route 0 8.66666666666667 47.8888888888889 0 1.55555555555556 0 0 0 0 1 0 0 0 0 0 0 0 1 431 0 157 4 0 9 4 9 0 0 0 33 0 0 0 1 0 0 0
announce 1 5.33333333333333 39.3333333333333 0 2.33333333333333 0 0 0 0 2 0 0 0 0 0 0 0 1 118 0 62 2 0 3 2 3 0 0 0 9 0 0 0 2 0 0 0
print 5 2.5 16 0 2 0 0 0 0 3 0 0 0 0 0 0 0 1 32 0 18 3 0 2 3 2 0 0 0 7 0 0 0 3 0 0 0
process 1 5.4 30.2 0 1.2 0 0 0 0 5 0 0 0 0 0 0 0 1 151 0 70 1 0 5 1 5 0 0 0 18 0 0 0 5 0 0 0
table 7 4 16.875 0 0.75 0 0 0 0 5 0 0 0 0 0 0 0 3 135 0 36 9 0 8 9 8 0 0 0 43 0 0 0 15 0 0 0
talkd 4 5.5 25 0 1 0 0 0 0 6 0 0 0 0 0 0 0 1 50 0 43 8 0 2 8 2 0 0 0 11 0 0 0 6 0 0 0
stdarg 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
newsolver 0 4.16091954022988 19.7126436781609 0 1.50574712643678 0 0 0 0 6 0 0 0 0 0 0 0 4 1715 0 143 40 0 87 40 87 0 0 0 738 0 0 0 24 0 0 0
