acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
ApplyReplacements 4 3.66666666666667 22.2222222222222 0 2.22222222222222 0 0 0 0 5 0 0 0 0 0 0 0 6 200 0 44 0 0 9 0 9 0 0 0 22 0 0 0 30 0 0 0
ClangApplyReplacementsMain 0 2 12.25 0 2.75 0 0 0 0 8 0 0 0 0 0 0 0 3 147 0 79 1 0 12 1 12 0 0 0 42 0 0 0 24 0 0 0
'@75::ScopedFileRemover' 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AddOverride 0 1 1 0 2.5 0 0 0 0 8 0 0 0 0 0 0 0 2 2 0 1 1 0 2 1 2 0 0 0 2 0 0 0 16 0 0 0
'@55::AddOverrideFactory' 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AddOverrideTransform 0 1.66666666666667 9.33333333333333 0 1.66666666666667 0 0 0 0 10 0 0 0 1 0 0 0 1 28 0 20 1 0 3 0 3 0 0 0 10 0 0 0 10 0 0 0
AddOverrideFixer 0 3.66666666666667 17 0 1.66666666666667 0 0 0 0 10 0 0 0 1 0 0 0 2 51 0 46 4 0 3 0 3 0 0 0 10 0 0 0 20 0 0 0
AddOverrideMatchers 2 1 5 0 0 0 0 0 0 10 0 0 0 0 0 0 0 1 5 0 5 1 0 1 1 1 0 0 0 2 0 0 0 10 0 0 0
CustomMatchers 0 3 13 0 2 0 0 0 0 10 0 0 0 0 0 0 0 1 13 0 13 0 0 1 0 1 0 0 0 1 0 0 0 10 0 0 0
IncludeDirectives 0 3.9 21.8 0 1.8 0 0 0 0 11 0 0 0 0 0 0 0 3 218 0 42 5 0 10 0 6 0 0 0 42 0 0 0 33 0 0 0
