acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
cmdlineparser 0 3.66666666666667 15.3333333333333 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 46 0 20 0 0 3 0 3 0 0 0 4 0 0 0 0 0 0 0
CmdLineParser 97 13.1818181818182 82.6363636363636 0 0.454545454545455 0 0 0 0 8 0 0 0 0 0 0 0 3 909 0 663 7 0 11 0 8 0 0 0 84 0 0 0 24 0 0 0
cppcheckexecutor 0 76 4 0 1 0 0 0 0 9 0 0 0 0 0 0 0 1 4 0 4 0 0 1 0 1 0 0 0 2 0 0 0 9 0 0 0
CppCheckExecutor 2 4.86666666666667 25.7333333333333 0 1.73333333333333 0 0 0 0 17 0 0 0 1 0 0 0 5 386 0 121 6 0 15 0 11 0 0 0 94 0 0 0 85 0 0 0
filelister 0 9 44 0 5 0 0 0 0 18 0 0 0 0 0 0 0 1 44 0 44 0 0 1 0 1 0 0 0 2 0 0 0 18 0 0 0
FileLister 0 1.8 6.8 0 2.8 0 0 0 0 18 0 0 0 0 0 0 0 1 34 0 10 0 0 5 0 5 0 0 0 9 0 0 0 18 0 0 0
cli/main 0 2 28 0 2 0 0 0 0 20 0 0 0 0 0 0 0 1 28 0 28 0 0 1 0 1 0 0 0 3 0 0 0 20 0 0 0
gui/main 0 2.5 23 0 0.75 0 0 0 0 21 0 0 0 0 0 0 0 1 92 0 40 0 0 4 0 4 0 0 0 9 0 0 0 21 0 0 0
PathMatch 28 5 18.3333333333333 0 1.33333333333333 0 0 0 0 21 0 0 0 0 0 0 0 1 55 0 43 2 0 3 0 2 0 0 0 8 0 0 0 21 0 0 0
ThreadExecutor 2 6.6 4.1 0 1 0 0 0 0 21 0 0 0 1 0 0 0 3 41 0 12 4 0 10 0 8 0 0 0 37 0 0 0 63 0 0 0
democlient 0 5.5 29.5 0 1 0 0 0 0 22 0 0 0 0 0 0 0 1 59 0 43 0 0 2 0 2 0 0 0 4 0 0 0 22 0 0 0
CppcheckExecutor 3 1.625 7 0 1.5 0 0 0 0 23 0 0 0 1 0 0 0 6 56 0 12 5 0 8 1 8 0 0 0 26 0 0 0 138 0 0 0
tinyxml2 0 1.5 10.5 0 2 0 0 0 0 23 0 0 0 0 0 0 0 2 21 0 15 14 0 2 14 2 0 0 0 2 0 0 0 46 0 0 0
tinyxml2::Entity 10 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
tinyxml2::LongFitsIntoSizeTMinusOne 0 1 4 0 1 0 0 0 0 23 0 0 0 0 0 0 0 2 8 0 4 0 0 2 0 2 0 0 0 2 0 0 0 46 0 0 0
tinyxml2::StrPair 22 2.78571428571429 15.8571428571429 0 0.928571428571429 0 0 0 0 25 0 0 0 0 0 0 0 4 222 0 97 3 0 14 0 10 0 0 0 42 0 0 0 100 0 0 0
tinyxml2::DynArray 4 1 4.5625 0 0.4375 0 0 0 0 25 0 0 0 0 0 0 0 16 73 0 14 4 0 16 0 13 0 0 0 16 0 0 0 400 0 0 0
tinyxml2::MemPool 6 1 1 0 0.142857142857143 0 0 0 0 25 0 0 0 0 0 0 0 7 7 0 1 0 1 7 0 7 0 0 0 7 0 0 0 175 0 0 0
tinyxml2::MemPoolT 0 1 5.75 0 0.333333333333333 0 0 0 0 25 0 0 0 1 0 0 0 12 69 0 23 6 0 12 0 10 0 0 0 12 0 0 0 300 0 0 0
tinyxml2::MemPoolT::Chunk 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
tinyxml2::MemPoolT::Block 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
tinyxml2::XMLVisitor 7 1 2.77777777777778 0 1 0 0 0 0 25 0 0 0 0 0 0 0 9 25 0 3 0 1 9 0 9 0 0 0 9 0 0 0 225 0 0 0
tinyxml2::XMLUtil 51 2.6 13.05 0 2.1 0 0 0 0 25 0 0 0 0 0 0 0 20 261 0 94 0 0 20 0 20 0 0 0 30 0 0 0 500 0 0 0
tinyxml2::XMLNode 60 1.86111111111111 8.86111111111111 0 0.638888888888889 0 0 0 0 27 0 0 0 0 0 0 0 17 319 0 86 8 6 36 0 28 0 0 0 125 0 0 0 459 0 0 0
tinyxml2::XMLText 1 1.54545454545455 5.27272727272727 0 0.818181818181818 0 0 0 0 28 0 0 0 1 0 0 0 10 58 0 26 1 0 11 0 6 0 0 0 25 0 0 0 280 0 0 0
tinyxml2::XMLComment 0 1.22222222222222 4.44444444444444 0 0.888888888888889 0 0 0 0 28 0 0 0 1 0 0 0 9 40 0 10 0 0 9 0 4 0 0 0 21 0 0 0 252 0 0 0
tinyxml2::XMLDeclaration 0 1.22222222222222 4.55555555555556 0 0.888888888888889 0 0 0 0 28 0 0 0 1 0 0 0 9 41 0 10 0 0 9 0 4 0 0 0 21 0 0 0 252 0 0 0
tinyxml2::XMLUnknown 0 1.22222222222222 4.55555555555556 0 0.888888888888889 0 0 0 0 28 0 0 0 1 0 0 0 9 41 0 11 0 0 9 0 4 0 0 0 21 0 0 0 252 0 0 0
tinyxml2::XMLAttribute 22 1.32 5.56 0 0.64 0 0 0 0 28 0 0 0 0 0 0 0 25 139 0 26 4 0 25 0 19 0 0 0 59 0 0 0 700 0 0 0
tinyxml2::XMLElement 9 1.90384615384615 8.17307692307692 0 1.25 0 0 0 0 29 0 0 0 1 0 0 0 35 425 0 56 2 0 52 0 44 0 0 0 164 0 0 0 1015 0 0 0
tinyxml2::XMLDocument 30 1.74285714285714 11.0857142857143 0 0.8 0 0 0 0 29 0 0 0 1 0 0 0 17 388 0 72 12 0 35 0 32 0 0 0 107 0 0 0 493 0 0 0
tinyxml2::XMLHandle 0 1 3.05882352941176 0 0.470588235294118 0 0 0 0 29 0 0 0 0 0 0 0 16 52 0 4 1 0 17 0 17 0 0 0 19 0 0 0 464 0 0 0
tinyxml2::XMLConstHandle 0 1 3.05882352941176 0 0.470588235294118 0 0 0 0 29 0 0 0 0 0 0 0 16 52 0 4 1 0 17 0 17 0 0 0 19 0 0 0 464 0 0 0
tinyxml2::XMLPrinter 2 1.82857142857143 9.17142857142857 0 1.22857142857143 0 0 0 0 31 0 0 0 1 0 0 0 6 321 0 48 11 0 35 0 30 0 0 0 141 0 0 0 186 0 0 0
AboutDialog 0 2 14 0 3 0 0 0 0 31 0 0 0 1 0 0 0 1 14 0 14 1 0 1 0 1 0 0 0 2 0 0 0 31 0 0 0
Application 8 1 3.25 0 0.75 0 0 0 0 31 0 0 0 0 0 0 0 5 26 0 7 3 0 8 0 8 0 0 0 14 0 0 0 155 0 0 0
ApplicationDialog 0 1 10.5 0 1.5 0 0 0 0 32 0 0 0 1 0 0 0 2 21 0 17 2 0 2 0 2 0 0 0 6 0 0 0 64 0 0 0
ApplicationList 6 2.57142857142857 12.5714285714286 0 0.642857142857143 0 0 0 0 32 0 0 0 1 0 0 0 2 176 0 58 2 0 14 0 11 0 0 0 56 0 0 0 64 0 0 0
CheckStatistics 2 4.5 15.5 0 0.75 0 0 0 0 32 0 0 0 1 0 0 0 1 62 0 27 6 0 4 0 4 0 0 0 23 0 0 0 32 0 0 0
CheckThread 0 1.6 8.4 0 0.4 0 0 0 0 33 0 0 0 1 0 0 0 3 42 0 21 3 0 5 0 5 0 0 0 15 0 0 0 99 0 0 0
common 4 2 9 0 1.5 0 0 0 0 33 0 0 0 0 0 0 0 2 18 0 13 0 0 2 0 2 0 0 0 2 0 0 0 66 0 0 0
cppchecklibrarydata 0 8.9 30.3 0 1.7 0 0 0 0 43 0 0 0 0 0 0 0 8 303 0 87 0 0 10 0 10 0 0 0 84 0 0 0 344 0 0 0
CppcheckLibraryData 2 5 21.25 0 0.25 0 0 0 0 43 0 0 0 0 0 0 0 2 85 0 43 5 0 4 5 4 0 0 0 26 0 0 0 86 0 0 0
CppcheckLibraryData::Container 5 1 1 0 0 0 0 0 0 43 0 0 0 0 0 0 0 1 1 0 1 12 0 1 12 1 0 0 0 1 0 0 0 43 0 0 0
CppcheckLibraryData::Container::@6 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::Container::Function 3 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::Define 2 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::Function 2 1 3 0 0 0 0 0 0 43 0 0 0 0 0 0 0 1 3 0 3 16 0 1 16 1 0 0 0 1 0 0 0 43 0 0 0
CppcheckLibraryData::Function::@7 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::Function::Arg 5 1 3 0 0 0 0 0 0 43 0 0 0 0 0 0 0 1 3 0 3 10 0 1 10 1 0 0 0 1 0 0 0 43 0 0 0
CppcheckLibraryData::Function::Arg::MinSize 4 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::Function::@8 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::MemoryResource 1 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
CppcheckLibraryData::MemoryResource::Alloc 2 1 1 0 0 0 0 0 0 43 0 0 0 0 0 0 0 1 1 0 1 2 0 1 2 1 0 0 0 1 0 0 0 43 0 0 0
CppcheckLibraryData::PodType 2 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
CsvReport 0 1.16666666666667 6 0 0.333333333333333 0 0 0 0 45 0 0 0 2 0 0 0 5 36 0 13 1 0 6 0 6 0 0 0 14 0 0 0 225 0 0 0
erroritem 0 1 1 0 1 0 0 0 0 45 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 45 0 0 0
GuiSeverity 1 1 3 0 1 0 0 0 0 45 0 0 0 0 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 90 0 0 0
ErrorItem 10 1.66666666666667 9.66666666666667 0 0.333333333333333 0 0 0 0 47 0 0 0 0 0 0 0 2 29 0 13 9 0 3 9 3 0 0 0 14 0 0 0 94 0 0 0
ErrorLine 3 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
FileList 2 2.66666666666667 11.2222222222222 0 0.777777777777778 0 0 0 0 47 0 0 0 0 0 0 0 1 101 0 26 2 0 9 0 6 0 0 0 23 0 0 0 47 0 0 0
FileViewDialog 0 1.66666666666667 16 0 2 0 0 0 0 47 0 0 0 1 0 0 0 2 48 0 35 1 0 3 1 1 0 0 0 5 0 0 0 94 0 0 0
