acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
linux-lock 0 1 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 2 0 1 2 1 0 0 0 2 0 0 0 0 0 0 0
linux-lock2 0 1 4.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 5 2 0 2 2 2 0 0 0 5 0 0 0 0 0 0 0
lock 0 1 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 9 1 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0
lock2 2 1 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 9 1 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0
lock3 0 1 4.33333333333333 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 13 0 7 2 0 3 2 3 0 0 0 8 0 0 0 1 0 0 0
rcs1 0 1.2 4.2 0 1.8 0 0 0 0 1 0 0 0 0 0 0 0 2 21 0 10 0 0 5 0 5 0 0 0 8 0 0 0 2 0 0 0
rcs2 0 1.2 4.2 0 1.8 0 0 0 0 1 0 0 0 0 0 0 0 2 21 0 10 0 0 5 0 5 0 0 0 8 0 0 0 2 0 0 0
rcs3 0 1.2 4.2 0 1.8 0 0 0 0 1 0 0 0 0 0 0 0 2 21 0 10 0 0 5 0 5 0 0 0 8 0 0 0 2 0 0 0
taint-cast 0 1 9 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 9 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0
taint-const-subtyping 56 1 5 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 15 0 13 0 0 3 0 3 0 0 0 5 0 0 0 1 0 0 0
taint-poly 4 1 4.5 0 1.5 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 8 0 0 2 0 2 0 0 0 3 0 0 0 1 0 0 0
taint-varargs 3 1 4 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 8 0 7 0 0 2 0 2 0 0 0 3 0 0 0 1 0 0 0
taint0 34 1 3 0 1.33333333333333 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 7 0 0 3 0 3 0 0 0 5 0 0 0 1 0 0 0
taint1 0 1 3 0 1.33333333333333 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 7 0 0 3 0 3 0 0 0 5 0 0 0 1 0 0 0
taint2 1 1 2.33333333333333 0 1.16666666666667 0 0 0 0 1 0 0 0 0 0 0 0 1 14 0 9 0 0 6 0 6 0 0 0 11 0 0 0 1 0 0 0
y2k1 0 1 3 0 1.33333333333333 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 5 0 0 3 0 3 0 0 0 5 0 0 0 1 0 0 0
y2k2 0 1 3 0 1.33333333333333 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 5 0 0 3 0 3 0 0 0 5 0 0 0 1 0 0 0
y2k3 0 1 8 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 8 0 8 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0
y2k4 0 1 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 6 0 5 0 0 2 0 2 0 0 0 2 0 0 0 2 0 0 0
alloca 0 4 15 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 15 0 15 1 0 1 1 1 0 0 0 5 0 0 0 2 0 0 0
analyze 52 6.72058823529412 48.0294117647059 0 1.97058823529412 0 0 0 0 26 0 0 0 0 0 0 0 7 3266 0 615 59 0 68 59 68 0 0 0 968 0 0 0 182 0 0 0
array 3 1.4 9.6 0 1.8 0 0 0 0 26 0 0 0 0 0 0 0 1 48 0 22 6 0 5 6 5 0 0 0 23 0 0 0 26 0 0 0
AST 14 2.11111111111111 12.3333333333333 0 2.27777777777778 0 0 0 0 29 0 0 0 0 0 0 0 8 222 0 71 3 0 18 3 18 0 0 0 58 0 0 0 232 0 0 0
AST_defs 280 1 1 0 2.8515625 0 0 0 0 29 0 0 0 0 0 0 0 256 256 0 1 685 0 256 685 256 0 0 0 256 0 0 0 7424 0 0 0
AST_types 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AST_utils 9 1 10.35 0 1.55 0 0 0 0 31 0 0 0 0 0 0 0 18 207 0 28 0 0 20 0 20 0 0 0 79 0 0 0 558 0 0 0
bitset 4 1.94736842105263 9.52631578947368 0 1.78947368421053 0 0 0 0 31 0 0 0 0 0 0 0 2 181 0 18 1 0 19 1 19 0 0 0 41 0 0 0 62 0 0 0
bool 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
buffer 11 1.5 12.6666666666667 0 1.83333333333333 0 0 0 0 31 0 0 0 0 0 0 0 1 76 0 44 4 0 6 4 6 0 0 0 22 0 0 0 31 0 0 0
builtins 0 1 9 0 1 0 0 0 0 31 0 0 0 0 0 0 0 1 9 0 9 6 0 1 6 1 0 0 0 8 0 0 0 31 0 0 0
c-gperf 11 2 4 0 1.66666666666667 0 0 0 0 31 0 0 0 0 0 0 0 3 12 0 10 7 0 3 7 3 0 0 0 5 0 0 0 93 0 0 0
c-lex 19 9.52941176470588 84.7647058823529 0 1.23529411764706 0 0 0 0 35 0 0 0 0 0 0 0 4 1441 0 682 14 0 17 14 17 0 0 0 162 0 0 0 140 0 0 0
c-parse 116 1 64 0 1 0 0 0 0 35 0 0 0 0 0 0 0 1 64 0 64 63 0 1 63 1 0 0 0 9 0 0 0 35 0 0 0
c-parse.tab 0 94.2 478 0 0.8 0 0 0 0 37 0 0 0 0 0 0 0 5 2390 0 2306 19 0 5 19 5 0 0 0 170 0 0 0 185 0 0 0
color 0 4 8 0 2 0 0 0 0 37 0 0 0 0 0 0 0 1 8 0 8 0 0 1 0 1 0 0 0 1 0 0 0 37 0 0 0
compiler 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
config 1 1 11 0 2 0 0 0 0 37 0 0 0 0 0 0 0 1 11 0 11 0 0 1 0 1 0 0 0 2 0 0 0 37 0 0 0
constants 31 1.13333333333333 13.9333333333333 0 2 0 0 0 0 39 0 0 0 0 0 0 0 7 418 0 87 0 0 30 0 30 0 0 0 223 0 0 0 273 0 0 0
containers 6 1 1.28125 0 1.90234375 0 0 0 0 40 0 0 0 0 0 0 0 194 328 0 13 47 0 256 47 256 0 0 0 644 0 0 0 7760 0 0 0
cqual 0 2 20 0 1 0 0 0 0 40 0 0 0 0 0 0 0 1 20 0 20 0 0 1 0 1 0 0 0 4 0 0 0 40 0 0 0
cstring 41 1 7.5 0 2.5 0 0 0 0 40 0 0 0 0 0 0 0 2 15 0 11 2 0 2 2 2 0 0 0 6 0 0 0 80 0 0 0
cval 25 5.41463414634146 19.9024390243902 0 1.58536585365854 0 0 0 0 40 0 0 0 0 0 0 0 9 816 0 105 13 0 41 13 41 0 0 0 265 0 0 0 360 0 0 0
dd_list 33 1 10.5 0 2.07142857142857 0 0 0 0 40 0 0 0 0 0 0 0 3 147 0 20 6 0 14 6 14 0 0 0 50 0 0 0 120 0 0 0
decls 109 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 71 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0
effect 53 4.72093023255814 26.3604651162791 0 2.15116279069767 0 0 0 0 40 0 0 0 0 0 0 0 3 2267 0 140 144 0 86 144 86 0 0 0 827 0 0 0 120 0 0 0
env 16 1 7.28571428571429 0 2.14285714285714 0 0 0 0 40 0 0 0 0 0 0 0 2 51 0 13 3 0 7 3 7 0 0 0 24 0 0 0 80 0 0 0
eq_expressions 1 1.66666666666667 35 0 2 0 0 0 0 40 0 0 0 0 0 0 0 1 105 0 90 0 0 3 0 3 0 0 0 29 0 0 0 40 0 0 0
errors 81 1.60714285714286 9.32142857142857 0 2.78571428571429 0 0 0 0 41 0 0 0 0 0 0 0 1 261 0 21 4 0 28 4 28 0 0 0 105 0 0 0 41 0 0 0
expr 7 6.17647058823529 29.4117647058824 0 2.6078431372549 0 0 0 0 43 0 0 0 0 0 0 0 11 1500 0 139 0 0 51 0 51 0 0 0 565 0 0 0 473 0 0 0
flags 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 70 0 0 70 0 0 0 0 0 0 0 0 0 0 0 0
flow 3 8 65.625 0 2.1 0 0 0 0 43 0 0 0 0 0 0 0 2 2625 0 485 25 0 40 25 40 0 0 0 659 0 0 0 86 0 0 0
hash 106 2.41176470588235 16.6470588235294 0 2.41176470588235 0 0 0 0 44 0 0 0 0 0 0 0 1 283 0 38 20 0 17 20 17 0 0 0 117 0 0 0 44 0 0 0
input 21 1 10 0 2 0 0 0 0 44 0 0 0 0 0 0 0 1 10 0 10 12 0 1 12 1 0 0 0 15 0 0 0 44 0 0 0
iquals-lex 3 3.61764705882353 22.5882352941176 0 1.02941176470588 0 0 0 0 45 0 0 0 0 0 0 0 16 768 0 248 35 0 34 35 34 0 0 0 174 0 0 0 720 0 0 0
iquals.tab 0 8.58333333333333 118.583333333333 0 1.75 0 0 0 0 45 0 0 0 0 0 0 0 12 1423 0 682 77 0 12 77 12 0 0 0 94 0 0 0 540 0 0 0
lattice-lex 10 4.23529411764706 25.7058823529412 0 1.02941176470588 0 0 0 0 45 0 0 0 0 0 0 0 18 874 0 354 35 0 34 35 34 0 0 0 148 0 0 0 810 0 0 0
lattice-parse.tab 0 21.75 162.25 0 1 0 0 0 0 45 0 0 0 0 0 0 0 4 649 0 624 45 0 4 45 4 0 0 0 29 0 0 0 180 0 0 0
alloc 3 4 32.3333333333333 0 7.33333333333333 0 0 0 0 46 0 0 0 0 0 0 0 2 97 0 42 0 0 3 0 3 0 0 0 24 0 0 0 92 0 0 0
pages 8 2.63157894736842 17.1578947368421 0 1.73684210526316 0 0 0 0 46 0 0 0 0 0 0 0 1 326 0 48 11 0 19 11 19 0 0 0 91 0 0 0 46 0 0 0
profile 2 2.21052631578947 11.8421052631579 0 3 0 0 0 0 46 0 0 0 0 0 0 0 1 225 0 26 16 0 19 16 19 0 0 0 123 0 0 0 46 0 0 0
regions 57 1.60714285714286 8.32142857142857 0 2.03571428571429 0 0 0 0 47 0 0 0 0 0 0 0 3 233 0 31 15 0 28 15 28 0 0 0 91 0 0 0 141 0 0 0
linkage 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
