acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
edu::umd::cs::findbugs::anttask::AbstractFindBugsTask 26 1.88461538461538 8.23076923076923 0 0.576923076923077 0 0 0 0 1 0 0 0 1 0 0 0 5 214 0 53 16 7 26 4 15 0 0 0 70 0 0 0 5 0 0 0
edu::umd::cs::findbugs::anttask::AbstractFindBugsTask::SystemProperty 2 1 2.8 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 3 14 0 3 2 0 5 0 5 0 0 0 9 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::ComputeBugHistoryTask 0 1.69230769230769 5.76923076923077 0 0.615384615384615 0 0 0 0 1 0 0 0 2 0 0 0 9 75 0 26 8 0 13 0 9 0 0 0 27 0 0 0 9 0 0 0
edu::umd::cs::findbugs::anttask::ConvertXmlToTextTask 0 2 6.61538461538461 0 0.692307692307692 0 0 0 0 2 0 0 0 2 0 0 0 3 86 0 25 6 0 13 0 9 0 0 0 37 0 0 0 6 0 0 0
edu::umd::cs::findbugs::anttask::DataFile 2 1 2.66666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 8 0 3 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::FilterBugsTask 0 1.25 4.85 0 0.95 0 0 0 0 2 0 0 0 2 0 0 0 35 194 0 38 29 0 40 0 34 0 0 0 89 0 0 0 70 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsTask 0 2.41304347826087 8.97826086956522 0 0.826086956521739 0 0 0 0 4 0 0 0 2 0 0 0 18 413 0 166 35 0 46 0 42 0 0 0 124 0 0 0 72 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsTask::ClassLocation 1 1 3 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 3 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsViewerTask 0 1.86666666666667 8.33333333333333 0 0.733333333333333 0 0 0 0 1 0 0 0 1 0 0 0 4 125 0 74 11 0 15 0 14 0 0 0 39 0 0 0 4 0 0 0
edu::umd::cs::findbugs::anttask::MineBugHistoryTask 0 1.53846153846154 5.38461538461539 0 0.769230769230769 0 0 0 0 2 0 0 0 2 0 0 0 9 70 0 11 5 0 13 0 8 0 0 0 29 0 0 0 18 0 0 0
edu::umd::cs::findbugs::anttask::SetBugDatabaseInfoTask 0 1.52941176470588 5.17647058823529 0 0.941176470588235 0 0 0 0 1 0 0 0 2 0 0 0 13 88 0 15 9 0 17 0 11 0 0 0 38 0 0 0 13 0 0 0
edu::umd::cs::findbugs::anttask::UnionBugs 0 2.33333333333333 11.6666666666667 0 0.833333333333333 0 0 0 0 0 0 0 0 1 0 0 0 1 70 0 32 2 0 6 0 3 0 0 0 14 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::UnionBugs2 0 1.66666666666667 6 0 0.333333333333333 0 0 0 0 1 0 0 0 2 0 0 0 5 36 0 12 2 0 6 0 3 0 0 0 12 0 0 0 5 0 0 0
