acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::h3xstream::findsecbugs::android::BroadcastDetector 0 1.5 8 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 16 0 13 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::android::ExternalFileAccessDetector 0 2 13 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 26 0 23 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::android::GeolocationDetector 0 2.33333333333333 11 0 0.666666666666667 0 0 0 0 0 0 0 0 1 0 0 0 2 33 0 27 3 0 3 0 3 0 0 0 7 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::android::WebViewJavascriptEnabledDetector 0 2.5 8.5 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 17 0 14 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::android::WebViewJavascriptInterfaceDetector 0 1.5 6.5 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 13 0 10 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::android::WorldWritableDetector 0 2.5 8.5 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 17 0 14 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::ByteCode 0 3.28571428571429 12.1428571428571 0 1.71428571428571 0 0 0 0 0 0 0 0 0 0 0 0 6 85 0 34 0 0 7 0 6 0 0 0 8 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::InterfaceUtils 0 2.5 7.5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 15 0 12 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::JspUtils 0 3 52 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 52 0 52 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::matcher::InstructionDSL 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::matcher::InvokeMatcherBuilder 5 3 8.8 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 1 44 0 14 3 0 5 0 5 0 0 0 14 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::common::StackUtils 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 9 0 3 0 0 3 0 3 0 0 0 4 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::cookie::CookieFlagsDetector 0 4.5 22 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 88 0 68 4 0 4 0 3 0 0 0 10 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::cookie::CookieReadDetector 0 1.5 6.5 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 13 0 10 2 0 2 0 2 0 0 0 5 0 0 0 0 0 0 0
com::h3xstream::findsecbugs::CrlfLogInjectionDetector 0 2 6.5 0 1 0 0 0 0 3 0 0 0 5 0 0 0 2 13 0 9 0 0 2 0 1 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::BadHexadecimalConversionDetector 0 4.33333333333333 17.6666666666667 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 53 0 47 3 0 3 0 3 0 0 0 7 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::CipherWithNoIntegrityDetector 0 2.66666666666667 11 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 33 0 26 6 0 3 0 2 0 0 0 11 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::CustomMessageDigestDetector 0 1.33333333333333 4.33333333333333 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 13 0 8 2 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::DesUsageDetector 0 7.5 26.5 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 53 0 50 3 0 2 0 2 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::EsapiEncryptorDetector 0 1.5 6 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 12 0 9 3 0 2 0 2 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::HazelcastSymmetricEncryptionDetector 0 1.5 6 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 12 0 9 2 0 2 0 2 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::InsufficientKeySizeBlowfishDetector 0 4.25 19.25 0 1 0 0 0 0 3 0 0 0 1 0 0 0 2 77 0 58 2 0 4 0 3 0 0 0 8 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::InsufficientKeySizeRsaDetector 0 5.5 23.5 0 1 0 0 0 0 3 0 0 0 1 0 0 0 2 94 0 75 3 0 4 0 3 0 0 0 8 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::NullCipherDetector 0 1.5 6 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 12 0 9 2 0 2 0 2 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::RsaNoPaddingDetector 0 3 9 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 18 0 15 3 0 2 0 2 0 0 0 6 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::StaticIvDetector 0 4 21.4 0 1.2 0 0 0 0 3 0 0 0 1 0 0 0 2 107 0 82 3 0 5 0 3 0 0 0 11 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::crypto::UnencryptedSocketDetector 0 5 19.5 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 39 0 36 3 0 2 0 2 0 0 0 6 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::WeakMessageDigestDetector 0 7 27 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 81 0 63 3 0 3 0 2 0 0 0 8 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::crypto::WeakTrustManagerDetector 0 3.75 15.5 0 0.75 0 0 0 0 3 0 0 0 1 0 0 0 2 62 0 38 4 0 4 0 3 0 0 0 11 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::JaxRsEndpointDetector 0 2 6.66666666666667 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 20 0 14 3 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::JaxWsEndpointDetector 0 2 6.66666666666667 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 20 0 14 3 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::ServletEndpointDetector 0 6 31 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 62 0 59 9 0 2 0 2 0 0 0 12 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::endpoint::SpringMvcEndpointDetector 0 2 6.66666666666667 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 20 0 14 2 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::Struts1EndpointDetector 0 1.33333333333333 4.66666666666667 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 14 0 8 2 0 3 1 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::Struts2EndpointDetector 0 1.66666666666667 5.33333333333333 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 16 0 10 2 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::TapestryEndpointDetector 0 3 13.3333333333333 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 40 0 34 2 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::endpoint::WicketEndpointDetector 0 1.33333333333333 5.33333333333333 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 2 16 0 10 2 0 3 0 3 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::ExternalConfigurationControlDetector 0 1 4 0 1 0 0 0 0 3 0 0 0 5 0 0 0 1 4 0 4 0 0 1 0 1 0 0 0 3 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::file::FileUploadFilenameDetector 0 1.5 7 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 14 0 11 2 0 2 0 2 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::file::PathTraversalDetector 0 1 5 0 1 0 0 0 0 3 0 0 0 5 0 0 0 1 5 0 5 2 0 1 0 1 0 0 0 5 0 0 0 3 0 0 0
com::h3xstream::findsecbugs::FindSecBugsGlobalConfig 13 1.07142857142857 3.21428571428571 0 0.428571428571429 0 0 0 0 3 0 0 0 0 0 0 0 6 45 0 7 7 0 14 0 13 0 0 0 29 0 0 0 18 0 0 0
com::h3xstream::findsecbugs::HttpResponseSplittingDetector 0 2 6.5 0 1 0 0 0 0 3 0 0 0 5 0 0 0 2 13 0 9 0 0 2 0 1 0 0 0 6 0 0 0 6 0 0 0
com::h3xstream::findsecbugs::injection::AbstractInjectionDetector 17 3.23076923076923 13 0 2.69230769230769 0 0 0 0 5 0 0 0 2 0 0 0 2 169 0 26 1 2 13 0 1 0 0 0 50 0 0 0 10 0 0 0
com::h3xstream::findsecbugs::injection::AbstractTaintDetector 38 1.8 6.8 0 2 0 0 0 0 5 0 0 0 1 0 0 0 2 68 0 21 1 1 10 0 3 0 0 0 20 0 0 0 10 0 0 0
com::h3xstream::findsecbugs::injection::BasicInjectionDetector 14 1.5 7.5 0 2.25 0 0 0 0 5 0 0 0 3 0 0 0 2 30 0 14 1 1 4 0 1 0 0 0 10 0 0 0 10 0 0 0
com::h3xstream::findsecbugs::injection::command::CommandInjectionDetector 0 1 5 0 1 0 0 0 0 5 0 0 0 5 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 3 0 0 0 5 0 0 0
com::h3xstream::findsecbugs::injection::ConfiguredBasicInjectionDetector 24 3.5 14.75 0 1.75 0 0 0 0 6 0 0 0 4 0 0 0 2 59 0 22 1 12 4 0 1 0 0 0 9 0 0 0 12 0 0 0
com::h3xstream::findsecbugs::injection::custom::CustomInjectionDetector 0 1 3.5 0 0.5 0 0 0 0 6 0 0 0 4 0 0 0 2 7 0 4 0 0 2 0 2 0 0 0 3 0 0 0 12 0 0 0
com::h3xstream::findsecbugs::injection::custom::CustomInjectionSource 1 2 7.44444444444444 0 1.66666666666667 0 0 0 0 8 0 0 0 1 0 0 0 3 67 0 21 8 0 9 0 5 0 0 0 30 0 0 0 24 0 0 0
