acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
access_desc 1 1 8 0 3 0 0 0 0 2 0 0 0 0 0 0 0 1 16 0 9 5 0 2 5 2 0 0 0 11 0 0 0 2 0 0 0
antic 7 15.1428571428571 52.7619047619048 0 1.14285714285714 0 0 0 0 2 0 0 0 0 0 0 0 1 1108 0 296 15 0 21 15 21 0 0 0 116 0 0 0 2 0 0 0
callee_desc 10 1 8.5 0 3.5 0 0 0 0 2 0 0 0 0 0 0 0 1 17 0 10 6 0 2 6 2 0 0 0 12 0 0 0 2 0 0 0
class_desc 17 4.13333333333333 15.8 0 0.666666666666667 0 0 0 0 6 0 0 0 0 0 0 0 1 237 0 64 16 0 15 16 15 0 0 0 74 0 0 0 6 0 0 0
component_desc 19 1 2 0 2 0 0 0 0 6 0 0 0 0 0 0 0 1 2 0 2 3 2 1 3 1 0 0 0 1 0 0 0 6 0 0 0
constant 11 1 1 0 0.25 0 0 0 0 6 0 0 0 0 0 0 0 3 4 0 1 1 9 4 1 4 0 0 0 6 0 0 0 18 0 0 0
const_class 1 1 2 0 0.5 0 0 0 0 7 0 0 0 1 0 0 0 2 4 0 3 1 0 2 1 2 0 0 0 3 0 0 0 14 0 0 0
const_double 0 1 1 0 0.333333333333333 0 0 0 0 7 0 0 0 1 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 21 0 0 0
const_float 0 1 1 0 0.333333333333333 0 0 0 0 7 0 0 0 1 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 21 0 0 0
const_int 0 1 1.66666666666667 0 0.333333333333333 0 0 0 0 7 0 0 0 1 0 0 0 3 5 0 3 1 0 3 1 3 0 0 0 4 0 0 0 21 0 0 0
const_long 1 1 2 0 0.333333333333333 0 0 0 0 7 0 0 0 1 0 0 0 3 6 0 4 3 0 3 3 3 0 0 0 4 0 0 0 21 0 0 0
const_long::@5 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
const_name_and_type 1 1 3 0 1 0 0 0 0 7 0 0 0 1 0 0 0 3 9 0 4 2 0 3 2 3 0 0 0 4 0 0 0 21 0 0 0
const_ref 1 1 2.5 0 0.5 0 0 0 0 7 0 0 0 1 0 0 0 2 5 0 4 2 0 2 2 2 0 0 0 3 0 0 0 14 0 0 0
const_string 0 1 1.66666666666667 0 0.333333333333333 0 0 0 0 7 0 0 0 1 0 0 0 3 5 0 3 1 0 3 1 3 0 0 0 4 0 0 0 21 0 0 0
const_utf8 0 1 1 0 0.5 0 0 0 0 7 0 0 0 1 0 0 0 2 2 0 1 0 0 2 0 2 0 0 0 2 0 0 0 14 0 0 0
field_desc 5 1 6.5 0 2 0 0 0 0 7 0 0 0 1 0 0 0 2 13 0 9 5 0 2 5 2 0 0 0 2 0 0 0 14 0 0 0
functions 11 1 43.4 0 2.2 0 0 0 0 12 0 0 0 0 0 0 0 5 217 0 144 0 0 5 0 5 0 0 0 24 0 0 0 60 0 0 0
graph_edge 3 5.5 28 0 2 0 0 0 0 15 0 0 0 0 0 0 0 1 56 0 50 5 0 2 5 2 0 0 0 25 0 0 0 15 0 0 0
graph_vertex 4 5 26.3333333333333 0 0.666666666666667 0 0 0 0 16 0 0 0 0 0 0 0 3 79 0 66 8 0 3 8 3 0 0 0 15 0 0 0 48 0 0 0
inlines 10 3.78571428571429 9.28571428571429 0 1.78571428571429 0 0 0 0 17 0 0 0 0 0 0 0 11 130 0 51 0 0 14 0 14 0 0 0 19 0 0 0 187 0 0 0
jlint 5 15.7272727272727 86.1818181818182 0 1.72727272727273 0 0 0 0 19 0 0 0 0 0 0 0 3 948 0 326 12 0 11 12 11 0 0 0 98 0 0 0 57 0 0 0
local_context 15 1.5 4.5 0 3 0 0 0 0 19 0 0 0 0 0 0 0 2 9 0 8 2 6 2 2 2 0 0 0 4 0 0 0 38 0 0 0
ctx_entry_point 0 2.5 21.5 0 2.5 0 0 0 0 22 0 0 0 1 0 0 0 2 43 0 41 0 0 2 0 2 0 0 0 16 0 0 0 44 0 0 0
ctx_split 1 68.5 190.5 0 3 0 0 0 0 22 0 0 0 1 0 0 0 2 381 0 376 6 0 2 6 2 0 0 0 19 0 0 0 44 0 0 0
ctx_merge 0 10.3333333333333 50 0 3 0 0 0 0 22 0 0 0 1 0 0 0 3 150 0 139 2 0 3 2 3 0 0 0 18 0 0 0 66 0 0 0
ctx_pop_var 0 2 13.5 0 3 0 0 0 0 23 0 0 0 1 0 0 0 2 27 0 25 1 0 2 1 2 0 0 0 12 0 0 0 46 0 0 0
ctx_push_var 1 2.5 18 0 4.5 0 0 0 0 23 0 0 0 1 0 0 0 2 36 0 28 4 0 2 4 2 0 0 0 17 0 0 0 46 0 0 0
ctx_reset 0 3 20.5 0 3.5 0 0 0 0 23 0 0 0 1 0 0 0 2 41 0 35 1 0 2 1 2 0 0 0 13 0 0 0 46 0 0 0
locks 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ltLock 0 1 3 0 2 0 0 0 0 23 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 3 0 0 0 23 0 0 0
Locks 3 1.5 7.25 0 0.375 0 0 0 0 23 0 0 0 0 0 0 0 6 58 0 18 2 0 8 0 8 0 0 0 17 0 0 0 138 0 0 0
