acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
c-tokens 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
engine 16 8.70967741935484 34.5483870967742 0 1.54838709677419 0 0 0 0 4 0 0 0 0 0 0 0 1 1071 0 142 50 0 31 50 31 0 0 0 287 0 0 0 4 0 0 0
getopt 1 10.4545454545455 57.4545454545455 0 1.81818181818182 0 0 0 0 4 0 0 0 0 0 0 0 5 632 0 454 14 0 11 14 11 0 0 0 45 0 0 0 20 0 0 0
hash 15 1.66666666666667 8.33333333333333 0 1.55555555555556 0 0 0 0 5 0 0 0 0 0 0 0 7 75 0 26 0 0 9 0 9 0 0 0 19 0 0 0 35 0 0 0
kazhash 4 2.30555555555556 13.0555555555556 0 1.66666666666667 0 0 0 0 5 0 0 0 0 0 0 0 5 470 0 43 21 0 36 21 36 0 0 0 99 0 0 0 25 0 0 0
lex.yyc 0 5.24489795918367 32.1224489795918 0 1.16326530612245 0 0 0 0 6 0 0 0 0 0 0 0 49 1574 0 720 43 0 49 43 49 0 0 0 541 0 0 0 294 0 0 0
lex.yyp 0 5.41304347826087 33.2608695652174 0 1.15217391304348 0 0 0 0 6 0 0 0 0 0 0 0 46 1530 0 720 43 0 46 43 46 0 0 0 525 0 0 0 276 0 0 0
lex.yyperl 0 5.64444444444444 33.7555555555556 0 1.15555555555556 0 0 0 0 6 0 0 0 0 0 0 0 45 1519 0 720 41 0 45 41 45 0 0 0 508 0 0 0 270 0 0 0
lex.yyphp 0 5.05769230769231 30.8653846153846 0 1.15384615384615 0 0 0 0 6 0 0 0 0 0 0 0 52 1605 0 720 46 0 52 46 52 0 0 0 569 0 0 0 312 0 0 0
lex.yyruby 0 5.15686274509804 31.3137254901961 0 1.15686274509804 0 0 0 0 6 0 0 0 0 0 0 0 51 1597 0 720 42 0 51 42 51 0 0 0 549 0 0 0 306 0 0 0
main 13 9.25 60.625 0 1.25 0 0 0 0 8 0 0 0 0 0 0 0 1 485 0 312 4 0 8 4 8 0 0 0 65 0 0 0 8 0 0 0
perl-tokens 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
php-tokens 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
python-tokens 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
report 9 7.71428571428571 48.3928571428571 0 1.78571428571429 0 0 0 0 8 0 0 0 0 0 0 0 1 1355 0 162 39 0 28 39 28 0 0 0 290 0 0 0 8 0 0 0
ruby-tokens 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 24 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0
tokens 7 1 1 0 1 0 0 0 0 8 0 0 0 0 0 0 0 5 5 0 1 32 0 5 32 5 0 0 0 5 0 0 0 40 0 0 0
version 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
vuln_db 10 4.86666666666667 23.2 0 1.53333333333333 0 0 0 0 8 0 0 0 0 0 0 0 1 348 0 131 29 0 15 29 15 0 0 0 117 0 0 0 8 0 0 0
