acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
allocate 5 1.13888888888889 3.05555555555556 0 1.58333333333333 0 0 0 0 4 0 0 0 0 0 0 0 31 110 0 46 12 0 36 12 36 0 0 0 64 0 0 0 124 0 0 0
ast-inspect 1 1 19.9 0 1.2 0 0 0 0 9 0 0 0 0 0 0 0 2 199 0 48 0 0 10 0 10 0 0 0 74 0 0 0 18 0 0 0
ast-model 5 1.39130434782609 10.2173913043478 0 2.17391304347826 0 0 0 0 3 0 0 0 0 0 0 0 1 235 0 34 10 0 23 10 23 0 0 0 84 0 0 0 3 0 0 0
ast-view 1 1 20 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 40 0 21 0 0 2 0 2 0 0 0 6 0 0 0 3 0 0 0
avl 122 2.03846153846154 15.3461538461538 0 1.73076923076923 0 0 0 0 4 0 0 0 0 0 0 0 1 399 0 53 13 0 26 13 26 0 0 0 113 0 0 0 4 0 0 0
bitmap 0 1 7.2 0 2 0 0 0 0 1 0 0 0 0 0 0 0 5 36 0 9 0 0 5 0 5 0 0 0 10 0 0 0 5 0 0 0
c2xml 0 3.57142857142857 19.5 0 2.07142857142857 0 0 0 0 11 0 0 0 0 0 0 0 1 273 0 50 3 0 14 3 14 0 0 0 109 0 0 0 11 0 0 0
char 1 6.66666666666667 42.3333333333333 0 3 0 0 0 0 9 0 0 0 0 0 0 0 1 127 0 53 0 0 3 0 3 0 0 0 30 0 0 0 9 0 0 0
check_64bit_shift 0 4 22 0 1 0 0 0 0 4 0 0 0 0 0 0 0 1 44 0 38 1 0 2 1 2 0 0 0 20 0 0 0 4 0 0 0
check_access_ok_math 0 3.5 15.5 0 1.33333333333333 0 0 0 0 7 0 0 0 0 0 0 0 1 93 0 24 1 0 6 1 6 0 0 0 39 0 0 0 7 0 0 0
check_allocation_funcs 0 4.25 15.5 0 1.5 0 0 0 0 7 0 0 0 0 0 0 0 1 62 0 21 5 0 4 5 4 0 0 0 39 0 0 0 7 0 0 0
check_array_condition 0 2.5 11 0 1 0 0 0 0 5 0 0 0 0 0 0 0 1 22 0 17 1 0 2 1 2 0 0 0 12 0 0 0 5 0 0 0
check_assign_vs_compare 0 2 8 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 16 0 11 1 0 2 1 2 0 0 0 10 0 0 0 3 0 0 0
check_assigned_expr 0 2.14285714285714 10.2857142857143 0 1.28571428571429 0 0 0 0 6 0 0 0 0 0 0 0 1 72 0 26 3 0 7 3 7 0 0 0 48 0 0 0 6 0 0 0
check_balanced 0 3 10.8666666666667 0 1.4 0 0 0 0 8 0 0 0 0 0 0 0 4 163 0 29 3 0 15 3 15 0 0 0 87 0 0 0 32 0 0 0
check_bit_shift 0 3.88888888888889 14.8888888888889 0 1.66666666666667 0 0 0 0 10 0 0 0 0 0 0 0 3 134 0 28 2 0 9 2 9 0 0 0 70 0 0 0 30 0 0 0
check_bogus_irqrestore 0 2 9 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 18 0 10 1 0 2 1 2 0 0 0 9 0 0 0 2 0 0 0
