acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraint 0 1 13 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 4 52 0 21 3 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraint::ApplyTo 0 1 4.5 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 4 18 0 6 6 0 4 3 3 0 0 0 4 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintChecker 0 3.33333333333333 17.5 0 0.833333333333333 0 0 0 0 1 0 0 0 1 0 0 0 1 105 0 31 2 0 6 0 3 0 0 0 23 0 0 0 1 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintDialog 0 1 18.7777777777778 0 0.777777777777778 0 0 0 0 1 0 0 0 1 0 0 0 9 169 0 42 9 0 9 0 0 0 0 0 9 0 0 0 9 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsProperties 0 1 11.75 0 1.5 0 0 0 0 1 0 0 0 0 0 0 0 8 94 0 25 4 0 8 0 0 0 0 0 8 0 0 0 8 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsProperties::SearchRequestor 0 1 3.5 0 0.5 0 0 0 0 1 0 0 0 1 0 0 0 1 7 0 4 1 0 2 0 1 0 0 0 4 0 0 0 1 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage 0 2.375 22.875 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 183 0 35 3 0 8 0 1 0 0 0 27 0 0 0 1 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage::AnnotationConstraintLabelProvider 4 2 9 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 18 0 9 0 4 2 0 2 0 0 0 2 0 0 0 2 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage::AnnotationConstraintNameLabelProvider 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage::AnnotationConstraintPackageLabelProvider 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage::AnnotationConstraintAccessLabelProvider 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::annotations::AnnotationConstraintsPropertyPage::AnnotationConstraintApplyToLabelProvider 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
de::uni_hamburg::informatik::swt::accessanalysis::junitconstraints::AccessDeterminator 2 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 2 0 1 0 2 2 0 2 0 0 0 2 0 0 0 2 0 0 0
