acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
Composition 0 4 13.3333333333333 0 1 0 0 0 0 2 0 0 0 0 0 0 0 3 40 0 17 36 0 3 1 3 0 0 0 16 0 0 0 6 0 0 0
Action 0 9 76.5 0 4 0 0 0 0 1 0 0 0 0 0 0 0 2 153 0 98 8 0 2 0 2 0 0 0 20 0 0 0 2 0 0 0
main 0 10.6666666666667 54.6666666666667 0 1 0 0 0 0 3 0 0 0 0 0 0 0 3 328 0 283 17 0 6 17 6 0 0 0 50 0 0 0 9 0 0 0
StringUtil 6 3.7 13 0 1.3 0 0 0 0 1 0 0 0 0 0 0 0 9 130 0 28 0 0 10 0 10 0 0 0 13 0 0 0 9 0 0 0
SymbolTable 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
yylex 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
BoolSym 0 16.25 79.5 0 8.25 0 0 0 0 1 0 0 0 0 0 0 0 2 318 0 177 12 0 4 3 4 0 0 0 30 0 0 0 2 0 0 0
CompSym 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0
IntAutoSym 0 3 10 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 10 21 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0
IntBoolAutoSym 0 3 10 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 10 12 0 1 5 1 0 0 0 1 0 0 0 0 0 0 0
IntPolySym 0 3.5 11 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 22 0 12 12 0 2 2 2 0 0 0 3 0 0 0 0 0 0 0
lcauto 0 1 31.6829268292683 0 2.75609756097561 0 0 0 0 1 0 0 0 0 0 0 0 41 1299 0 109 0 0 41 0 41 0 0 0 200 0 0 0 41 0 0 0
lcautocode 33 6.98611111111111 38.8472222222222 0 2.47222222222222 0 0 0 0 0 0 0 0 0 0 0 0 3 2797 0 247 63 0 72 63 72 0 0 0 403 0 0 0 0 0 0 0
Symbolic 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
Formula 0 1.75 3.75 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 15 0 12 27 0 4 2 4 0 0 0 4 0 0 0 0 0 0 0
Node 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
TransSys 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0
