acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
benchmarks-esbmc/pthread-atomic/_cs_dekker_safe 15 5.05555555555556 20.2222222222222 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 3 364 0 94 58 0 18 58 18 0 0 0 118 0 0 0 9 0 0 0
benchmarks-cbmc-4.5/pthread-atomic/_cs_dekker_safe 0 4.61111111111111 19.7777777777778 0 1.22222222222222 0 0 0 0 4 0 0 0 0 0 0 0 18 356 0 94 58 0 18 58 18 0 0 0 118 0 0 0 72 0 0 0
_cs_dekker_safe.mod 0 4.72222222222222 19.6666666666667 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 18 354 0 94 58 0 18 58 18 0 0 0 118 0 0 0 54 0 0 0
benchmarks-esbmc/pthread-atomic/_cs_lamport_safe 15 7.11111111111111 24.1666666666667 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 3 435 0 99 59 0 18 59 18 0 0 0 118 0 0 0 9 0 0 0
benchmarks-cbmc-4.5/pthread-atomic/_cs_lamport_safe 0 6 23.0555555555556 0 1.22222222222222 0 0 0 0 4 0 0 0 0 0 0 0 18 415 0 99 59 0 18 59 18 0 0 0 118 0 0 0 72 0 0 0
_cs_lamport_safe.mod 0 6.11111111111111 22.5 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 18 405 0 99 59 0 18 59 18 0 0 0 118 0 0 0 54 0 0 0
benchmarks-esbmc/pthread-atomic/_cs_peterson_safe 15 4.11111111111111 18.5555555555556 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 3 334 0 94 58 0 18 58 18 0 0 0 115 0 0 0 9 0 0 0
benchmarks-cbmc-4.5/pthread-atomic/_cs_peterson_safe 0 3.66666666666667 18.1111111111111 0 1.22222222222222 0 0 0 0 4 0 0 0 0 0 0 0 18 326 0 94 58 0 18 58 18 0 0 0 115 0 0 0 72 0 0 0
_cs_peterson_safe.mod 0 3.77777777777778 18 0 1.22222222222222 0 0 0 0 3 0 0 0 0 0 0 0 18 324 0 94 58 0 18 58 18 0 0 0 115 0 0 0 54 0 0 0
benchmarks-esbmc/pthread-atomic/_cs_read_write_lock_safe 18 3.47619047619048 16.2857142857143 0 1.04761904761905 0 0 0 0 3 0 0 0 0 0 0 0 3 342 0 96 58 0 21 58 21 0 0 0 130 0 0 0 9 0 0 0
