acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
interceptor::Audit 0 4 14 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 14 0 14 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
interceptor::LifeCycleInterceptor 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
interceptor::LifeCycleInterceptorParent 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
interceptor::LoggerInterceptor 0 3 14 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 14 0 14 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
interceptor::LoggerParentInterceptor 1 4 14 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 14 0 14 0 1 1 0 1 0 0 0 2 0 0 0 1 0 0 0
interceptor::Login 0 4 14 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 14 0 14 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
interceptor::PerformanceInterceptor 0 3 12 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
debugging::selectedOutput 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
ejb::EJBObject 2 2.5 6.5 0 0.5 0 0 0 0 1 0 0 0 0 0 0 0 2 13 0 9 0 2 2 0 1 0 0 0 4 0 0 0 2 0 0 0
ejb::Manufacturer 1 1.06896551724138 3.31034482758621 0 0.482758620689655 0 0 0 0 0 0 0 0 1 0 0 0 29 96 0 11 13 0 29 0 29 0 0 0 30 0 0 0 0 0 0 0
ejb::ManufacturerFacade 0 1 3.33333333333333 0 0.666666666666667 0 0 0 0 1 0 0 0 1 0 0 0 2 20 0 4 2 0 6 0 6 0 0 0 13 0 0 0 2 0 0 0
ejb::ManufacturerFacadeRemote 1 1 1 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 1 0 1 6 0 6 0 0 0 6 0 0 0 0 0 0 0
ejb::Product 1 1.0952380952381 3.42857142857143 0 0.476190476190476 0 0 0 0 0 0 0 0 1 0 0 0 21 72 0 11 9 0 21 0 21 0 0 0 22 0 0 0 0 0 0 0
ejb::ProductCode 0 1.14285714285714 3.71428571428571 0 0.571428571428571 0 0 0 0 0 0 0 0 1 0 0 0 14 52 0 11 5 0 14 0 14 0 0 0 15 0 0 0 0 0 0 0
ejb::ProductCodeFacade 0 1 3 0 0.8 0 0 0 0 0 0 0 0 1 0 0 0 1 15 0 3 1 0 5 0 5 0 0 0 10 0 0 0 0 0 0 0
ejb::ProductCodeFacadeRemote 1 1 1 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 5 5 0 1 0 1 5 0 5 0 0 0 5 0 0 0 0 0 0 0
ejb::ProductFacade 0 1.6 6.2 0 0.6 0 0 0 0 3 0 0 0 1 0 0 0 10 62 0 17 3 0 10 0 9 0 0 0 18 0 0 0 30 0 0 0
ejb::ProductFacadeRemote 3 1 1 0 0.714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 7 7 0 1 0 1 7 0 7 0 0 0 7 0 0 0 0 0 0 0
interceptor::ClassInt1 0 2 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
interceptor::ClassInt2 0 2 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
interceptor::MethodInt1 0 2 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
interceptor::MethodInt2 0 2 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
productManager::ProductManager 0 2 14.75 0 1.5 0 0 0 0 1 0 0 0 1 0 0 0 2 59 0 48 1 0 4 0 1 0 0 0 8 0 0 0 2 0 0 0
lqs::core::util::LqsConstant 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0
lqs::core::util::LqsDeclarationPair 0 1 3.4 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 4 2 0 5 0 5 0 0 0 13 0 0 0 0 0 0 0
lqs::core::util::LqsGeneral 0 1 4.66666666666667 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 14 0 5 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
lqs::core::util::LqsPerfTimer 1 1 4.2 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 2 21 0 5 2 0 5 0 5 0 0 0 9 0 0 0 0 0 0 0
lqs::core::util::LqsStringPair 19 1 3.25 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 4 13 0 4 0 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
lqs::core::util::Pair 3 1 3.33333333333333 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 10 0 4 2 1 3 0 3 0 0 0 3 0 0 0 0 0 0 0
lqs::core::util::StringHelper 0 3 9.25 0 1.5 0 0 0 0 1 0 0 0 0 0 0 0 4 37 0 14 0 0 4 0 4 0 0 0 5 0 0 0 4 0 0 0
lqs::declarations::model::AnnotatableNode 5 1 1 0 0.666666666666667 0 0 0 0 0 0 0 0 1 0 0 0 3 3 0 1 0 3 3 0 3 0 0 0 3 0 0 0 0 0 0 0
lqs::declarations::model::AnnotationNode 10 1.8 6.3 0 0.8 0 0 0 0 2 0 0 0 2 0 0 0 4 63 0 15 1 0 10 0 9 0 0 0 31 0 0 0 8 0 0 0
lqs::declarations::model::ClassNode 28 1.82051282051282 7.38461538461539 0 0.743589743589744 0 0 0 0 5 0 0 0 3 0 0 0 35 288 0 36 13 0 39 0 39 0 0 0 70 0 0 0 175 0 0 0
lqs::declarations::model::ClassReferenceNode 0 1 3 0 2 0 0 0 0 2 0 0 0 2 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 3 0 0 0 2 0 0 0
lqs::declarations::model::DecisionScopeNode 0 1.36363636363636 6.09090909090909 0 1 0 0 0 0 5 0 0 0 3 0 0 0 5 67 0 14 3 0 11 0 10 0 0 0 44 0 0 0 25 0 0 0
lqs::declarations::model::DeclarationNode 156 1.82758620689655 5.44827586206897 0 0.517241379310345 0 0 0 0 4 0 0 0 1 0 0 0 9 158 0 17 5 13 29 0 25 0 0 0 65 0 0 0 36 0 0 0
lqs::declarations::model::FileNode 14 1.15384615384615 3.76923076923077 0 0.692307692307692 0 0 0 0 3 0 0 0 2 0 0 0 6 49 0 6 3 0 13 0 13 0 0 0 48 0 0 0 18 0 0 0
lqs::declarations::model::ImportNode 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
