acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
guizmo::layout::AlignedColumn 6 1 1 0 0.285714285714286 0 0 0 0 0 0 0 0 1 0 0 0 7 7 0 1 0 1 7 0 7 0 0 0 7 0 0 0 0 0 0 0
guizmo::layout::AlignmentMark 2 1 1 0 0.25 0 0 0 0 0 0 0 0 1 0 0 0 4 4 0 1 0 1 4 0 4 0 0 0 4 0 0 0 0 0 0 0
guizmo::layout::BorderLayout 3 1 1 0 0.5 0 0 0 0 0 0 0 0 3 0 0 0 10 10 0 1 0 1 10 0 10 0 0 0 10 0 0 0 0 0 0 0
guizmo::layout::CustomLayout 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
guizmo::layout::ElementNode 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
guizmo::layout::FlowLayout 2 1 1 0 0.5 0 0 0 0 0 0 0 0 3 0 0 0 2 2 0 1 0 1 2 0 2 0 0 0 2 0 0 0 0 0 0 0
guizmo::layout::FlowLayoutType 6 1.75 5.25 0 0.75 0 0 0 0 0 0 0 0 1 0 0 0 6 42 0 9 9 0 8 5 7 0 0 0 10 0 0 0 0 0 0 0
guizmo::layout::FormLayout 8 1 1 0 0.25 0 0 0 0 0 0 0 0 3 0 0 0 4 4 0 1 0 1 4 0 4 0 0 0 4 0 0 0 0 0 0 0
guizmo::layout::Gap 2 1 1 0 0.333333333333333 0 0 0 0 0 0 0 0 2 0 0 0 3 3 0 1 0 1 3 0 3 0 0 0 3 0 0 0 0 0 0 0
guizmo::layout::GapType 5 1.75 5.25 0 0.75 0 0 0 0 0 0 0 0 1 0 0 0 6 42 0 9 9 0 8 5 7 0 0 0 10 0 0 0 0 0 0 0
guizmo::layout::GridLayout 3 1 1 0 0.5 0 0 0 0 0 0 0 0 3 0 0 0 2 2 0 1 0 1 2 0 2 0 0 0 2 0 0 0 0 0 0 0
guizmo::layout::impl::AlignedColumnImpl 0 2.85714285714286 9 0 0.642857142857143 0 0 0 0 2 0 0 0 2 0 0 0 3 126 0 23 7 0 14 0 12 0 0 0 73 0 0 0 6 0 0 0
guizmo::layout::impl::AlignmentMarkImpl 0 2.53846153846154 8.15384615384615 0 1.07692307692308 0 0 0 0 2 0 0 0 2 0 0 0 3 106 0 16 4 0 13 0 11 0 0 0 58 0 0 0 6 0 0 0
guizmo::layout::impl::BorderLayoutImpl 0 3.14285714285714 8.61904761904762 0 0.571428571428571 0 0 0 0 2 0 0 0 4 0 0 0 3 181 0 20 5 0 21 0 19 0 0 0 92 0 0 0 6 0 0 0
guizmo::layout::impl::CustomLayoutImpl 0 1 3 0 0 0 0 0 0 1 0 0 0 4 0 0 0 2 6 0 3 0 0 2 0 0 0 0 0 3 0 0 0 2 0 0 0
guizmo::layout::impl::ElementNodeImpl 0 1 3 0 0 0 0 0 0 1 0 0 0 4 0 0 0 2 6 0 3 0 0 2 0 0 0 0 0 3 0 0 0 2 0 0 0
guizmo::layout::impl::FlowLayoutImpl 0 1.66666666666667 6 0 0.888888888888889 0 0 0 0 2 0 0 0 4 0 0 0 3 54 0 9 2 0 9 0 7 0 0 0 25 0 0 0 6 0 0 0
guizmo::layout::impl::FormLayoutImpl 0 2.5 8.08333333333333 0 0.916666666666667 0 0 0 0 2 0 0 0 4 0 0 0 3 97 0 16 4 0 12 0 10 0 0 0 51 0 0 0 6 0 0 0
guizmo::layout::impl::GapImpl 0 2.08333333333333 7.08333333333333 0 1.16666666666667 0 0 0 0 2 0 0 0 3 0 0 0 3 85 0 12 3 0 12 0 10 0 0 0 43 0 0 0 6 0 0 0
guizmo::layout::impl::GridLayoutImpl 0 1.66666666666667 6 0 0.888888888888889 0 0 0 0 2 0 0 0 4 0 0 0 3 54 0 9 2 0 9 0 7 0 0 0 24 0 0 0 6 0 0 0
guizmo::layout::impl::LayoutFactoryImpl 0 2 5.48275862068965 0 0.862068965517241 0 0 0 0 1 0 0 0 2 0 0 0 6 159 0 18 0 0 29 0 29 0 0 0 75 0 0 0 6 0 0 0
guizmo::layout::impl::LayoutImpl 6 4 11 0 0.74468085106383 0 0 0 0 2 0 0 0 3 0 0 0 4 517 0 60 25 6 47 0 45 0 0 0 326 0 0 0 8 0 0 0
guizmo::layout::impl::LayoutInfoTreeNodeImpl 0 3.44444444444444 9.66666666666667 0 1 0 0 0 0 3 0 0 0 3 0 0 0 4 174 0 23 4 0 18 0 16 0 0 0 95 0 0 0 12 0 0 0
guizmo::layout::impl::LayoutPackageImpl 0 1.04166666666667 6.375 0 0.0138888888888889 0 0 0 0 8 0 0 0 2 0 0 0 2 459 0 137 23 0 72 0 70 0 0 0 338 0 0 0 16 0 0 0
guizmo::layout::impl::LayoutRootImpl 0 1.75 6.25 0 1.25 0 0 0 0 2 0 0 0 2 0 0 0 3 50 0 9 1 0 8 0 6 0 0 0 21 0 0 0 6 0 0 0
