acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
fr::labri::gumtree::client::batch::AbstractFilePairsProcessor 6 2.33333333333333 7.66666666666667 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 23 0 19 0 3 3 0 3 0 0 0 8 0 0 0 2 0 0 0
fr::labri::gumtree::client::batch::AbstractFileProcessor 6 2 5.75 0 1 0 0 0 0 1 0 0 0 1 0 0 0 4 23 0 14 2 3 4 1 4 0 0 0 13 0 0 0 4 0 0 0
fr::labri::gumtree::client::batch::AbstractProcessor 26 1.6 4.3 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 8 43 0 15 2 2 10 1 2 0 0 0 13 0 0 0 0 0 0 0
fr::labri::gumtree::client::batch::ActionDistributionProcessor 0 2.66666666666667 7 0 0.833333333333333 0 0 0 0 8 0 0 0 2 0 0 0 2 42 0 14 1 0 6 0 3 0 0 0 24 0 0 0 16 0 0 0
fr::labri::gumtree::client::batch::DigestProcessor 0 1.57142857142857 11 0 1.14285714285714 0 0 0 0 4 0 0 0 2 0 0 0 1 77 0 27 10 0 7 0 5 0 0 0 48 0 0 0 4 0 0 0
fr::labri::gumtree::client::batch::DotProcessor 0 1.25 3.5 0 1.25 0 0 0 0 3 0 0 0 2 0 0 0 2 14 0 4 0 0 4 0 4 0 0 0 10 0 0 0 6 0 0 0
fr::labri::gumtree::client::batch::FileUtils 0 2.5 6.625 0 1.375 0 0 0 0 0 0 0 0 0 0 0 0 5 53 0 17 0 0 8 0 7 0 0 0 11 0 0 0 0 0 0 0
fr::labri::gumtree::client::batch::MetricsProcessor 0 2.6 12.2 0 0.8 0 0 0 0 6 0 0 0 2 0 0 0 2 61 0 36 1 0 5 0 3 0 0 0 19 0 0 0 12 0 0 0
fr::labri::gumtree::client::batch::WebDiffProcessor 0 1.25 6.25 0 1 0 0 0 0 4 0 0 0 2 0 0 0 2 25 0 12 1 0 4 0 3 0 0 0 15 0 0 0 8 0 0 0
fr::labri::gumtree::client::batch::XmlProcessor 0 1.25 3.5 0 1.25 0 0 0 0 3 0 0 0 2 0 0 0 2 14 0 4 0 0 4 0 4 0 0 0 10 0 0 0 6 0 0 0
fr::labri::gumtree::client::DiffClient 6 1.42857142857143 5.28571428571429 0 0.428571428571429 0 0 0 0 3 0 0 0 0 0 0 0 1 37 0 13 1 2 7 0 3 0 0 0 26 0 0 0 3 0 0 0
fr::labri::gumtree::client::DiffOptions 7 1.2 3.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 16 0 4 5 0 5 0 5 0 0 0 10 0 0 0 0 0 0 0
fr::labri::gumtree::client::TreeGeneratorRegistry 8 2.4 6.8 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 34 0 15 2 0 5 0 3 0 0 0 13 0 0 0 1 0 0 0
fr::labri::gumtree::client::ui::swing::MappingsPanel 1 3.6 19.8 0 2.8 0 0 0 0 4 0 0 0 1 0 0 0 1 99 0 36 13 0 5 0 2 0 0 0 41 0 0 0 4 0 0 0
fr::labri::gumtree::client::ui::swing::MappingsPanel::MappingsCellRenderer 0 4 7 0 4 0 0 0 0 2 0 0 0 1 0 0 0 2 14 0 11 2 0 2 0 2 0 0 0 14 0 0 0 4 0 0 0
fr::labri::gumtree::client::ui::swing::SwingDiff 0 1 4.66666666666667 0 1.33333333333333 0 0 0 0 3 0 0 0 1 0 0 0 2 14 0 7 0 0 3 0 2 0 0 0 11 0 0 0 6 0 0 0
fr::labri::gumtree::client::ui::swing::SwingTree 0 1 4.33333333333333 0 0.666666666666667 0 0 0 0 1 0 0 0 0 0 0 0 2 13 0 7 0 0 3 0 1 0 0 0 5 0 0 0 2 0 0 0
fr::labri::gumtree::client::ui::swing::TreePanel 4 1.42857142857143 6.14285714285714 0 0.857142857142857 0 0 0 0 1 0 0 0 1 0 0 0 1 43 0 19 4 0 7 0 6 0 0 0 20 0 0 0 1 0 0 0
fr::labri::gumtree::client::ui::web::BootstrapGenerator 0 3 19.5 0 2.125 0 0 0 0 4 0 0 0 0 0 0 0 3 156 0 90 9 0 8 0 2 0 0 0 40 0 0 0 12 0 0 0
fr::labri::gumtree::client::ui::web::DiffServer 0 3.83333333333333 12 0 2.66666666666667 0 0 0 0 4 0 0 0 1 0 0 0 4 72 0 38 6 0 6 1 3 0 0 0 26 0 0 0 16 0 0 0
fr::labri::gumtree::client::ui::web::NanoHTTPD 7 2.4 10.9 0 1.3 0 0 0 0 3 0 0 0 0 0 0 0 4 109 0 34 10 1 10 4 7 0 0 0 27 0 0 0 12 0 0 0
fr::labri::gumtree::client::ui::web::NanoHTTPD::Method 1 3 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 8 3 0 1 3 1 0 0 0 1 0 0 0 0 0 0 0
