acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
edu::ksu::cis::indus::tools::slicer::SlicerRegressionTestSuite 0 3 21 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 63 0 48 1 0 3 0 2 0 0 0 7 0 0 0 0 0 0 0
edu::ksu::cis::indus::tools::slicer::SlicerTestSetup 0 2.75 23.5 0 1.25 0 0 0 0 2 0 0 0 1 0 0 0 3 94 0 31 1 0 4 0 1 0 0 0 15 0 0 0 6 0 0 0
edu::ksu::cis::indus::tools::slicer::XMLBasedSlicerTest 0 1 4 0 0.333333333333333 0 0 0 0 2 0 0 0 1 0 0 0 1 12 0 5 1 0 3 0 1 0 0 0 8 0 0 0 2 0 0 0
edu::ksu::cis::indus::tools::slicer::SliceXMLizerCLI 3 4.1304347826087 24.7826086956522 0 0.956521739130435 0 0 0 0 4 0 0 0 1 0 0 0 2 570 0 175 18 0 23 0 2 0 0 0 107 0 0 0 8 0 0 0
edu::ksu::cis::indus::tools::slicer::SliceXMLizerCLI::CustomCriteriaPredicate 1 3 12 0 1 0 0 0 0 4 0 0 0 3 0 0 0 1 12 0 12 2 0 1 0 1 0 0 0 3 0 0 0 4 0 0 0
edu::ksu::cis::indus::tools::slicer::TagBasedSliceXMLizer 0 1.66666666666667 13 0 1.33333333333333 0 0 0 0 5 0 0 0 1 0 0 0 1 39 0 24 1 0 3 0 3 0 0 0 9 0 0 0 5 0 0 0
edu::ksu::cis::indus::tools::slicer::TagBasedSliceXMLizer::TagBasedSliceProcessor 1 2.8 13 0 1 0 0 0 0 5 0 0 0 1 0 0 0 3 130 0 28 5 0 10 0 10 0 0 0 29 0 0 0 15 0 0 0
edu::ksu::cis::indus::slicer::AbstractSliceCriterion 3 1 4.85714285714286 0 0.428571428571429 0 0 0 0 5 0 0 0 1 0 0 0 7 34 0 13 3 3 7 0 6 0 0 0 7 0 0 0 35 0 0 0
edu::ksu::cis::indus::slicer::BackwardSlicingPart 11 4.875 24.9375 0 2.125 0 0 0 0 7 0 0 0 2 0 0 0 4 399 0 48 7 0 16 0 11 0 0 0 56 0 0 0 28 0 0 0
edu::ksu::cis::indus::slicer::BackwardSlicingPart::ReturnValueInclusionClosure 0 2 10 0 1 0 0 0 0 7 0 0 0 1 0 0 0 1 10 0 10 0 0 1 0 1 0 0 0 1 0 0 0 7 0 0 0
edu::ksu::cis::indus::slicer::BackwardSlicingPart::TailStmtInclusionClosure 0 1 5 0 1 0 0 0 0 7 0 0 0 1 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 7 0 0 0
edu::ksu::cis::indus::slicer::CompleteSlicingPart 0 1.08333333333333 4.91666666666667 0 1.83333333333333 0 0 0 0 9 0 0 0 2 0 0 0 1 59 0 11 3 0 12 0 12 0 0 0 59 0 0 0 9 0 0 0
edu::ksu::cis::indus::slicer::CriteriaSpecHelper 0 1.75 7.25 0 0.75 0 0 0 0 9 0 0 0 0 0 0 0 4 29 0 13 0 0 4 0 3 0 0 0 4 0 0 0 36 0 0 0
edu::ksu::cis::indus::slicer::DependenceExtractor 0 1 17.6666666666667 0 1.5 0 0 0 0 9 0 0 0 1 0 0 0 6 106 0 55 12 0 6 0 3 0 0 0 6 0 0 0 54 0 0 0
edu::ksu::cis::indus::slicer::DependenceExtractor::IDependenceRetriver 4 1 1 0 2.5 0 0 0 0 9 0 0 0 0 0 0 0 2 2 0 1 0 1 2 0 2 0 0 0 2 0 0 0 18 0 0 0
edu::ksu::cis::indus::slicer::DependenceExtractor::IProgramPointRetriever 0 1 1 0 1 0 0 0 0 9 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 9 0 0 0
edu::ksu::cis::indus::slicer::ExprLevelSliceCriterion 0 1 5.2 0 0.2 0 0 0 0 9 0 0 0 2 0 0 0 5 26 0 13 2 0 5 0 3 0 0 0 5 0 0 0 45 0 0 0
edu::ksu::cis::indus::slicer::ForwardSlicingPart 11 3.08333333333333 15.75 0 1.91666666666667 0 0 0 0 9 0 0 0 2 0 0 0 6 189 0 43 2 0 12 0 11 0 0 0 26 0 0 0 54 0 0 0
edu::ksu::cis::indus::slicer::IDirectionSensitivePartOfSlicingEngine 3 1 1 0 1.77777777777778 0 0 0 0 9 0 0 0 1 0 0 0 9 9 0 1 0 3 9 0 9 0 0 0 9 0 0 0 81 0 0 0
edu::ksu::cis::indus::slicer::ISliceCriterion 10 1 1 0 0.333333333333333 0 0 0 0 9 0 0 0 0 0 0 0 3 3 0 1 0 1 3 0 3 0 0 0 3 0 0 0 27 0 0 0
