acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
aix5_proc_self_sysent 21 3 21 0 1 0 0 0 0 4 0 0 0 0 0 0 0 1 21 0 21 2 0 1 2 1 0 0 0 7 0 0 0 4 0 0 0
aix5_VKI_info 0 1 316 0 1 0 0 0 0 8 0 0 0 0 0 0 0 1 316 0 316 0 0 1 0 1 0 0 0 9 0 0 0 8 0 0 0
ppc64shifts 0 1.44444444444444 16.3333333333333 0 3.33333333333333 0 0 0 0 12 0 0 0 0 0 0 0 1 147 0 17 3 0 9 3 9 0 0 0 47 0 0 0 12 0 0 0
ppcfround 0 1.51282051282051 5.5 0 3.64102564102564 0 0 0 0 16 0 0 0 0 0 0 0 65 429 0 170 0 0 78 0 78 0 0 0 130 0 0 0 1040 0 0 0
Result 1 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
primes 0 3 7.5 0 1.5 0 0 0 0 16 0 0 0 0 0 0 0 1 15 0 8 0 0 2 0 2 0 0 0 4 0 0 0 16 0 0 0
valgrind-listener 0 4.08333333333333 24 0 1.16666666666667 0 0 0 0 23 0 0 0 0 0 0 0 1 288 0 167 3 0 12 3 12 0 0 0 58 0 0 0 23 0 0 0
cg_arch 0 1 1 0 4 0 0 0 0 23 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 23 0 0 0
cache_t 8 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
cg_branchpred 0 3 25 0 2 0 0 0 0 24 0 0 0 0 0 0 0 2 50 0 39 3 0 2 3 2 0 0 0 6 0 0 0 48 0 0 0
cg_main 0 5.3030303030303 40.6060606060606 0 1.87878787878788 0 0 0 0 54 0 0 0 0 0 0 0 3 1340 0 283 22 0 33 22 33 0 0 0 366 0 0 0 162 0 0 0
CacheCC 3 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
BranchCC 3 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
CodeLoc 2 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
LineCC 2 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
_InstrInfo 14 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
_SB_info 3 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
Event 23 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 17 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@78 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@79 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@80 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@81 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@82 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Event::@77::@83 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
CgState 8 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
cg_merge 0 4.55555555555556 22.6481481481481 0 2.2037037037037 0 0 0 0 64 0 0 0 0 0 0 0 2 1223 0 159 2 0 54 2 54 0 0 0 318 0 0 0 128 0 0 0
SOURCE 0 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
FileFn 6 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
Counts 8 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
CacheProfFile 5 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
_AvlNode 37 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
MaybeWord 5 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
_WordFM 29 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 8 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0
cg_sim 0 1.5 7.5 0 2 0 0 0 0 64 0 0 0 0 0 0 0 4 30 0 27 0 0 4 0 4 0 0 0 10 0 0 0 256 0 0 0
cache_t2 7 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 17 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
chdir 0 1 6 0 1 0 0 0 0 64 0 0 0 0 0 0 0 1 6 0 6 0 0 1 0 1 0 0 0 1 0 0 0 64 0 0 0
