acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
basic_in::EC_testProject1 0 1 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
basic_out::EC_testProject1 0 1 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 11 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::ui::tests::Activator 1 1 3.6 0 0.6 0 0 0 0 0 0 0 0 1 0 0 0 3 18 0 5 2 0 5 1 5 0 0 0 9 0 0 0 0 0 0 0
edu::illinois::jflow::wala::core::ui::tests::Activator 0 1 3.25 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 13 0 4 2 0 4 1 4 0 0 0 8 0 0 0 0 0 0 0
edu::illinois::jflow::wala::ui::tools::Activator 0 1 3.25 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 13 0 4 2 0 4 1 4 0 0 0 8 0 0 0 0 0 0 0
edu::illinois::jflow::editor::enhancements::Activator 0 1 3.25 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 13 0 4 2 0 4 1 4 0 0 0 8 0 0 0 0 0 0 0
edu::illinois::jflow::shapeanalysis::core::Activator 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 6 0 3 1 0 2 0 2 0 0 0 4 0 0 0 0 0 0 0
edu::illinois::jflow::wala::core::Activator 0 1 3.2 0 0.6 0 0 0 0 0 0 0 0 1 0 0 0 3 16 0 4 2 0 5 1 5 0 0 0 10 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::ui::Activator 0 1 3.2 0 0.6 0 0 0 0 0 0 0 0 1 0 0 0 3 16 0 4 2 0 5 1 5 0 0 0 10 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::ui::tests::ExtractClosureTests 0 1 4.4 0 0.7 0 0 0 0 3 0 0 0 1 0 0 0 10 44 0 13 1 0 10 0 4 0 0 0 13 0 0 0 30 0 0 0
edu::illinois::jflow::core::transformations::ui::tests::ExtractClosureTestSetup 1 1.25 6.5 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 4 26 0 12 1 0 4 0 2 0 0 0 4 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::code::AnnotatedStage 4 1.66666666666667 6.66666666666667 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 6 40 0 17 0 0 6 0 4 0 0 0 6 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::code::AnnotatedStagesFinder 1 2.6 11.6 0 1.2 0 0 0 0 1 0 0 0 0 0 0 0 1 58 0 30 1 0 5 0 2 0 0 0 11 0 0 0 1 0 0 0
edu::illinois::jflow::core::transformations::code::ExceptionAnalyzer 0 1 5.16666666666667 0 1 0 0 0 0 0 0 0 0 1 0 0 0 6 31 0 8 0 0 6 0 5 0 0 0 6 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::code::ExtractClosureAnalyzer 0 1 11.4615384615385 0 0.596153846153846 0 0 0 0 0 0 0 0 1 0 0 0 52 596 0 71 26 0 52 8 30 0 0 0 52 0 0 0 0 0 0 0
edu::illinois::jflow::core::transformations::code::ExtractClosureRefactoring 4 2.72222222222222 15.7777777777778 0 0.888888888888889 0 0 0 0 5 0 0 0 1 0 0 0 18 284 0 42 19 0 18 7 5 0 0 0 36 0 0 0 90 0 0 0
edu::illinois::jflow::core::transformations::code::ExtractClosureRefactoring::Stage 0 2.625 9.875 0 0.375 0 0 0 0 1 0 0 0 0 0 0 0 8 79 0 24 0 0 8 0 3 0 0 0 11 0 0 0 8 0 0 0
edu::illinois::jflow::core::transformations::code::ExtractClosureRefactoring::BundleCreator 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
