acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
heros::DefaultSeeds 0 2 7 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
heros::DontSynchronize 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
heros::edgefunc::AllBottom 0 1.66666666666667 5 0 0.833333333333333 0 0 0 0 1 0 0 0 1 0 0 0 4 30 0 10 1 0 6 0 6 0 0 0 11 0 0 0 4 0 0 0
heros::edgefunc::AllTop 0 1.16666666666667 3.83333333333333 0 0.833333333333333 0 0 0 0 0 0 0 0 1 0 0 0 4 23 0 8 1 0 6 0 6 0 0 0 10 0 0 0 0 0 0 0
heros::edgefunc::EdgeIdentity 0 1.42857142857143 4 0 0.571428571428571 0 0 0 0 1 0 0 0 1 0 0 0 7 28 0 11 1 0 7 0 6 0 0 0 10 0 0 0 7 0 0 0
heros::EdgeFunction 7 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 4 4 0 4 0 0 0 4 0 0 0 0 0 0 0
heros::EdgeFunctionCache 0 1 7.83333333333333 0 3.33333333333333 0 0 0 0 3 0 0 0 1 0 0 0 1 47 0 27 5 0 6 0 6 0 0 0 29 0 0 0 3 0 0 0
heros::EdgeFunctionCache::NDNDKey 5 3.14285714285714 8.28571428571429 0 0.714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 3 58 0 31 2 0 7 0 7 0 0 0 16 0 0 0 0 0 0 0
heros::EdgeFunctionCache::CallKey 2 3.14285714285714 8.28571428571429 0 0.714285714285714 0 0 0 0 1 0 0 0 0 0 0 0 7 58 0 31 3 1 7 0 7 0 0 0 14 0 0 0 7 0 0 0
heros::EdgeFunctionCache::ReturnKey 1 2.8 7.8 0 1.4 0 0 0 0 0 0 0 0 1 0 0 0 5 39 0 21 1 0 5 0 5 0 0 0 6 0 0 0 0 0 0 0
heros::EdgeFunctions 2 1 1 0 4.5 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 2 4 0 4 0 0 0 4 0 0 0 0 0 0 0
heros::flowfunc::Compose 0 3 8.33333333333333 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 25 0 11 1 0 3 0 2 0 0 0 7 0 0 0 0 0 0 0
heros::flowfunc::Gen 0 1.5 5 0 1.5 0 0 0 0 0 0 0 0 1 0 0 0 1 10 0 6 2 0 2 0 2 0 0 0 6 0 0 0 0 0 0 0
heros::flowfunc::Identity 0 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 1 0 0 0 3 7 0 3 1 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
heros::flowfunc::Kill 0 1.5 4.5 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 9 0 6 1 0 2 0 2 0 0 0 4 0 0 0 0 0 0 0
heros::flowfunc::KillAll 0 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 1 0 0 0 3 7 0 3 1 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
heros::flowfunc::Transfer 0 2 6.5 0 1.5 0 0 0 0 0 0 0 0 1 0 0 0 1 13 0 9 2 0 2 0 2 0 0 0 6 0 0 0 0 0 0 0
heros::flowfunc::Union 0 2.66666666666667 7 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 21 0 11 1 0 3 0 2 0 0 0 7 0 0 0 0 0 0 0
soot::jimple::toolkits::pointer::Union 4 1.75 2.25 0 0.75 0 0 0 0 1 0 0 0 1 0 0 0 4 9 0 6 0 2 4 0 4 0 0 0 5 0 0 0 4 0 0 0
heros::FlowFunction 17 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 13 1 0 1 0 0 0 1 0 0 0 0 0 0 0
heros::FlowFunctionCache 0 1 7.83333333333333 0 2 0 0 0 0 3 0 0 0 1 0 0 0 1 47 0 27 6 0 6 0 6 0 0 0 26 0 0 0 3 0 0 0
heros::FlowFunctionCache::NNKey 1 2.8 7.6 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 2 38 0 21 1 0 5 0 4 0 0 0 10 0 0 0 0 0 0 0
heros::FlowFunctionCache::CallKey 2 2.8 7.6 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 5 38 0 21 2 1 5 0 4 0 0 0 7 0 0 0 0 0 0 0
heros::FlowFunctionCache::ReturnKey 1 2.8 7.8 0 1 0 0 0 0 0 0 0 0 1 0 0 0 5 39 0 21 1 0 5 0 4 0 0 0 6 0 0 0 0 0 0 0
heros::FlowFunctions 4 1 1 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 3 4 0 4 0 0 0 4 0 0 0 0 0 0 0
heros::IDETabulationProblem 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 3 0 1 0 1 3 0 3 0 0 0 3 0 0 0 0 0 0 0
heros::IFDSTabulationProblem 15 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 4 0 1 0 2 4 0 4 0 0 0 4 0 0 0 0 0 0 0
heros::InterproceduralCFG 17 1 1 0 0.941176470588235 0 0 0 0 0 0 0 0 0 0 0 0 17 17 0 1 0 1 17 0 17 0 0 0 17 0 0 0 0 0 0 0
heros::JoinLattice 0 1 1 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
heros::MustSynchronize 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
heros::ProfiledFlowFunctions 0 1 6.2 0 2.2 0 0 0 0 0 0 0 0 1 0 0 0 1 31 0 7 2 0 5 1 5 0 0 0 11 0 0 0 0 0 0 0
heros::solver::BiDiIFDSSolver 1 1.33333333333333 6.33333333333333 0 1.16666666666667 0 0 0 0 1 0 0 0 0 0 0 0 1 38 0 14 5 0 6 0 4 0 0 0 18 0 0 0 1 0 0 0
