acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
yoshikihigo::cpanalyzer::ChangeExtractor 0 14.6666666666667 95.3333333333333 0 0.333333333333333 0 0 0 0 2 0 0 0 0 0 0 0 1 286 0 132 0 0 3 0 1 0 0 0 31 0 0 0 2 0 0 0
yoshikihigo::cpanalyzer::ChangePatternMaker 0 2 20 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 20 0 20 0 0 1 0 1 0 0 0 8 0 0 0 2 0 0 0
yoshikihigo::cpanalyzer::CPAConfig 23 1.71875 13.8125 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 28 442 0 248 2 0 32 0 31 0 0 0 39 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::CPCSVPrinter 0 6 72 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 72 0 72 0 0 1 0 1 0 0 0 6 0 0 0 3 0 0 0
yoshikihigo::cpanalyzer::data::Change 5 1.5 8.5 0 2.25 0 0 0 0 2 0 0 0 1 0 0 0 3 68 0 14 9 0 8 8 8 0 0 0 38 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::data::Change::ChangeType 4 2 4.66666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 14 0 12 3 0 3 3 3 0 0 0 6 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::data::Change::DiffType 4 1.33333333333333 3 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 7 3 0 3 3 3 0 0 0 3 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::data::ChangePattern 8 1.57142857142857 6.64285714285714 0 0.857142857142857 0 0 0 0 2 0 0 0 1 0 0 0 2 93 0 17 11 0 14 10 13 0 0 0 41 0 0 0 4 0 0 0
yoshikihigo::cpanalyzer::data::Code 12 1.8 8.8 0 1.1 0 0 0 0 0 0 0 0 1 0 0 0 5 88 0 19 8 0 10 7 9 0 0 0 22 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::data::Inconsistency 0 1 14 0 9 0 0 0 0 0 0 0 0 0 0 0 0 1 14 0 14 9 0 1 9 1 0 0 0 10 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::data::Revision 15 1.4 5.6 0 1.4 0 0 0 0 0 0 0 0 1 0 0 0 2 28 0 8 5 0 5 5 5 0 0 0 15 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::data::SourceFile 0 2.75 12.75 0 0.875 0 0 0 0 1 0 0 0 1 0 0 0 6 102 0 57 6 0 8 3 8 0 0 0 15 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::data::Statement 3 5.07142857142857 30.9285714285714 0 1.35714285714286 0 0 0 0 2 0 0 0 0 0 0 0 2 433 0 130 8 0 14 8 7 0 0 0 67 0 0 0 4 0 0 0
yoshikihigo::cpanalyzer::db::ChangeDAO 3 3 23.5714285714286 0 0.428571428571429 0 0 0 0 6 0 0 0 0 0 0 0 6 165 0 72 9 0 7 4 6 0 0 0 33 0 0 0 36 0 0 0
yoshikihigo::cpanalyzer::db::ChangePatternDAO 1 4.66666666666667 41.3333333333333 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 248 0 156 3 0 6 2 5 0 0 0 11 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::db::ReadOnlyDAO 4 2.16666666666667 26.8333333333333 0 0.666666666666667 0 0 0 0 1 0 0 0 0 0 0 0 6 161 0 75 2 0 6 1 5 0 0 0 7 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::FileUtility 0 3 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 8 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::GITChangeExtractionThread 0 4.66666666666667 42 0 1.66666666666667 0 0 0 0 4 0 0 0 1 0 0 0 2 126 0 107 5 0 3 1 2 0 0 0 19 0 0 0 8 0 0 0
yoshikihigo::cpanalyzer::gui::ccode::CCode 2 6.75 48.75 0 0.75 0 0 0 0 5 0 0 0 1 0 0 0 1 195 0 71 4 0 4 3 2 0 0 0 21 0 0 0 5 0 0 0
yoshikihigo::cpanalyzer::gui::ccode::CCodeUI 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 8 0 1 4 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::ccode::CCodeUI::SourceCodePlainView 0 1 14.1428571428571 0 3.14285714285714 0 0 0 0 0 0 0 0 1 0 0 0 7 99 0 30 2 0 7 0 1 0 0 0 7 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::clist::CList 1 2 17.75 0 0.75 0 0 0 0 3 0 0 0 1 0 0 0 2 71 0 27 7 0 4 6 3 0 0 0 16 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::gui::clist::CList::MPSelectionHandler 0 1 26 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 26 0 26 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::clist::CListModel 0 2.66666666666667 7.33333333333333 0 0.833333333333333 0 0 0 0 3 0 0 0 1 0 0 0 5 44 0 18 2 0 6 2 6 0 0 0 16 0 0 0 15 0 0 0
yoshikihigo::cpanalyzer::gui::clist::CListRenderer 0 1 43 0 6 0 0 0 0 0 0 0 0 1 0 0 0 1 43 0 43 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::clpanel::CLPanel 2 9 67 0 1 0 0 0 0 3 0 0 0 1 0 0 0 2 134 0 68 3 0 2 1 2 0 0 0 9 0 0 0 6 0 0 0
yoshikihigo::cpanalyzer::gui::clpanel::CLWindow 0 3 51 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 51 0 51 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::CODE 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::cpcode::CPCode 2 5.5 35 0 1.5 0 0 0 0 4 0 0 0 1 0 0 0 2 70 0 37 3 0 2 3 2 0 0 0 10 0 0 0 8 0 0 0
yoshikihigo::cpanalyzer::gui::cpcode::CPCodeUI 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 4 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::cpcode::CPCodeUI::SourceCodePlainView 0 1 11.5 0 3.33333333333333 0 0 0 0 0 0 0 0 1 0 0 0 6 69 0 21 2 0 6 0 1 0 0 0 6 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::cplist::CPList 1 3 33 0 0.666666666666667 0 0 0 0 3 0 0 0 1 0 0 0 1 99 0 47 2 0 3 1 2 0 0 0 10 0 0 0 3 0 0 0
yoshikihigo::cpanalyzer::gui::cplist::CPList::MPSelectionHandler 0 1 31 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 31 0 31 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::cplist::CPList::MPListPopupMenu 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
yoshikihigo::cpanalyzer::gui::cplist::CPListCellEditor 0 1.33333333333333 7.66666666666667 0 1.66666666666667 0 0 0 0 0 0 0 0 1 0 0 0 3 23 0 11 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
