acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
DefaultPackageClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DefaultPackageClass::InnerClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DefaultPackageClass::InnerClass::InnerInnerClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DefaultPackageNonMainType 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::Interface 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::OtherClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::TestClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::TestClass::InnerClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::TestClass::InnerClass::InnerInnerClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
some::pack::NonMainClass 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AdjustLinesTest 0 1 11.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 23 0 12 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
sample::counter::Counter 4 1.6 4.8 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 1 24 0 11 2 0 5 0 5 0 0 0 13 0 0 0 0 0 0 0
sample::counter::CounterTest 0 1 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 20 0 6 1 0 4 0 4 0 0 0 15 0 0 0 1 0 0 0
CustomAssertTest 0 1 3 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 3 12 0 3 0 0 4 0 4 0 0 0 5 0 0 0 0 0 0 0
FormattingTest 0 1.33333333333333 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 21 0 11 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
JUnit3TestInput 0 1 4.15384615384615 0 0 0 0 0 0 0 0 0 0 1 0 0 0 10 54 0 11 0 0 13 0 13 0 0 0 16 0 0 0 0 0 0 0
JUnit4TestInput 0 1 4.07142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 57 0 11 0 0 14 0 14 0 0 0 17 0 0 0 0 0 0 0
PrettyPrinterTest 0 1.6 8.6 0 2.4 0 0 0 0 0 0 0 0 1 0 0 0 2 43 0 19 0 0 5 0 5 0 0 0 8 0 0 0 0 0 0 0
E 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0
I 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
ReAssertFixerTestInput 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 12 0 3 0 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
