acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
alias 65 7.68 39.4 0 1.46 0 0 0 0 27 0 0 0 0 0 0 0 14 1970 0 228 12 0 50 12 50 0 0 0 219 0 0 0 378 0 0 0
alias_set_entry 3 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
basic-block 0 1 1.41304347826087 0 1 0 0 0 0 27 0 0 0 0 0 0 0 46 65 0 20 6 0 46 6 46 0 0 0 46 0 0 0 1242 0 0 0
edge_def 77 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
basic_block_def 118 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 12 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0
loop 51 7.48351648351648 47.8076923076923 0 2.14835164835165 0 0 0 0 65 0 0 0 0 0 0 0 66 8701 0 591 51 0 182 51 182 0 0 0 1354 0 0 0 4290 0 0 0
loops 10 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
loops::cfg 4 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
edge_list 7 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
bb-reorder 1 5.33333333333333 32.7272727272727 0 1 0 0 0 0 67 0 0 0 0 0 0 0 12 1080 0 191 1 0 33 1 33 0 0 0 158 0 0 0 804 0 0 0
scope_def 7 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 11 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0
scope_forest_info 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
reorder_block_def 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
bitmap 10 2.55172413793103 20 0 1.51724137931034 0 0 0 0 71 0 0 0 0 0 0 0 14 580 0 151 4 0 29 4 29 0 0 0 101 0 0 0 994 0 0 0
