acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::android::browser::BrowserActivity 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::camera::Camera 0 1 4 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 8 0 4 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::mail::compose::ComposeActivity 0 1 4 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 8 0 5 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::settings::DeviceAdminAdd 0 1 5 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 10 0 7 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::MockBCReceiver 0 1 2 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::android::MockReceiver 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::MockService 0 1 3 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::internal::app::RingtonePickerActivity 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::android::settings::wifi::WifiPickerActivity 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::google::zxing::client::android::CaptureActivity 0 1 4 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 8 0 5 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::google::android::maps::MapsActivity 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
sparta::checkers::AddsSourceValidator 0 3 16.375 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 131 0 26 2 0 8 0 4 0 0 0 25 0 0 0 0 0 0 0
sparta::checkers::AndroidChecker 0 1 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 9 0 9 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
sparta::checkers::ConditionalValidator 0 1.33333333333333 5 0 1.11111111111111 0 0 0 0 0 0 0 0 2 0 0 0 1 45 0 7 2 0 9 0 8 0 0 0 20 0 0 0 0 0 0 0
sparta::checkers::Flow 7 2.13513513513514 7.7027027027027 0 1.21621621621622 0 0 0 0 1 0 0 0 0 0 0 0 11 285 0 20 1 0 37 0 35 0 0 0 73 0 0 0 11 0 0 0
