acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
tacle::core::AnalysisFactory 2 2 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 9 1 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0
tacle::core::ICallGraphAnalysis 4 1 1 0 1.08333333333333 0 0 0 0 0 0 0 0 0 0 0 0 12 12 0 1 0 1 12 0 12 0 0 0 12 0 0 0 0 0 0 0
tacle::core::ICallSite 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 2 4 0 4 0 0 0 4 0 0 0 0 0 0 0
tacle::core::IInstanceCallSite 1 1 1 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 1 0 1 2 0 2 0 0 0 2 0 0 0 0 0 0 0
tacle::example::popups::actions::CallGraphAction 0 2 10.6666666666667 0 1.16666666666667 0 0 0 0 1 0 0 0 1 0 0 0 3 64 0 39 1 0 6 0 5 0 0 0 12 0 0 0 3 0 0 0
tacle::example::popups::actions::HelloTacleAction 0 1.66666666666667 6.33333333333333 0 1.16666666666667 0 0 0 0 1 0 0 0 1 0 0 0 3 38 0 14 1 0 6 0 5 0 0 0 11 0 0 0 3 0 0 0
tacle::example::popups::actions::HelloTacleActionJob 0 1.83333333333333 10.5 0 1.16666666666667 0 0 0 0 2 0 0 0 1 0 0 0 3 63 0 36 1 0 6 0 5 0 0 0 12 0 0 0 6 0 0 0
tacle::examples::dotgraph::DotGraphGenerator 1 3.83333333333333 25.3333333333333 0 2 0 0 0 0 5 0 0 0 0 0 0 0 1 152 0 49 2 0 6 0 1 0 0 0 25 0 0 0 5 0 0 0
tacle::examples::simple::HelloTacle 1 2 28 0 1 0 0 0 0 5 0 0 0 0 0 0 0 1 28 0 28 0 0 1 0 1 0 0 0 5 0 0 0 5 0 0 0
tacle::internal::rta::ConstructorVisitor 1 2.17647058823529 8.35294117647059 0 0.705882352941177 0 0 0 0 8 0 0 0 2 0 0 0 1 142 0 33 9 0 17 0 17 0 0 0 58 0 0 0 8 0 0 0
tacle::internal::rta::data::ASTMethod 1 1.16666666666667 4.61111111111111 0 0.777777777777778 0 0 0 0 9 0 0 0 1 0 0 0 2 83 0 11 8 0 18 0 18 0 0 0 53 0 0 0 18 0 0 0
tacle::internal::rta::data::ASTType 7 1.92307692307692 7.46153846153846 0 0.692307692307692 0 0 0 0 9 0 0 0 1 0 0 0 2 97 0 31 6 0 13 0 13 0 0 0 36 0 0 0 18 0 0 0
tacle::internal::rta::data::CallSite 3 1.11111111111111 3.88888888888889 0 0.777777777777778 0 0 0 0 9 0 0 0 1 0 0 0 1 35 0 8 4 1 9 0 8 0 0 0 26 0 0 0 9 0 0 0
tacle::internal::rta::data::CallSiteInfo 2 1.15384615384615 3.42307692307692 0 0.423076923076923 0 0 0 0 9 0 0 0 1 0 0 0 3 89 0 8 10 0 26 0 23 0 0 0 66 0 0 0 27 0 0 0
tacle::internal::rta::data::ClassInfo 8 1.23076923076923 3.57692307692308 0 0.423076923076923 0 0 0 0 9 0 0 0 1 0 0 0 7 93 0 7 10 0 26 0 24 0 0 0 60 0 0 0 63 0 0 0
tacle::internal::rta::data::DataReader 2 3 24.2 0 1.8 0 0 0 0 12 0 0 0 0 0 0 0 1 242 0 51 3 0 10 0 8 0 0 0 60 0 0 0 12 0 0 0
tacle::internal::rta::data::InfoDictionary 45 2.91666666666667 11.375 0 1.41666666666667 0 0 0 0 14 0 0 0 0 0 0 0 1 273 0 55 11 0 24 0 21 0 0 0 89 0 0 0 14 0 0 0
tacle::internal::rta::data::InstanceCallSite 0 1.75 7.25 0 1.75 0 0 0 0 15 0 0 0 2 0 0 0 1 29 0 9 2 0 4 0 3 0 0 0 18 0 0 0 15 0 0 0
