"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,0,1,8,17.9499999999998,151.95,9.98479913137894,112.018019556032
"cppcheck",0,0,0,0,0,2,18,51.7499999999999,261.95,16.6301775147929,104.486262953378
"cqual",0,0,0,0,3,24.75,86.7,111.75,187.6,25.1923076923077,46.7463611174418
"findbugs",0,0,0,0,0,3,11,21.75,129.45,6.19179004037685,25.5541458527107
"findsecuritybugs",0,0,0,0,0,0,5,15.5,27.1999999999999,2.03296703296703,6.32358996044098
"jlint",0,0,0,0,2,7.5,14.4,16.7,19.57,4.61363636363636,5.85569056992768
"pixy",0,0,0,0,1,6,18,38.8,80.88,6.83842794759825,15.9608926994522
"pmd",0,0,0,0,0,2,9,19.05,82.6099999999999,6.18955223880597,38.7161001464979
"rats",0,0,0,0,0,6.5,11,15.7,20.74,3.89473684210526,6.27069672579536
"smatch",0,0,0,0,0,0.5,20.8,57.9,330.36,16.4948240165631,89.1829526285358
"splint",0,0,0,0,0,7,33,87,554.400000000001,24.7400881057269,112.621378936335
"uno",0,0,0,1,4,36.5,96.2,133.2,134.64,28,45.1097427269197
"wap",0,0,0,0,0,0,4,17.15,45.8199999999999,2.76923076923077,14.0304882098425
