"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0,0,4,5.5,14.7,1.20879120879121,3.23356179095465
"bogor",0,0,0,0,2,5,17,37.5999999999999,120.04,8.41834862385321,29.2331718973448
"composite",0,0,0,0,0,1,3,11.4,28.68,2.47058823529412,8.00091906485455
"cseq",0,0,0,0,0,7.75,16.5,22,197.3,11.6981132075472,37.3745953470869
"ejb",0,0,0,1,4,6,18,44.55,143.1,11.1188524590164,30.8821970688141
"errorprone",0,0,0,0,0,0,2,3,20,1.9078097475044,22.840561747605
"guizmo",0,0,0,0,1,4,14.5,38,129.55,7.67647058823529,23.7198796466852
"gumtree",0,0,0,0,0,1.75,5.09999999999999,13.55,42.7399999999995,7.67647058823529,23.7198796466852
"indus",0,0,0,0,0,3,12,25.6999999999999,54.9299999999998,4.40648854961832,10.8377939676814
"inputtracer",0,0,0,0,0,2,13,29,229.04,10.5227383863081,71.7165005723028
"jastadd",0,0,0,0,0,4,21.8,32.1,36.52,5.23728813559322,10.2727275078252
"jflow",0,0,0,0,0,0,3,5.19999999999999,27.48,1.34463276836158,5.59117476329374
"lotrack",0,0,0,0,0,2,8,21,129.26,6.61172702636117,38.5727250941791
"mpanalyzer",0,0,0,0,0,0,2,4,15,1.325,10.5216751772503
"ptyasm",0,0,0,0,0,3,12,22,80.7199999999998,5.31710079275198,20.427772538992
"reassert",0,0,0,0,0,1,8,14.6,46.1599999999999,2.55621301775148,7.96185697722472
"sonarqubeplugin",0,0,0,0,0,1.5,7.60000000000002,15.9,37.9000000000001,2.88811188811189,7.90356034507474
"sparta",0,0,0,0,0,0,1,3.64999999999998,17.3199999999999,0.690298507462687,3.24833277669677
"srcml",0,0,0,0,0,1,7,17,94.3,3.81515499425947,16.3981790394325
"tacle",0,0,0,1,1.5,6.5,9.4,11.75,35.1000000000001,4.41176470588235,8.07959512584043
"wala",0,0,0,0,0,3,14,30,113,6.54950495049505,23.6105389249433
