"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,1,1,1.4,3.37164634146342,5.49642857142856,18,2.00663787012261,5.10810538848165
"cppcheck",0,0,0,1,1.14285714285714,2.95833333333333,6.645,9.415,17.3241935483871,2.99020163656157,6.2021166854151
"cqual",0,0,1,1,1.14878048780488,2.51556795131846,6.18970588235294,11.3285714285713,43.2260000000003,3.94862117329205,11.3338298703106
"findbugs",0,0,1,1,1.33333333333333,2.5,4.81666666666666,7,12.384090909091,2.30504966476772,3.21732688140643
"findsecuritybugs",1,1,1,1.33333333333333,2,3,4.25,5.75,7.94999999999997,2.47995950663051,1.75001874953139
"jlint",0,0,0,1,1,2.5,8.88333333333332,15.7941558441558,51.9245238095238,4.43007674144038,11.2666722657285
"pixy",0,0,1,1,1.5,2,4.14666666666667,5.54,9.10105263157894,1.98727211720044,1.91830335084949
"pmd",0,1,1,1,1,1.87847222222222,3,4,7,1.64935472438218,1.51071788238865
"rats",0,0,0,0,5.05769230769231,5.52874396135265,8.40483870967742,9.37045454545455,10.2377272727273,3.81587066909629,3.52723172888992
"smatch",0,0,0.200000000000003,1,1.79487179487179,3.07846153846154,4.5,6.12857142857142,8.71461538461539,2.32415700807913,2.05924736641836
"splint",0,0,1,1,1,2,4,6,15,2.10774017010246,4.15235783301194
"uno",0,0,0.8,1.25555555555556,4.91176470588235,7.96378887070377,9.96213235294118,10.3114583333333,10.5289583333333,4.86952055351496,3.72864575664802
"wap",1,1,1,1,1,1,2,5.55263157894736,23.9311627906977,2.15507665914298,5.25411525085974
