"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,1,1,1.68627450980392,2.66666666666667,3.19642857142857,5.01052631578947,1.36461631763489,0.957949221272139
"bogor",0,0,0.400000000000006,1,1,1.5,2.41666666666667,3.05333333333333,7.94999999999993,1.47735494283017,1.96649107925353
"composite",0,0,0,0,3,4,9.66666666666668,11.7833333333334,15.3566666666667,3.75604575163399,4.56080154367297
"cseq",0.0499999999999998,1.02459016393443,1.5,2.33333333333333,3.38888888888889,4.33333333333333,5.02777777777778,5.76086956521739,6.38478260869566,3.27724268921966,1.47146610135607
"ejb",0,1,1,1.2375,1.5,2.425,3.47,4.31333333333333,8.84035714285714,2.05235352745051,1.76490795683822
"errorprone",0,0,0,0,1,1,2.25,3.5,6.49285714285715,1.1596914063496,1.66062953697444
"guizmo",0,0,0,1,1,1.9589800443459,2.71428571428571,3.66830065359478,5.68078947368421,1.48301947016112,1.17197570175477
"gumtree",0.89,1,1,1,1,2,3.51,4.7125,6.51309523809524,1.48301947016112,1.17197570175477
"indus",0,1,1,1,1,1.78928571428572,3.095,3.8609375,5.59342857142857,1.55211091275722,1.21745792699584
"inputtracer",0,0,0,0,0,1.13333333333333,3.07115384615385,5,12.2588888888889,1.46907728208514,7.19124815228703
"jastadd",0,1,1,1,1.09090909090909,1.65570175438596,2.54358974358974,3.07083333333333,4.84,1.48355686046855,0.950637792142292
"jflow",0,0,1,1,1,2,2.69821428571428,3.13888888888889,6.72000000000003,1.64076336841266,2.25741130991333
"lotrack",0,0,1,1,1,1.8,3.5,5.5,11.849,1.86212083431916,3.35247767311987
"mpanalyzer",0,0,1,1,1,1,2.775,5.51666666666666,39.8999999999994,2.22555266203704,6.71472807437105
"ptyasm",0,0,1,1,1.1,1.76556776556777,2.77706093189964,3.5,6.44799999999999,1.54190585917688,1.27799231172787
"reassert",0,0,0,1,1,1.44444444444444,2.03333333333334,2.79428571428572,4.41777777777778,1.23692677541134,0.849113468935679
"sonarqubeplugin",0.42,1,1,1,1,2,3.38666666666667,3.975,4.558,1.65413432721125,1.07309083446233
"sparta",0,0,0,0,1,1,2.86875,3.57666666666666,5.8325,1.13110325616855,2.36017121043719
"srcml",0,0,0,0,1,1,2,2.81746031746032,8.64999999999998,0.99389224247877,1.62990983633597
"tacle",0.33,1,1,1.02777777777778,1.79166666666666,2.14772727272728,3.11666666666667,4.09318181818181,5.24285714285715,1.89290263993984,1.1262350406962
"wala",0,0,1,1,1,2,3.17156862745098,4.5,7.39583333333333,1.68645273985765,1.72565796221481
