"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,3,6,12.7291666666667,21.6802197802198,29.1392857142857,50.1489999999999,9.39772642362102,10.5659669553991
"cppcheck",0,0,0,3.96052631578947,9.55,20.9166666666667,30.883605664488,45.5051362683438,83.0454545454545,14.7814745206861,17.8042440033684
"cqual",0,0,1,4.2,9.16071428571428,18.6188854489164,48.6205882352941,86.2357142857142,234.872500000001,23.8300503382337,58.7799988629761
"findbugs",0,0,1,3,6,12.2767857142857,21.6904761904762,30,59.8583333333333,9.93969126947438,14.3713073018567
"findsecuritybugs",2.8,3,3.21428571428571,5.33333333333333,7.5,12.8333333333333,21.4,26.75,52.9999999999999,10.8304540283913,9.51600265795091
"jlint",0,0,0,1.5,4.25,16.35,48.02,81.1688311688312,171.242142857143,18.3612209759937,37.6492342635154
"pixy",0,0,1.26666666666666,3.71428571428571,7,15,28.7333333333334,39.5,64.75,17.294829458138,85.200413818066
"pmd",0,1,3,3,4.56439393939394,9.56989247311828,16,22.0166666666667,37.922,7.58329876568274,8.19515102335998
"rats",0,0,0,0,23.2,33.5082125603865,50.2051948051948,57.7715909090909,60.0543181818182,21.4698769888953,20.7413253644921
"smatch",0,0,0.200000000000003,4.58333333333333,9.69230769230769,16.0303030303031,22.9,26,51.225,11.4656825217864,10.1712312759262
"splint",0,0,1,4.5,9,15,28,42.6666666666667,129.57142857143,14.8634685162378,29.0216632696137
"uno",0,0,0.8,13.6754098360656,27.8723404255319,36.8774509803922,62.8508771929824,87.4499999999996,214.29,38.0420346960231,53.7017622729028
"wap",1,1,1,1,1,7,27.859375,119.655555555556,642.349999999998,26.4239479063283,123.38791495742
