"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,4,7,10.7357142857143,16,17.75,22.9375,7.56153626612069,5.60252342824232
"bogor",0,0,0.400000000000006,1,5.4,9.45454545454546,15.9688888888889,26.2461538461538,64.8008695652172,8.3137193881169,15.5368991228541
"composite",0,0,0,0,10,31.6829268292683,63.4,77.1,79.02,20.1929499442053,26.7217846316886
"cseq",0.299999999999999,7.23636363636363,9.25,11.6666666666667,15.6666666666667,19.6666666666667,21.6388888888889,22.9438405797102,23.6166666666666,15.4660728456471,5.08384032222159
"ejb",0,1,2.5,3.5,5.16666666666667,9.47105263157895,15.77,20.925,57.6379166666667,8.23436673870802,9.61641364675365
"errorprone",0,0,0,0,3,7.03787878787879,14.5,19.9916666666667,34.9933333333333,5.39541741409041,7.98021896351559
"guizmo",0,0,0,1,3.20782726045884,6.81818181818182,11,17,30.5936842105263,5.31154395797181,6.28230986859491
"gumtree",0.89,1,2.47,3.5,5.58333333333333,9.7375,17.05,20.33,35.165,5.31154395797181,6.28230986859491
"indus",0,1,1,3,5.26136363636363,10.7759103641456,18.9975,23.975,36,7.99374553728235,8.55818465451896
"inputtracer",0,0,0,0,0,14.5,31.5210340775559,49,156.439999999999,16.7629185192813,96.8852097951097
"jastadd",0,1,2.2,3,4.625,7.69444444444444,10.7282051282052,15.45,22.42,6.01993570210046,4.73353485396317
"jflow",0,0,2.32571428571428,3.66666666666667,5.75,10.5833333333333,19,22.4,27.81,8.08437867751939,7.04863536646207
"lotrack",0,0,1,3,5,8.97727272727273,19.5,31.3071428571428,70.1560000000001,11.5863131927091,97.7710199266532
"mpanalyzer",0,0,3,3,3,7.75,35.1,52.9916666666666,180.635,12.4756615410053,27.8102182154914
"ptyasm",0,0,1,4,5.66666666666667,10.775,20.7333333333333,29.6928571428571,59.3959999999999,9.42572110699151,11.6245468246107
"reassert",0,0,0,3,3.77777777777778,7.4,12,16.075,26.2079999999999,5.72556827790997,5.53242278755771
"sonarqubeplugin",0.84,3,3,3,5.66666666666667,12.4166666666667,23.28,29.76,1105.1,39.3425446348523,181.035782809396
"sparta",0,0,0,0,2,5.5,13.225,16.41725,33.1811111111111,4.27765665973688,6.5531499975748
"srcml",0,0,0,0,1,5.42222222222222,20.5,51.3913043478261,544.599999999999,19.1317126575307,92.8381038789504
"tacle",0.33,1,1,3.46153846153846,7.20833333333333,11.3020833333333,26.0121212121212,27.8761904761905,235.923333333334,18.7164068270253,57.0725392151851
"wala",0,0,1,3,4.59166666666667,9,16.3666666666666,24,43.7916666666667,7.44619663283529,9.68120869418611
