"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0.0956221198156682,0.922619047619048,2,3,3,5,1.11571457100887,1.13652698445811
"cppcheck",0,0,0,0.0155979381443299,0.572751322751322,1.33333333333333,2,2.36827956989247,3,0.797815590519949,0.842833202580872
"cqual",0,0,0.94,1,1.62601626016261,2,2.41680672268907,2.79559151785715,4.76666666666668,1.60542635934416,1.00418697207735
"findbugs",0,0,0,0.5,1,1.33333333333333,2,2.33333333333333,4,1.00894040110032,0.804004571042917
"findsecuritybugs",0.385714285714286,0.5,0.615384615384615,0.708333333333333,1,1,1.8,2.125,3,1.07422511408623,0.533032131129643
"jlint",0,0,0,0.333333333333333,0.847222222222222,2,3,3.425,4.07,1.31404876688968,1.21825393003019
"pixy",0,0,0.124,0.5,1,1.5,2,3,3.62,1.0584416022557,0.827788153014031
"pmd",0,0,0,0.20625,1,1.5,2,2,3.12199999999998,0.937636687233949,0.791352752691283
"rats",0,0,0,0,1.15555555555556,1.54086021505376,1.69047619047619,1.78896103896104,1.81233766233766,0.944186443678501,0.697241562670768
"smatch",0,0,0.0666666666666675,1,1,1.70185185185185,2,2.24707792207792,3,1.40562861513914,3.28637684986991
"splint",0,0,0.5,1,1,1.41666666666667,2,2.25,3.88000000000001,1.21037664310761,0.664549263725241
"uno",0,0,0.8,1.23611111111111,1.51063829787234,1.6829044117647,2,2.01730769230769,2.14192307692307,1.38479458768512,0.574925030051287
"wap",0,0,0,0,0,0.658333333333333,1,2.75865384615384,7.64222222222222,0.599399617788441,1.54864753305315
