"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0.75,1,1.25,1.5,1.81052631578948,0.657144757717173,0.507506082761304
"bogor",0,0,0,0.25,0.555555555555556,1,2.25,3,5,0.897373680721944,1.04930489914375
"composite",0,0,0,0,1.3,2,3.25365853658537,4.85,7.57,1.75166586959987,2.03560172405186
"cseq",0.00833333333333332,0.233333333333333,0.333333333333333,1,1.22222222222222,1.33333333333333,1.38888888888889,1.56820843091335,1.99,1.07165288835062,0.416957875055838
"ejb",0,0.132372262773723,0.505172413793104,0.75,1,1.5,2,2.04879089615932,2.69380952380952,1.15675403561736,0.692934564328991
"errorprone",0,0,0,0,0,1.33333333333333,2,2,3,0.667409149500828,0.885066742815921
"guizmo",0,0,0,0,0.5,1,1.3,1.90056818181818,2.87013888888889,0.641334869770869,0.687325525090164
"gumtree",0,0,0,0.5,1,1.5,2,2.66499999999999,3.10999999999999,0.641334869770869,0.687325525090164
"indus",0,0,0,0.421428571428572,1,1.2,1.89636363636364,2.28571428571429,3,0.898426813758806,0.693920516762515
"inputtracer",0,0,0,0,0,1,2,2.42857142857143,4,0.701095307575164,1.07096413203745
"jastadd",0,0,0,0.251855600539811,1,1.4,1.90181818181818,2,2,0.915430521134134,0.655697395794367
"jflow",0,0,0,0.5,0.75,1,1.41818181818182,2,3.62,0.820471774027554,0.690919973282493
"lotrack",0,0,0,0.26969696969697,0.666666666666667,1,1.5,2,3.16685714285715,0.75777480016516,0.707720728865327
"mpanalyzer",0,0,0,0,0,0.925,1.25,2,6,0.497411541005291,1.10320316561627
"ptyasm",0,0,0,0.555555555555556,1,1.33333333333333,2,2,4,0.995513474836535,0.731081235916166
"reassert",0,0,0,0,0,0.75,1.57142857142857,2.12,3.21333333333333,0.494074999784268,0.784582828547301
"sonarqubeplugin",0,0,0,0.291666666666667,1,2,2.66666666666667,3,3.5,1.25485753562677,1.04440008013249
"sparta",0,0,0,0,0.333333333333333,1,1.88888888888889,2,2.61495238095237,0.599882340665923,0.743870174313959
"srcml",0,0,0,0,0,1,2,2,4,0.637525063594157,1.26421116707328
"tacle",0,0,0.042857142857143,0.471153846153846,0.916666666666667,1.16666666666667,1.65,1.87,2.48727272727273,0.895055660410332,0.607710515421015
"wala",0,0,0,0.4,0.888888888888889,1.33779761904762,2,2.74671052631579,4.18154761904762,1.00436713152362,0.929005461663743
