"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0,1,1,2,2,0.351648351648352,0.638985765336606
"bogor",0,0,0,0,0,4,5,8,42,2.59082568807339,6.38727971423425
"composite",0,0,0,0,0,1,1.4,2.2,2.84,0.529411764705882,0.874474632195206
"cseq",0.0499999999999998,1,2,2,3,3,4,4,4.95,2.82075471698113,0.944126402063185
"ejb",0,0,0,0,5,6,7,9,85.4699999999995,5.73770491803279,13.3125166380242
"errorprone",0,0,0,0,0,1,2,3,4,0.513799177921315,1.62664103513317
"guizmo",0,0,0,0,0,2,2,4,14,1.34640522875817,2.77771048884534
"gumtree",0,0,0,0,1,2,3.09999999999999,4,6,1.34640522875817,2.77771048884534
"indus",0,0,0,0,0,2,5,8,17.54,1.71564885496183,3.51196580061412
"inputtracer",0,0,0,0,0,2,8,17,34.5599999999999,2.74523227383863,6.67861125862046
"jastadd",0,0,0,0,1,2,3,4,6,1.1864406779661,1.43207802078906
"jflow",0,0,0,0,0,1,2,3,5.24000000000001,0.610169491525424,1.1920706176536
"lotrack",0,0,0,0,0,2,7,11,21,2.24907612712491,7.14234597119681
"mpanalyzer",0,0,0,0,0,0,2,4,8.82999999999996,0.5875,1.84114129149018
"ptyasm",0,0,0,0,1,3,6,8,17,2.10305775764439,3.50665414499044
"reassert",0,0,0,0,0,1,4,4.59999999999999,5.31999999999999,0.946745562130177,1.53242864756439
"sonarqubeplugin",0,0,0,0,1,2,3,3,7.58000000000001,1.37062937062937,1.62150304850604
"sparta",0,0,0,0,0,0,1,1,4.32999999999998,0.238805970149254,0.78543963669118
"srcml",0,0,0,0,0,1,4,7,11,1.24684270952928,2.52389245482194
"tacle",0,0,0,0,1,3,4.7,5,9.69000000000001,1.70588235294118,2.45603044799883
"wala",0,0,0,0,1,3,7,11,22,2.46648895658797,4.7070181048416
