"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,1,2,2,3,4,1.1199782844734,0.967838270325956
"cppcheck",0,0,0,0,0,1,2,2,2,0.627218934911243,0.802499037777909
"cqual",0,0,0,0,0,0,0,0,0,0,0
"findbugs",0,0,0,0,1,2,4,6,7,1.36944818304172,1.83863749647426
"findsecuritybugs",0,0,0,1,1,1,5,5,5,1.50549450549451,1.56612491607383
"jlint",0,0,0,0,0,1,1,1,1,0.386363636363636,0.492544843474156
"pixy",0,0,0,0,1,1,1,2,2,0.707423580786026,0.626173914776694
"pmd",0,0,0,0,1,4,4,5,6,1.85671641791045,1.70499629373267
"rats",0,0,0,0,0,0,0,0,0,0,0
"smatch",0,0,0,0,0,0,0,0,0,0,0
"splint",0,0,0,0,0,0,0,0,0,0,0
"uno",0,0,0,0,0,0,0,0,0,0,0
"wap",0,0,1,1,1,1,1,1,3,0.982248520710059,0.504853273993445
