"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,1,1,1,2,2,0.736263736263736,0.629553013126771
"bogor",0,0,0,1,2,3,4,5,6,2.05137614678899,1.48185189923562
"composite",0,0,0,0,0,0,0,0,0,0,0
"cseq",0,0,0,0,0,0,0,0,0,0,0
"ejb",0,0,0,1,2,2,2,3,5.56999999999999,1.51639344262295,1.10541954538304
"errorprone",0,0,0,0,0,1,2,2,3,0.652965355255432,0.905623677351691
"guizmo",0,0,0,1,2,4,5,5,6,2.27124183006536,1.75973817734397
"gumtree",0,0,0,0,1,1,2,2,3,2.27124183006536,1.75973817734397
"indus",0,0,0,0,1,2,3,4,4.76999999999998,1.30725190839695,1.16639730886123
"inputtracer",0,0,0,0,0,0,0,0,0,0.0039119804400978,0.0765214375795202
"jastadd",0,0,0,0,1,1,2,3,3,0.779661016949153,0.911001658088682
"jflow",0,0,0,0,1,1,2,2,2,0.655367231638418,0.665622577374778
"lotrack",0,0,0,0,1,3,4,5,6,1.53683173195368,1.61355486554026
"mpanalyzer",0,0,0,1,1,1,1,1,1,0.866666666666667,0.340645052222845
"ptyasm",0,0,0,0,1,2,3,3.89999999999998,5,1.11664779161948,1.24948301212034
"reassert",0,0,0,0,0,1,1.20000000000002,3,4,0.556213017751479,0.968909476370707
"sonarqubeplugin",0,0,1,1,2,2,3,3,3,1.68531468531469,0.937629468390414
"sparta",0,0,0,0,0,1,1,2,2,0.511194029850746,0.614940141755075
"srcml",0,0,0,0,0,0,2,4,6.29999999999995,0.611940298507463,1.47890757325289
"tacle",0,0,0,0,1,1,2,2,2,0.705882352941177,0.718981255907142
"wala",0,0,0,0,1,2,3,4,5,1.18926123381569,1.26715837575842
