"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,1,2,5,13,23.9499999999998,63.3599999999997,6.16938110749186,18.494991807016
"cppcheck",0,0,0,1,2,5,9,14.3,50.41,5.62426035502959,21.4681657264662
"cqual",0,0,1,1,1,3.75,12.3,17.15,208.26,9.1025641025641,35.9015934036974
"findbugs",0,0,1,1,2,4,7,11,27.4500000000003,3.53970390309556,7.50556056357865
"findsecuritybugs",1,1,1,1,2,2,2,2.5,6.49999999999997,1.73626373626374,1.34027497042099
"jlint",0,0,0,1,2,3,3,4.7,8.85,2,1.91687730558092
"pixy",0,0,1,1,3,4,7.20000000000002,11,21.16,3.57205240174673,3.78713260934322
"pmd",0,1,1,1,2,4,6,8,22.6099999999999,3.08432835820896,3.92132018276305
"rats",0,0,0,0,1,26,49.4,51.1,51.82,14.1578947368421,21.3001386482048
"smatch",0,0,0.200000000000003,1,1,2,4,7,31.18,2.82608695652174,10.841692931027
"splint",0,0,1,1,1,4,8,12,65.200000000001,4.93098384728341,18.5732950385613
"uno",0,0,0.8,1,2,3,6,6.2,7.64,2.36842105263158,2.19115713508714
"wap",1,1,1,1,1,3,5,11.5999999999999,86,4.12721893491124,14.5097459916169
