"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,1,2,4,9,19,27.2999999999999,4.06593406593407,6.43048675849348
"bogor",0,0,0.400000000000006,1,2,3,7,11,30,3.3651376146789,6.37497658800183
"composite",0,0,0,0,2,3,6,15.4,35.88,4.23529411764706,9.73093913610543
"cseq",0.0499999999999998,1,1,2,3,18,20,21.75,91.5500000000002,8.90566037735849,15.8237484583784
"ejb",0,1,1,2,3,3,9,18,115,7.31967213114754,20.2739535281505
"errorprone",0,0,0,0,1,3,6,9,23.98,2.6347621843805,5.62586053366354
"guizmo",0,0,0,1,3,4,6,14,49.4499999999999,4.53921568627451,9.05502838509998
"gumtree",0.89,1,1,1,2,3,8,10,16.5499999999999,4.53921568627451,9.05502838509998
"indus",0,1,1,1,2,4.25,8,12,28.3099999999999,3.83969465648855,5.06790115198781
"inputtracer",0,0,0,0,0,1,3,8,36.5599999999999,2.58728606356968,16.3272200990626
"jastadd",0,1,1,1,2,6,20.2,25.2,96.9000000000002,8.35593220338983,21.1429964860499
"jflow",0,0,1,1,2,4,7,9.19999999999999,26.9200000000001,3.36158192090396,5.43915662175993
"lotrack",0,0,1,1,2,4,7,10,23,3.52451342695245,6.7092014178557
"mpanalyzer",0,0,1,1,1,1,3,5.04999999999998,8.82999999999996,1.675,2.6454745443594
"ptyasm",0,0,1,1,3,6,10,14,33,5.39297848244621,15.2861829206678
"reassert",0,0,0,1,2,3,6.20000000000002,11,42.32,3.44378698224852,6.93580941491818
"sonarqubeplugin",0.42,1,1,1,2,3,4,5,7.58000000000001,2.53146853146853,1.49083678083865
"sparta",0,0,0,0,1,2,5.30000000000001,9,24.99,2.22014925373134,4.0934821646517
"srcml",0,0,0,0,1,3,8,13,30.3,3.06773823191734,7.42881957519659
"tacle",0.33,1,1,1,2,3,4.7,7,10.35,2.61764705882353,2.33568763325548
"wala",0,0,1,1,2,4,8,12.75,27,3.72353389185072,6.71956023519917
