"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,5,22.5,92.75,304,575.9,1649.65,139.583604777416,611.325868549924
"cppcheck",0,0,0,8,54.5,302.75,1102.6,2527.9,5239.97999999999,433.692307692308,1074.64873289359
"cqual",0,0,4.5,9,49,333.5,1469.2,2425.25,3372.72,453.384615384615,826.267389046547
"findbugs",0,0,2,8,28,77,170.5,307.5,705.250000000001,75.606998654105,150.568647134147
"findsecuritybugs",2.8,3.5,6,12.5,20,52.5,90,139,294.699999999999,43.1428571428571,63.0931536043811
"jlint",0,0,0,3,9,56.5,231,862.950000000001,2220.64,155,499.960324007211
"pixy",0,0,4,14,32,86,275.2,551.4,1442.96,130.930131004367,351.655987711576
"pmd",0,1,3,9,17,50,108,170.2,383.269999999999,44.210447761194,72.0744504181988
"rats",0,0,0,0,470,1437,1578.6,1597.8,1603.56,645.578947368421,679.005344095274
"smatch",0,0,0.200000000000003,8,22,90,326.8,798.9,2029.1,152.378881987578,445.443742727235
"splint",0,0,2,9,21,85,343,1047,4309,235.778267254038,918.126560799022
"uno",0,0,3.2,190.5,639,1213.5,1703,1961.69999999999,3766.74,828.526315789474,996.771085300546
"wap",1,1,1,1,1,32.5,180.5,641.699999999999,9332.95999999997,250.828402366864,1365.54299375606
