"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,6.5,24,72.5,135,160,365.9,50.3516483516484,68.7534037341463
"bogor",0,0,0.400000000000006,3,22,82,181,430.599999999999,1689.91999999998,116.757798165138,491.959269501129
"composite",0,0,0,0,15,153,716.4,1598.6,2557.32,301.352941176471,716.689694112493
"cseq",1.4,33,33,44,164,354,425,512.5,1521.45,236.292452830189,248.412520464348
"ejb",0,3,7.3,14,29,59.5,260.4,456.7,1200,126.475409836066,557.137624583162
"errorprone",0,0,0,0,6,20.5,64,119,333.82,26.6018790369935,72.7964504128248
"guizmo",0,0,0,2.25,17,72,162.5,327,578.7,69.2058823529412,139.518610656008
"gumtree",0.89,3,3.9,8,20,41.75,86.4,120.35,289.819999999998,69.2058823529412,139.518610656008
"indus",0,1,1,6,21,80.25,165.4,261.85,624.489999999999,64.9751908396947,112.50892191077
"inputtracer",0,0,0,0,0,37,249.600000000002,859.2,3710.56,192.333496332518,961.497262904654
"jastadd",0,1.9,4.6,11,27,80,296,482.199999999999,746.6,101.440677966102,176.681407329929
"jflow",0,0,3,8,19,42,95.2,144.4,311.120000000001,40.5706214689266,69.4221836774341
"lotrack",0,0,1,5,18,50,145.2,276.2,839.300000000001,67.9586104951959,206.50932734044
"mpanalyzer",0,0,3,3,3,26,124.2,236.2,397.25,38.3791666666667,81.9244088729185
"ptyasm",0,0,3,12,32,79,165,268.7,500.939999999998,68.3884484711212,104.918604463441
"reassert",0,0,0,3,12,43,142.2,228.8,539.159999999998,51.8284023668639,107.742197366054
"sonarqubeplugin",1.26,3,3,9,17,49,138.6,232.1,1105.1,67.972027972028,183.693634415381
"sparta",0,0,0,0,3,18.25,71.6,135.65,330.969999999998,27.634328358209,69.3628078783989
"srcml",0,0,0,0,2,26,107,245.5,908.599999999989,54.7049368541906,188.950072979736
"tacle",0.66,2,3,13.75,78.5,139.75,263.7,683.399999999998,966.49,143.441176470588,233.061858244267
"wala",0,0,1,6,20.5,55,133,232,586.5,57.2136329017517,134.269933026816
