"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,1,3,7,9.5,13,2.1978021978022,3.1524938284186
"bogor",0,0,0,0,1,3,6,9,25.2399999999998,2.53761467889908,7.7214225129385
"composite",0,0,0,12,17,29,39.2,47.8,59.96,20.1764705882353,16.8494632485639
"cseq",0.0999999999999996,2,2,4,9,58,58.5,62,169.4,32.0188679245283,33.2960690178215
"ejb",0,0,0,1,4,5,8,10,26.2699999999999,4.55737704918033,8.65863747759196
"errorprone",0,0,0,0,0,1,2,4,8.98000000000002,0.756312389900176,2.30386555582134
"guizmo",0,0,0,0,1,3.75,12.5,18.75,156.999999999999,7.01633986928105,29.5830544261824
"gumtree",0,0,0,0,0,2,4,7.54999999999998,35.8799999999999,7.01633986928105,29.5830544261824
"indus",0,0,0,0,1,3,5,9,18,2.21374045801527,3.57012810175079
"inputtracer",0,0,0,0,2,4,8,13.8,50,4.1080684596577,9.49938500611132
"jastadd",0,0,0,0,1,3,5,6.19999999999999,10.52,1.84745762711864,2.59849797012809
"jflow",0,0,0,0,0,2,3,5.19999999999999,22.96,1.75141242937853,4.9158036814561
"lotrack",0,0,0,0,0,1,4,6,17,1.48435575264844,5.52167101617042
"mpanalyzer",0,0,0,0,0,1,4,5.04999999999998,9,1.07083333333333,2.52004170229602
"ptyasm",0,0,0,0,0,0,2,5,13.1799999999999,1.01925254813137,6.22469231785959
"reassert",0,0,0,0,0,1,2.20000000000002,4,9,0.875739644970414,1.756604090799
"sonarqubeplugin",0,0,0,0,1,4,9,26.6000000000001,131.660000000001,6.88111888111888,25.9165751276075
"sparta",0,0,0,0,0,0,2,4,13.99,2.01492537313433,16.1620932909376
"srcml",0,0,0,0,0,1,3,6.5,22.1999999999998,1.63834672789897,5.29900003788268
"tacle",0,0,0,0,2,7.5,10,10.35,15.02,3.91176470588235,4.38570437353567
"wala",0,0,0,0,1,2,5,7,23.25,2.3027418126428,8.90663359543936
