"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,0,0,1,2,6,0.644408251900109,6.52484856380216
"cppcheck",0,0,0,0,0,0,0,0,5.25999999999999,0.35207100591716,3.60723948568838
"cqual",0,0,0,0,0,0,0,0,0,0,0
"findbugs",0,0,0,0,0,0,1,2,7,0.52557200538358,3.09039222160617
"findsecuritybugs",0,0,0,0,0,0,0,1,2.99999999999994,0.21978021978022,1.30641322203792
"jlint",0,0,0,0,0,0,0,1.85,7.71,0.409090909090909,1.63277737154571
"pixy",0,0,0,0,0,0,0,2,5.72,0.550218340611354,3.73970662671187
"pmd",0,0,0,0,0,0,1,3,11,0.650746268656716,4.21265822973052
"rats",0,0,0,0,0,0,0,0,0,0,0
"smatch",0,0,0,0,0,0,0,0,0,0,0
"splint",0,0,0,0,0,0,0,0,0,0,0
"uno",0,0,0,0,0,0,0,0,0,0,0
"wap",0,0,0,0,0,0,0,0,3,0.0828402366863905,0.684028200983841
