"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0,0,1,3.5,5,0.406593406593407,1.20164722109113
"bogor",0,0,0,0,0,1,2,5.79999999999995,17.5599999999999,1.07339449541284,3.22873820628881
"composite",0,0,0,0,0,0,0,0,0,0,0
"cseq",0,0,0,0,0,0,0,0,0,0,0
"ejb",0,0,0,0,0,0,1,2,3,0.709016393442623,7.28839772620622
"errorprone",0,0,0,0,0,0,0,1,6.98000000000002,0.415149735760423,4.20085389009016
"guizmo",0,0,0,0,0,1,2,4,11.85,0.859477124183007,1.87735209091035
"gumtree",0,0,0,0,0,0,2,3,6.10999999999999,0.859477124183007,1.87735209091035
"indus",0,0,0,0,0,1,2,3,7,0.570610687022901,1.68470081461406
"inputtracer",0,0,0,0,0,0,0,0,0,0.00244498777506112,0.049398411545034
"jastadd",0,0,0,0,0,0,1,2.09999999999999,4.84,0.322033898305085,1.0412306704933
"jflow",0,0,0,0,0,0,0,0,2.48000000000002,0.124293785310734,0.914732750101846
"lotrack",0,0,0,0,0,0,1,2,11,0.65730475486573,4.76568539125305
"mpanalyzer",0,0,0,0,0,0,0,0,0,0.6375,9.68358454413607
"ptyasm",0,0,0,0,0,0,1,3,8,0.494903737259343,1.91684473198813
"reassert",0,0,0,0,0,0,0,1,4.63999999999999,0.171597633136095,0.786885318076204
"sonarqubeplugin",0,0,0,0,0,0,4,4,4.58000000000001,0.573426573426573,1.44129006419528
"sparta",0,0,0,0,0,0,0,0.649999999999977,2.32999999999998,0.119402985074627,0.670901636258347
"srcml",0,0,0,0,0,0,0,1,4,0.200918484500574,1.07416862543845
"tacle",0,0,0,0,0,0.75,1.7,2,3.34,0.441176470588235,0.894128201457549
"wala",0,0,0,0,0,0,2,3,9.75,0.60967250571211,2.07671116531289
