"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,1,3,9,26,44.9499999999998,145.36,12.0065146579805,46.7824365817775
"cppcheck",0,0,0,1,6,17,36.3,92.8999999999999,177.49,18.6331360946746,41.1210310604801
"cqual",0,0,1,1,4.5,20.75,77.3,105.8,256,24.8461538461538,49.5423410472654
"findbugs",0,0,1,2,4,7,15,23,59.4500000000003,6.99865410497981,12.1795212930594
"findsecuritybugs",1,1,1,2,2,4,7,13,29.8,4.06593406593407,5.52328846854078
"jlint",0,0,0,1,2,3,13.1,17.55,21,4.06818181818182,5.45338694532817
"pixy",0,0,1,2,4,8,18.2,29,59.16,8.37991266375546,14.21883289037
"pmd",0,1,1,2,3,6,12,20,46.6099999999999,6.02164179104478,10.0732334260904
"rats",0,0,0,0,11,40.5,49.4,51.1,51.82,20.3157894736842,20.4967548422751
"smatch",0,0,0.200000000000003,1,2,7,21.8,43,99.5200000000001,9.65631469979296,25.8830335912188
"splint",0,0,1,1,3,8,20,43,178.400000000001,11.3039647577093,34.5894424409418
"uno",0,0,0.8,6.5,17,40.5,53.8,70.4999999999998,138.9,28.3684210526316,36.4740555072534
"wap",1,1,1,1,1,3,5,17.15,86,4.6301775147929,14.9655164646747
