"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,1.5,3,7,17,21.5,27.2999999999999,5.84615384615385,7.12261356045826
"bogor",0,0,0.400000000000006,1,4,10,17,27.8,45.1199999999999,8.31376146788991,18.2902128877649
"composite",0,0,0,0,2,4,22.4,47.2,67.04,8.64705882352941,19.0096724605876
"cseq",0.149999999999999,3,3,3,14,18,21,25.25,117.2,14.0943396226415,16.9630008025236
"ejb",0,1,1,4,5,8,19.7,37.85,115,12.8770491803279,40.1385620376496
"errorprone",0,0,0,0,1,3,7,11,29,3.15443335290664,6.80819924685176
"guizmo",0,0,0,2,5,11,22,38,66.95,9.30392156862745,13.3392967217127
"gumtree",0.89,1,1,2,3,6,10,17.6499999999999,42.6499999999998,9.30392156862745,13.3392967217127
"indus",0,1,1,2,4,8,14,18,34,6.28435114503817,7.26823304690152
"inputtracer",0,0,0,0,0,2,11,27.8,135.56,6.67775061124694,31.1815327268576
"jastadd",0,1,1,2,6,16,32.6,83.5999999999996,157.1,17.8474576271186,34.9397577905082
"jflow",0,0,1,1,3,5,10,14.2,34.24,4.75706214689266,6.34364108608537
"lotrack",0,0,1,1,3,7,13,19,41,6.13353042621335,15.1580926869318
"mpanalyzer",0,0,1,1,1,1,6,9.04999999999998,18.2699999999999,2.29583333333333,3.7528208822986
"ptyasm",0,0,1,2,5,9,17,25,49.1799999999999,8.22650056625142,16.8543413022662
"reassert",0,0,0,1,2,6,14.2,29.6,51.4399999999999,6.40828402366864,10.7793973466491
"sonarqubeplugin",0.42,1,1,2,3,5,6,8.90000000000001,13.58,3.55244755244755,2.63422309063678
"sparta",0,0,0,0,1,3.25,8.30000000000001,15,28,3.17910447761194,6.00106201121533
"srcml",0,0,0,0,1,3,10,19,42.1999999999998,3.86222732491389,9.46958029140629
"tacle",0.33,1,1.3,4,8,15.25,25.4,28.45,37.02,11,9.68597861953978
"wala",0,0,1,2,4,8,15,23,45.5,6.58682406702209,10.0977829554001
