"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,0,0,2,3,13,0.910966340933768,6.26195319673377
"cppcheck",0,0,0,0,0,1,4,7,15.26,1.34023668639053,4.11693786592469
"cqual",0,0,0,0,2.5,15.75,70.3,90.15,268.430000000002,25.3846153846154,81.5126841805475
"findbugs",0,0,0,0,0,0,2,4,12,0.655450874831763,2.51320965962014
"findsecuritybugs",0,0,0,0,0,0,0,1,4.09999999999999,0.142857142857143,0.692361956901937
"jlint",0,0,0,0.75,2,5,9.40000000000001,14.55,19.99,3.75,4.91379169656278
"pixy",0,0,0,0,0,0,0,1.59999999999999,8.31999999999999,0.436681222707424,2.82092111817273
"pmd",0,0,0,0,0,0,1,2,7,0.364925373134328,1.55951187584981
"rats",0,0,0,0,24,41.5,43.6,46.4,49.28,22.5263157894737,19.3401379434717
"smatch",0,0,0,0,1,4,8.80000000000001,13.9,91.9800000000001,4.824016563147,16.4566601311422
"splint",0,0,0,0,1,4,9,20,98.6000000000001,6.00734214390602,19.4406700475061
"uno",0,0,0.8,4.5,16,45,64,77.5999999999999,117.92,30.3157894736842,33.0404678329452
"wap",0,0,0,0,0,0,0,1,323.709999999999,6.49408284023669,51.60005084089
