"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0,0,1,2.5,5.09999999999999,0.340659340659341,1.02436734101027
"bogor",0,0,0,0,0,0,0,2,7,0.585321100917431,6.27879873428045
"composite",0,0,0,1,2,10,25,42.2,58.84,9.52941176470588,16.7709482702187
"cseq",0.0999999999999996,2,2,4,9,58,58.5,62,169.4,32.0188679245283,33.2960690178215
"ejb",0,0,0,0,1,3,4.70000000000002,6,16.1299999999999,2.24180327868852,8.33178593202613
"errorprone",0,0,0,0,0,0,0,1,3,0.139166177334116,0.8873102041216
"guizmo",0,0,0,0,0,0,5,10.5,156.999999999999,4.72875816993464,29.3934578941878
"gumtree",0,0,0,0,0,0,1,1,10.8799999999999,4.72875816993464,29.3934578941878
"indus",0,0,0,0,0,0,1,2,5,0.320610687022901,1.20557770366727
"inputtracer",0,0,0,0,2,4,8,13.8,50,4.08117359413203,9.50704047445176
"jastadd",0,0,0,0,0,0,1,2.19999999999999,6.26000000000001,0.423728813559322,1.35447393822394
"jflow",0,0,0,0,0,0,1,1,7.24000000000001,0.615819209039548,3.71106737449457
"lotrack",0,0,0,0,0,0,1,2,7.42000000000007,0.424735156442474,3.93765348657777
"mpanalyzer",0,0,0,0,0,0,2.09999999999999,4,8.60999999999999,0.6875,1.89644293768613
"ptyasm",0,0,0,0,0,0,1,3,13.1799999999999,0.813137032842582,6.17508779766451
"reassert",0,0,0,0,0,0,0,1,2.31999999999999,0.142011834319527,0.526622865736248
"sonarqubeplugin",0,0,0,0,0,1,4.60000000000002,26.6000000000001,130.660000000001,5.55244755244755,26.0088496103116
"sparta",0,0,0,0,0,0,0,2,4.98999999999995,1.58955223880597,16.0384429024481
"srcml",0,0,0,0,0,1,2,4,14.5999999999999,1.02296211251435,4.72016227533116
"tacle",0,0,0,0,0,0,0,0,0.670000000000002,0.0294117647058824,0.171498585142509
"wala",0,0,0,0,0,0,1,2.75,10,0.823305407463823,8.08526027991238
