"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,1,1,4,10,17.5,24.8999999999999,3.74725274725275,6.05271914393928
"bogor",0,0,0,1,4,9,15,22.8,38.5599999999999,6.67889908256881,9.28142588360278
"composite",0,0,0,0,2,4,22.4,47.2,67.04,8.64705882352941,19.0096724605876
"cseq",0.149999999999999,3,3,3,14,18,21,25.25,117.2,14.0943396226415,16.9630008025236
"ejb",0,1,1,4,4,6,18,30.7,115,10.2909836065574,21.6396165582908
"errorprone",0,0,0,0,1,3,6,9,27.98,2.79448032883147,6.43087021518047
"guizmo",0,0,0,1,4,8,18,35.5,66.85,7.78758169934641,12.8901020370705
"gumtree",0,1,1,1,2,4,8,14.55,41.7599999999998,7.78758169934641,12.8901020370705
"indus",0,0,1,1,3,7,11,14.85,28.54,4.85687022900763,6.12275092623678
"inputtracer",0,0,0,0,0,2,11,27.8,135.56,6.67139364303179,31.1813172942321
"jastadd",0,0.9,1,2,5,11,29.4,79.0999999999995,157.1,16.2203389830508,34.8034222438413
"jflow",0,0,0,1,2,4,7.40000000000001,10.4,26.2,3.55367231638418,4.88489096428185
"lotrack",0,0,1,1,2,6,11,17,37,5.29859571322986,14.6270719088209
"mpanalyzer",0,0,1,1,1,1,3.19999999999999,7.04999999999998,12.22,1.925,3.22039135852959
"ptyasm",0,0,1,2,4,8,15,23,49,7.37146092865232,16.605676187681
"reassert",0,0,0,1,2,4,12,27.6,47.28,5.44970414201183,9.67563904780328
"sonarqubeplugin",0,1,1,2,2,3,5,6.90000000000001,11.74,2.78321678321678,2.20159948302592
"sparta",0,0,0,0,1,2,5,9,27.33,2.35820895522388,4.98447475070783
"srcml",0,0,0,0,1,3,9,13,34.3,3.21928817451206,8.31541401839498
"tacle",0.33,1,1,3,7,12.75,20.7,23.35,30.7,9.29411764705882,8.18175876389595
"wala",0,0,1,1,3,6,12,18,36,5.23381568926123,7.01944068228458
