"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,2,6,25,78,148,543.18,39.0803474484256,155.629534256705
"cppcheck",0,0,0,2,15,67,180.5,375.55,707.79,73.2514792899408,159.575825202012
"cqual",0,0,1,4.25,14,124.5,627.2,745.399999999999,1043.44,146.192307692308,273.991850181778
"findbugs",0,0,1,3,8,24,52,88.75,202.900000000001,22.278600269179,42.9211998938636
"findsecuritybugs",1,1.5,3,5,6,10,17,38,105.3,11.6593406593407,20.4043676044669
"jlint",0,0,0,2,4,17,39.7000000000001,94.4,198.08,20.0227272727273,44.4304989719971
"pixy",0,0,2,5,9,22,71.4,99.9999999999999,284.92,25.9039301310044,49.7729884497924
"pmd",0,1,2,3,7,18,39,68.05,139.049999999999,16.7850746268657,28.8600198880849
"rats",0,0,0,0,65,399,542.6,551,565.4,190.421052631579,230.772932119065
"smatch",0,0,0.200000000000003,3,7,41.5,121.6,281.9,779.040000000001,57.1718426501035,159.483533255921
"splint",0,0,1,3,7,28,105,267,1151.60000000002,67.71953010279,264.292906334246
"uno",0,0,0.8,27.5,93,302,510.8,746.599999999998,1413.32,246.052631578947,373.045644166473
"wap",1,1,1,1,1,3,16.3,100,185.15,12.3284023668639,40.5273306813821
