"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,2,5,11.5,27,46.5,72.6,11.3186813186813,16.2766903002621
"bogor",0,0,0.400000000000006,2,8,27,49.6,95.8,349.279999999999,31.2183486238532,144.204416136599
"composite",0,0,0,0,3,20,110,240.6,370.52,43.6470588235294,104.365907494061
"cseq",0.699999999999998,14,15,22,83,121,130,161.75,176.9,76,54.2154432400426
"ejb",0,1,2,12,15,27.25,70,114,410,46.4713114754098,231.607078216005
"errorprone",0,0,0,0,2,6,13,25,60.98,5.90546095126248,15.2378668038404
"guizmo",0,0,0,2,8,29.5,71.5,109.25,325.95,28.7156862745098,56.652008333474
"gumtree",0.89,1,1,2,7,16,36,52.55,102.86,28.7156862745098,56.652008333474
"indus",0,1,1,3,7,21,43,65,138.639999999999,16.8893129770992,26.4034581196162
"inputtracer",0,0,0,0,0,8,47.6000000000001,145,647.56,36.1158924205379,220.867449616608
"jastadd",0,1,1,3,12,34,73.4,206.1,344.62,38.6949152542373,73.5923661327038
"jflow",0,0,1,1,4,11,22,37.9999999999999,81.9600000000003,10.3785310734463,18.6754028826688
"lotrack",0,0,1,2,6,17,40,67,187.52,18.1825572801183,54.8916350915152
"mpanalyzer",0,0,1,1,1,2,17.1,27.05,40.22,5.21666666666667,11.2864441467799
"ptyasm",0,0,1,3,9,21.5,48,67.9,147.319999999999,19.0509626274066,31.3316453931253
"reassert",0,0,0,1,4,15,38.0000000000001,59.1999999999999,140.68,15.1834319526627,32.7264376898232
"sonarqubeplugin",0.42,1,2,3,7,17.5,35.6,51.3,200.28,17.7622377622378,34.3271251595254
"sparta",0,0,0,0,1,4,18,27.65,74.3199999999999,5.55223880597015,12.8095044091751
"srcml",0,0,0,0,1,9,27,41.5,177.4,11.1113662456946,38.5659935586484
"tacle",0.33,1.65,2,5.5,21.5,56.75,82.1,112.4,169.94,35.6176470588235,42.3914047218997
"wala",0,0,1,2,8,20,46,79.75,198.75,20.4226961157654,43.4206481814772
