"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,1,6,30,70,403.599999999997,18.328990228013,84.1061272882763
"cppcheck",0,0,0,0,2.5,20,54,85.7499999999999,319.69,24.0325443786982,85.0903628949947
"cqual",0,0,0,0,1,18,133.2,195.45,414.100000000002,37.5512820512821,103.898757843643
"findbugs",0,0,0,0,1,8,25,55.5,180.3,13.0349932705249,57.5713767519161
"findsecuritybugs",0,0,0,0,0,2,4,6,13.3999999999998,1.69230769230769,4.98819118339016
"jlint",0,0,0,0,2,7.75,13.4,23.1,41.14,5.59090909090909,9.65044445733467
"pixy",0,0,0,0,2,10,30,53.2,348.12,17.1703056768559,58.0930272591662
"pmd",0,0,0,0,2,6,13.1000000000001,25.05,74.6099999999999,6.14402985074627,16.7781109009962
"rats",0,0,0,0,4,26,98.8,102.2,103.64,22.3157894736842,37.7477779060186
"smatch",0,0,0,0,2,9,30,51.5999999999999,478.78,42.3312629399586,458.129778759879
"splint",0,0,0,0,3,24,69,166,999.200000000005,54.8091042584435,370.915772870404
"uno",0,0,0,0,2,16,24,26.9999999999999,48.6,9.21052631578947,13.7823516271451
"wap",0,0,0,0,0,0,8.30000000000001,45.15,485.94,18.8165680473373,128.325261663731
