"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"accessanalysis",0,0,0,0,0,1,4,4,12.2,0.956043956043956,2.32814703579233
"bogor",0,0,0,0,0,8,14,54.8,172.48,22.2165137614679,296.776593446941
"composite",0,0,0,0,0,2,9,15.4,35.88,4.05882352941176,10.0216677020051
"cseq",0.0499999999999998,1.25,2,6,9,54,78,87,114.45,26.9339622641509,37.2405996749642
"ejb",0,0,0,0,15,18,24,36,8300.39999999992,187.565573770492,1474.73742093396
"errorprone",0,0,0,0,0,1,6,10,44,2.57428068115091,11.9042980095829
"guizmo",0,0,0,0,0,6,10,15.75,73.5999999999999,4.88235294117647,13.7299200272147
"gumtree",0,0,0,0,1,4,8.09999999999999,19.1,51.6299999999995,4.88235294117647,13.7299200272147
"indus",0,0,0,0,0,4,16,24,59.0799999999999,5.64312977099237,18.3851021068241
"inputtracer",0,0,0,0,0,3,20,83.5999999999999,507.679999999998,28.6068459657702,216.009748167538
"jastadd",0,0,0,0,2,9.5,24.8,50.4,93.5400000000001,9.47457627118644,22.3100069801712
"jflow",0,0,0,0,0,2,6.80000000000001,12,40.8000000000004,2.76271186440678,9.64837300765861
"lotrack",0,0,0,0,0,7,22,40,127.26,10.4786893323479,69.6225140096929
"mpanalyzer",0,0,0,0,0,0,4,8.04999999999998,25.22,1.45,5.42479970900725
"ptyasm",0,0,0,0,2,10.5,30,54,132.72,11.6115515288788,29.7678044090601
"reassert",0,0,0,0,0,3,10,15.6,70.5599999999998,5.10650887573965,23.1650499830174
"sonarqubeplugin",0,0,0,0,2,6,9,12,24.6400000000001,3.93706293706294,6.02718814595291
"sparta",0,0,0,0,0,0,2,6.59999999999991,26.6499999999999,1.22014925373134,5.9592911104793
"srcml",0,0,0,0,0,3,20,52,237.799999999998,14.5017221584386,107.870301791202
"tacle",0,0,0,0,2,3.75,6.7,10.05,14.01,2.73529411764706,3.62908138914729
"wala",0,0,0,0,1,7,24,54,184.25,13.9592536176695,82.7251390135679
