tool, release, total_modules, change_cost, sc_75, sc_90, sc_95
pmd, pmd-src-4.2.5, 844, 0.06, 6, 15, 28
pmd, pmd-src-4.3, 852, 0.06, 6, 15, 28
pmd, pmd-src-5.0.0, 1043, 0.03, 6, 14, 25
pmd, pmd-src-5.0.4, 1052, 0.02, 6, 12, 24
pmd, pmd-src-5.1.0, 1238, 0.02, 6, 12, 24
pmd, pmd-src-5.1.3, 1254, 0.02, 6, 12, 25
pmd, pmd-src-5.2.0, 1295, 0.02, 6, 12, 25
pmd, pmd-src-5.3.0, 1341, 0.01, 6, 12, 25
pmd, pmd-src-5.3.3, 1342, 0.02, 6, 12, 25
pmd, pmd-src-5.3.7, 1374, 0.01, 6, 12, 25
pmd, pmd-src-5.4.0, 1332, 0.02, 6, 12, 26
pmd, pmd-src-5.4.2, 1366, 0.02, 6, 12, 26
pmd, pmd-src-5.5.2, 1530, 0.01, 6, 12, 25
