tool, release, total_modules, total_eloc, sc_75, sc_90, sc_95, lanza_low, lanza_medium, lanza_high
2ls, 2ls-2ls-0.5, 671, 27560, 4, 8, 10, -7.19878818047201, 3.23248882265276, 13.6637658257775
accessanalysis, AccessAnalysis-1.2-src, 91, 6464, 1, 4, 4, -1.37210307974838, 0.956043956043956, 3.28419099183629
bogor, bogor-core, 545, 65015, 8, 14, 55, -274.560079685473, 22.2165137614679, 318.993107208409
civl, civl-0.1, 121, 7069, 2, 8, 12, -10.8017851858523, 4.1404958677686, 19.0827769213895
civl, civl-0.10, 302, 27538, 10, 30, 55, -41.2395709819204, 13.4966887417219, 68.2329484653642
civl, civl-0.15, 572, 55675, 8, 24, 45, -55.5127038959889, 11.7272727272727, 78.9672493505343
civl, civl-0.5, 211, 19494, 6, 24, 48, -24.6896438006268, 11.1469194312796, 46.9834826631861
civl, civl-1.0, 745, 73182, 7, 26, 45, -26.9606196681664, 10.6308724832215, 48.2223646346094
civl, civl-1.1, 804, 79118, 7, 26, 46, -27.0162901470905, 10.6330845771144, 48.2824593013193
civl, civl-1.2, 1029, 154786, 8, 39, 95, -551.679862236837, 52.9757045675413, 657.631271371919
civl, civl-1.3, 1052, 155942, 8, 38, 88, -546.071871458775, 51.9838403041825, 650.03955206714
civl, civl-1.4, 1062, 157284, 8, 38, 88, -543.577214346132, 51.7344632768362, 647.046140899805
civl, civl-1.5, 1199, 186814, 9, 38, 90, -535.848676839445, 50.2685571309425, 636.38579110133
civl, civl-1.6, 1220, 189271, 9, 36, 90, -531.375587331067, 49.7467213114754, 630.869029954018
civl, civl-1.7, 1531, 194856, 6, 30, 72, -559.722157459423, 48.2488569562378, 656.219871371899
civl, civl-1.8, 1885, 227032, 6, 35, 78, -649.377242710951, 54.5474801061008, 758.472202923152
closure-compiler, closure-compiler-20110119, 1122, 143533, 4, 17, 42, -21.5764637292665, 8.79144385026738, 39.1593514298012
closure-compiler, closure-compiler-20110811, 1730, 238180, 5, 20, 40, -34.4563569890595, 10.5127167630058, 55.4817905150711
closure-compiler, closure-compiler-20120305, 1802, 244610, 5, 20, 42, -39.0000800108415, 11.134295227525, 61.2686704658914
closure-compiler, closure-compiler-20120917, 1836, 250808, 6, 20, 42, -42.6089125891022, 11.6759259259259, 65.9607644409541
closure-compiler, closure-compiler-20130227, 1759, 252111, 6, 20, 48, -45.7586724241707, 12.3968163729392, 70.552305170049
closure-compiler, closure-compiler-20130722, 1806, 259499, 6, 20, 48, -48.3033679511694, 12.7823920265781, 73.8681520043255
closure-compiler, closure-compiler-20140110, 2004, 277383, 5, 20, 45, -61.834921706382, 13.5933133732535, 89.021548452889
closure-compiler, closure-compiler-20140730, 1573, 215429, 4, 20, 48, -43.7686849140095, 12.0292434837889, 67.8271718815874
closure-compiler, closure-compiler-20150126, 1596, 223870, 5, 22, 56, -47.6804210616115, 13.234962406015, 74.1503458736416
closure-compiler, closure-compiler-20150729, 1649, 242429, 6, 26, 65, -56.2952914088208, 15.6476652516677, 87.5906219121562
closure-compiler, closure-compiler-20160125, 1724, 258764, 5, 28, 68, -58.0422451343306, 16.0429234338747, 90.12809200208
closure-compiler, closure-compiler-20160517, 1800, 272867, 6, 30, 68, -63.5219382197856, 17.6855555555556, 98.8930493308967
closure-compiler, closure-compiler-20160713, 1860, 280522, 6, 30, 70, -66.270161525685, 18.4327956989247, 103.135752923534
codeboost, codeboost-0.3.0, 93, 551936, 3, 9, 15, -3.14431237599325, 4.05376344086022, 11.2518392577137
composite, composite-0.4, 17, 20197, 2, 9, 41, -5.96284417259331, 4.05882352941176, 14.0804912314168
cppcheck, cppcheck-1.30, 91, 14902, 8, 9, 12, -10.264749941658, 6.13186813186813, 22.5284862053943
cppcheck, cppcheck-1.35, 111, 24578, 8, 20, 25, -54.3510394062364, 13.5135135135135, 81.3780664332635
cppcheck, cppcheck-1.40, 127, 35424, 10, 20, 44, -49.6906064044375, 14.1574803149606, 78.0055670343588
cppcheck, cppcheck-1.45, 194, 60287, 12, 36, 60, -42.6229500394278, 15.4639175257732, 73.5507850909742
cppcheck, cppcheck-1.50, 236, 81664, 12, 35, 60, -36.6386766717957, 14.5550847457627, 65.7488461633211
cppcheck, cppcheck-1.55, 284, 94590, 14, 42, 70, -43.2076746497279, 16.5633802816901, 76.3344352131082
cppcheck, cppcheck-1.60, 307, 106065, 15, 45, 70, -51.8602937760524, 17.9869706840391, 87.8342351441306
cppcheck, cppcheck-1.62, 333, 117960, 14, 45, 80, -50.0760008918526, 17.6426426426426, 85.3612861771379
cppcheck, cppcheck-1.65, 317, 123176, 15, 49, 90, -51.5201776548007, 20.4794952681388, 92.4791681910783
cppcheck, cppcheck-1.70, 332, 138143, 20, 50, 85, -53.7906782090663, 22.7469879518072, 99.2846541126808
cppcheck, cppcheck-1.72, 338, 141059, 20, 54, 90, -61.0578185162964, 24.0325443786982, 109.122907273693
cppcheck, cppcheck-1.75, 368, 141331, 16, 55, 85, -61.1514100182934, 24.3016304347826, 109.754670887859
cppcheck, cppcheck-1.77, 389, 145818, 16, 60, 100, -65.30027045299, 25.8380462724936, 116.976362997977
cqual, cqual-0.981, 78, 29997, 18, 136, 198, -66.3474757923605, 37.5512820512821, 141.450039894925
cseq, cseq-0.5, 106, 3626, 54, 80, 88, -10.3066374108133, 26.9339622641509, 64.1745619391151
ejb, EJB, 244, 23387, 18, 24, 36, -1287.17184716347, 187.565573770492, 1662.30299470446
error-prone, error-prone-2.0.11, 1791, 76006, 2, 6, 12, -9.35079453331975, 2.76214405360134, 14.8750826405224
error-prone, error-prone-2.0.12, 1871, 79531, 2, 6, 12, -9.64133530566142, 2.85836451095671, 15.3580643275748
error-prone, error-prone-2.0.13, 1906, 81542, 2, 6, 12, -9.6964582737108, 2.89716684155299, 15.4907919568168
error-prone, error-prone-2.0.14, 1939, 83245, 2, 6, 12, -9.01874125215065, 2.76843733883445, 14.5556159298195
error-prone, error-prone-2.0.15, 1988, 85506, 2, 6, 12, -8.90340227868383, 2.74396378269618, 14.3913298440762
error-prone, error-prone-2.0.2, 1171, 39513, 2, 6, 12, -11.0297147036203, 3.13236549957301, 17.2944457027663
error-prone, error-prone-2.0.4, 1208, 42185, 2, 6, 10, -12.0061258917017, 2.81208609271523, 17.6302980771321
error-prone, error-prone-2.0.5, 1512, 57742, 1, 6, 10, -11.123044473238, 2.51653439153439, 16.1561132563068
error-prone, error-prone-2.0.6, 1557, 60045, 1, 6, 10, -11.0518174844983, 2.5606936416185, 16.1732047677353
error-prone, error-prone-2.0.7, 1584, 63569, 1, 6, 10, -11.1472231403726, 2.65025252525253, 16.4477281908777
error-prone, error-prone-2.0.8, 1635, 64939, 1, 6, 10, -9.4859630064252, 2.56941896024465, 14.6248009269145
error-prone, error-prone-2.0.9, 1703, 67638, 1, 6, 10, -9.33001732843203, 2.57428068115091, 14.4785786907338
error-prone, error-prone-2.0, 1063, 34084, 1, 6, 10, -9.77623900463399, 2.79774223894638, 15.3717234825268
findbugs, findbugs-1.2.1-source, 1044, 82833, 7, 20, 36, -31.0557482280136, 9.22222222222222, 49.5001926724581
findbugs, findbugs-1.3.4-source, 1216, 95771, 7, 21, 42, -33.284314403312, 9.94983552631579, 53.1839854559436
findbugs, findbugs-1.3.5-source, 1257, 98914, 7, 21, 40, -31.1872403768677, 9.40572792362769, 49.9986962241231
findbugs, findbugs-1.3.6-source, 1258, 99835, 8, 21, 42, -31.3001635097004, 9.65182829888712, 50.6038201074747
findbugs, findbugs-1.3.7-source, 1261, 100432, 7, 22, 42, -31.934059351194, 9.75495638382236, 51.4439721188388
findbugs, findbugs-1.3.8-source, 1275, 102751, 7, 22, 42, -34.0436366359213, 10.1858823529412, 54.4154013418037
findbugs, findbugs-1.3.9-source, 1354, 110932, 7, 24, 48, -55.3483590138117, 11.5014771048744, 78.3513132235605
findbugs, findbugs-2.0.0-source, 1459, 120517, 7, 24, 52, -46.8091428070751, 12.6847155586018, 72.1785739242787
findbugs, findbugs-2.0.1-source, 1465, 121383, 7, 24, 54, -45.6264280465271, 12.8061433447099, 71.2387147359469
findbugs, findbugs-2.0.2-source, 1469, 121988, 7, 24, 56, -45.8231681188919, 12.8876786929884, 71.5985255048688
