noc_mean accm_mean amloc_mean lcom4_mean cbo_mean dit_mean rfc_mean sc_mean total_cof
NIST:boon-1.0 0.00 3.88 20.29 1.33 2.83 0.00 72.33 4.67 0.16
NIST:clang-tools-extra-3.7.1.src 0.18 1.39 7.20 2.21 91.47 0.34 7.15 202.42 0.00
NIST:compiler-latest 0.11 0.71 1.60 0.51 1.49 0.11 0.69 0.80 0.01
NIST:cppcheck-1.72 0.35 3.01 14.78 5.60 89.38 0.63 73.33 530.71 0.05
NIST:cqual-0.981 0.00 3.76 23.79 9.10 31.32 0.00 145.91 325.88 0.32
NIST:findbugs-3.0.1 0.53 2.31 9.94 3.54 364.08 1.37 22.28 1227.55 0.00
NIST:findsecbugs-plugin-1.4.5-sources 0.22 2.48 10.83 1.74 6.75 1.51 11.66 12.22 0.02
NIST:jlint-3.1.2 0.00 112.02 49.98 1.67 1.00 0.00 60.33 1.67 1.33
NIST:pixy-master 0.55 1.99 17.29 3.56 77.37 0.71 26.00 267.67 0.03
NIST:pmd-src-5.4.1 0.65 1.65 7.58 3.08 245.50 1.86 16.79 721.68 0.00
NIST:rats-2.4 0.00 3.81 21.47 14.16 6.32 0.00 190.47 84.53 0.22
NIST:smatch.git 0.00 2.34 11.21 2.88 95.01 0.00 57.08 253.44 0.04
NIST:splint-3.1.2 0.00 2.08 14.97 4.96 280.60 0.00 67.23 1000.31 0.04
NIST:uno 0.00 4.74 37.62 2.26 8.00 0.00 245.63 17.58 1.56
NIST:wap-2.1 0.08 2.16 26.42 4.13 37.04 0.98 12.33 157.49 0.01
PAPERS:SonarQube-plug-in-master 0.57 1.65 39.34 2.53 27.63 1.69 17.76 65.45 0.02
PAPERS:srcML-src 0.20 1.06 19.16 3.08 72.72 0.61 11.08 366.67 0.00
PAPERS:WALA-R_1.3.8 0.61 1.69 7.45 3.72 586.54 1.19 20.42 2245.16 0.00
PAPERS:error-prone-2.0.9 0.42 1.16 5.39 2.63 148.66 0.65 5.91 397.44 0.00
PAPERS:indus.indus 0.41 1.22 5.07 3.80 39.94 1.00 12.74 159.36 0.01
PAPERS:indus.javaslicer 0.26 2.06 11.80 3.74 13.25 0.93 19.59 52.54 0.04
PAPERS:indus.staticanalyses 0.38 1.81 10.32 3.82 32.93 1.24 14.48 112.24 0.01
PAPERS:tacle_1_2_1_src 0.44 1.89 18.72 2.62 12.24 0.71 35.62 27.94 0.13
PAPERS:jastadd2-src 0.32 1.48 6.02 8.36 13.98 0.78 38.69 109.97 0.09
PAPERS:AccessAnalysis-1.2-src 0.41 1.36 7.56 4.07 4.75 0.74 11.32 21.91 0.01
PAPERS:bakar-dev-20160415-002013 0.97 1.06 3.33 9.17 7.92 1.95 10.43 73.06 0.00
PAPERS:valgrind-inputtracer 0.00 1.45 16.21 2.60 466.86 0.00 36.03 1115.77 0.01
