acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
ProducerConsumer 2 2 8 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 1 16 0 12 2 0 2 1 2 0 0 0 4 0 0 0 0 0 0 0
TokenCollector 0 1 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0
CalcGUI 0 5.2 30.8 0 0.8 0 0 0 0 3 0 0 0 1 0 0 0 3 154 0 106 0 0 5 0 5 0 0 0 13 0 0 0 9 0 0 0
CharCollector 2 1.77777777777778 8.5 0 0.277777777777778 0 0 0 0 0 0 0 0 1 0 0 0 7 153 0 30 4 0 18 1 16 0 0 0 45 0 0 0 0 0 0 0
MyLexer 0 1 5 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 10 0 5 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0
ASTAddNode 0 1 8 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 8 0 8 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
ASTAndNode 0 2 14 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 14 0 14 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
ASTAssignment 0 1 7 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 7 0 7 0 0 1 0 1 0 0 0 6 0 0 0 2 0 0 0
ASTBitwiseAndNode 0 3 12 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
ASTBitwiseComplNode 0 1 6 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 6 0 6 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
ASTBitwiseOrNode 0 3 12 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
ASTBitwiseXorNode 0 3 12 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
