acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::google::errorprone::BugPattern 4 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 13 13 0 1 0 0 13 0 13 0 0 0 14 0 0 0 13 0 0 0
com::google::errorprone::BugPattern::LinkType 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
com::google::errorprone::BugPattern::Category 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
com::google::errorprone::BugPattern::SeverityLevel 31 1 3 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 3 5 0 2 4 2 0 0 0 2 0 0 0 0 0 0 0
com::google::errorprone::BugPattern::MaturityLevel 20 1 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 3 0 3 3 0 1 3 1 0 0 0 2 0 0 0 1 0 0 0
com::google::errorprone::BugPattern::Suppressibility 14 1 3 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 3 4 0 2 3 2 0 0 0 2 0 0 0 0 0 0 0
com::google::errorprone::BugPatternValidator 0 13 44 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 44 0 44 2 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0
com::google::errorprone::ValidationException 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::google::errorprone::BugPatternValidatorTest 0 1 14.1538461538462 0 0 0 0 0 0 5 0 0 0 0 0 0 0 13 184 0 19 0 0 13 0 13 0 0 0 64 0 0 0 65 0 0 0
com::google::errorprone::BugPatternValidatorTest::CustomSuppressionAnnotation 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
com::google::errorprone::BugPatternValidatorTest::CustomSuppressionAnnotation2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
com::google::errorprone::annotations::CanIgnoreReturnValue 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
