acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
edu::umd::cs::findbugs::anttask::AbstractFindBugsTask 25 1.84 8.16 0 0.56 0 0 0 0 1 0 0 0 1 0 0 0 5 204 0 47 16 7 25 4 15 0 0 0 68 0 0 0 5 0 0 0
edu::umd::cs::findbugs::anttask::AbstractFindBugsTask::SystemProperty 2 1 1.2 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 3 6 0 2 2 0 5 0 5 0 0 0 9 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::ComputeBugHistoryTask 0 1.69230769230769 5.76923076923077 0 0.615384615384615 0 0 0 0 1 0 0 0 2 0 0 0 9 75 0 26 8 0 13 0 9 0 0 0 27 0 0 0 9 0 0 0
edu::umd::cs::findbugs::anttask::ConvertXmlToTextTask 0 1.58333333333333 5.08333333333333 0 0.666666666666667 0 0 0 0 1 0 0 0 2 0 0 0 3 61 0 14 5 0 12 0 8 0 0 0 32 0 0 0 3 0 0 0
edu::umd::cs::findbugs::anttask::DataFile 2 1 2.66666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 8 0 3 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::FilterBugsTask 0 1.27777777777778 4.94444444444444 0 0.944444444444444 0 0 0 0 2 0 0 0 2 0 0 0 31 178 0 36 27 0 36 0 30 0 0 0 83 0 0 0 62 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsTask 0 2.38461538461538 8.8974358974359 0 0.794871794871795 0 0 0 0 3 0 0 0 2 0 0 0 17 347 0 119 28 0 39 0 35 0 0 0 99 0 0 0 51 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsTask::ClassLocation 1 1 3 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 3 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
edu::umd::cs::findbugs::anttask::FindBugsViewerTask 0 1.86666666666667 8.46666666666667 0 0.733333333333333 0 0 0 0 1 0 0 0 1 0 0 0 4 127 0 75 11 0 15 0 14 0 0 0 39 0 0 0 4 0 0 0
edu::umd::cs::findbugs::anttask::MineBugHistoryTask 0 1.53846153846154 5.38461538461539 0 0.769230769230769 0 0 0 0 2 0 0 0 2 0 0 0 9 70 0 11 5 0 13 0 8 0 0 0 29 0 0 0 18 0 0 0
