acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
edu::ksu::cis::indus::AbstractEnvironmentBasedTest 0 1 3 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 3 0 3 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0
edu::ksu::cis::indus::AbstractXMLBasedTest 12 1.14285714285714 5.85714285714286 0 0.428571428571429 0 0 0 0 3 0 0 0 2 0 0 0 1 82 0 26 9 4 14 0 8 0 0 0 48 0 0 0 3 0 0 0
edu::ksu::cis::indus::AbstractXMLBasedTestSetup 15 1.27272727272727 4.72727272727273 0 0.545454545454545 0 0 0 0 3 0 0 0 2 0 0 0 3 52 0 13 5 2 11 0 9 0 0 0 31 0 0 0 9 0 0 0
edu::ksu::cis::indus::common::collections::CollectionsUnitTestSuite 0 1 6 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 18 0 11 0 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
edu::ksu::cis::indus::common::collections::CollectionsUtilitiesTest 0 1 5.25 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 21 0 7 1 0 4 0 2 0 0 0 8 0 0 0 0 0 0 0
edu::ksu::cis::indus::common::collections::RetrievableSetTestCase 0 1.125 10.5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8 84 0 19 1 0 8 0 6 0 0 0 8 0 0 0 0 0 0 0
edu::ksu::cis::indus::common::datastructures::AbstractHistoryAwareWorkBagTest 2 1 7 0 0 0 0 0 0 2 0 0 0 3 0 0 0 1 7 0 7 0 1 1 0 1 0 0 0 5 0 0 0 2 0 0 0
edu::ksu::cis::indus::common::datastructures::AbstractWorkBagTest 21 1.5 9.83333333333333 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 59 0 14 1 2 6 0 5 0 0 0 27 0 0 0 1 0 0 0
edu::ksu::cis::indus::common::datastructures::DataStructuresUnitTestSuite 0 1 8.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 25 0 19 0 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
edu::ksu::cis::indus::common::datastructures::FastUnionFindElementTest 0 1.1 9.6 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 96 0 17 2 0 10 0 8 0 0 0 48 0 0 0 1 0 0 0
edu::ksu::cis::indus::common::datastructures::FIFOWorkBagTest 0 1 5.66666666666667 0 0 0 0 0 0 2 0 0 0 4 0 0 0 3 17 0 8 0 0 3 0 1 0 0 0 9 0 0 0 6 0 0 0
edu::ksu::cis::indus::common::datastructures::HistoryAwareFIFOWorkBagTest 0 1 4.5 0 0 0 0 0 0 2 0 0 0 5 0 0 0 2 9 0 5 0 0 2 0 0 0 0 0 5 0 0 0 4 0 0 0
