acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
org::jastadd::ast::AST::CacheMode 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
org::jastadd::Configuration 4 1.64473684210526 7.78947368421053 0 0.144736842105263 0 0 0 0 6 0 0 0 0 0 0 0 24 592 0 77 3 0 76 2 71 0 0 0 243 0 0 0 144 0 0 0
org::jastadd::JastAdd 0 3.70833333333333 19.5 0 1.58333333333333 0 0 0 0 1 0 0 0 0 0 0 0 4 468 0 112 3 0 24 0 7 0 0 0 72 0 0 0 4 0 0 0
jastadd::JastAdd 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::jastadd::JastAddTask 1 1.07017543859649 3.33333333333333 0 0.982456140350877 0 0 0 0 1 0 0 0 1 0 0 0 57 190 0 11 1 1 57 0 55 0 0 0 61 0 0 0 57 0 0 0
jastadd::JastAddTask 0 1 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::jastadd::option::ArgumentParser 4 2.83333333333333 10.6666666666667 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 64 0 33 2 0 6 0 6 0 0 0 20 0 0 0 1 0 0 0
org::jastadd::option::BooleanOption 1 1.25 5.375 0 1.125 0 0 0 0 0 0 0 0 1 0 0 0 1 43 0 17 2 0 8 0 5 0 0 0 22 0 0 0 0 0 0 0
org::jastadd::option::FlagOption 3 1 3.33333333333333 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 10 0 4 0 0 3 0 2 0 0 0 7 0 0 0 0 0 0 0
org::jastadd::option::Option 32 1 4.76190476190476 0 0.952380952380952 0 0 0 0 0 0 0 0 1 0 0 0 21 100 0 16 14 0 21 2 16 0 0 0 21 0 0 0 0 0 0 0
org::jastadd::option::ValueOption 34 1.77777777777778 7.72222222222222 0 1.11111111111111 0 0 0 0 0 0 0 0 1 0 0 0 2 139 0 25 8 0 18 0 14 0 0 0 64 0 0 0 0 0 0 0
org::jastadd::Problem 4 1.6 5.4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 27 0 14 4 2 5 0 4 0 0 0 10 0 0 0 0 0 0 0
org::jastadd::Problem::ProblemBuilder 0 1.28571428571429 4.57142857142857 0 0.714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 5 32 0 7 0 0 7 0 6 0 0 0 9 0 0 0 0 0 0 0
org::jastadd::Problem::Error 0 1 3 0 2 0 0 0 0 1 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 1 0 0 0 3 0 0 0 2 0 0 0
org::jastadd::Problem::Warning 0 1 3 0 2 0 0 0 0 1 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 1 0 0 0 3 0 0 0 2 0 0 0
org::jastadd::jrag::AST::SimpleNode 10 1.6875 4.625 0 0.8125 0 0 0 0 0 0 0 0 1 0 0 0 6 74 0 11 5 0 16 1 16 0 0 0 38 0 0 0 0 0 0 0
org::jastadd::jrag::AST::Token 21 2.5 7.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2 15 0 11 5 1 2 5 2 0 0 0 3 0 0 0 0 0 0 0
org::jastadd::jrag::AST::Token::GTToken 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
org::jastadd::jrag::ClassBodyDeclUnparser 0 1.21290322580645 4.6 0 2 0 0 0 0 2 0 0 0 1 0 0 0 4 713 0 37 0 0 155 0 155 0 0 0 340 0 0 0 8 0 0 0
org::jastadd::jrag::ClassBodyObject 0 1.44444444444444 5.55555555555556 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 50 0 13 8 0 9 8 9 0 0 0 25 0 0 0 2 0 0 0
org::jastadd::jrag::SignatureUnparser 0 1.01973684210526 3.09210526315789 0 2 0 0 0 0 0 0 0 0 1 0 0 0 152 470 0 9 0 0 152 0 152 0 0 0 152 0 0 0 0 0 0 0
org::jastadd::jrag::Unparser 0 1.18125 4.95625 0 1.98125 0 0 0 0 2 0 0 0 1 0 0 0 6 793 0 28 0 0 160 0 160 0 0 0 351 0 0 0 12 0 0 0
org::jastadd::jrag::Util 0 1 15 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 15 0 15 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::jastadd::io::LookaheadReader 32 1.81818181818182 6.36363636363636 0 0.909090909090909 0 0 0 0 0 0 0 0 1 0 0 0 2 70 0 14 5 0 11 0 10 0 0 0 37 0 0 0 0 0 0 0
org::jastadd::tinytemplate::AspectGenerator 0 4 22 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 22 0 22 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0
org::jastadd::tinytemplate::DumbContext 0 1 2.4 0 1.9 0 0 0 0 1 0 0 0 1 0 0 0 10 24 0 3 1 0 10 0 10 0 0 0 12 0 0 0 10 0 0 0
org::jastadd::tinytemplate::EmptyTemplate 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0
org::jastadd::tinytemplate::fragment::AbstractFragment 10 1 3 0 0.142857142857143 0 0 0 0 0 0 0 0 1 0 0 0 7 21 0 3 0 6 7 0 7 0 0 0 7 0 0 0 0 0 0 0
org::jastadd::tinytemplate::fragment::AttributeReference 0 1 3.2 0 1.4 0 0 0 0 3 0 0 0 3 0 0 0 1 16 0 4 1 0 5 0 5 0 0 0 13 0 0 0 3 0 0 0
org::jastadd::tinytemplate::fragment::Concat 0 3 12.2857142857143 0 1.42857142857143 0 0 0 0 3 0 0 0 3 0 0 0 3 86 0 38 3 0 7 0 6 0 0 0 21 0 0 0 9 0 0 0
org::jastadd::tinytemplate::fragment::Conditional 0 2.42857142857143 10.5714285714286 0 1.57142857142857 0 0 0 0 4 0 0 0 2 0 0 0 3 74 0 30 5 0 7 0 6 0 0 0 31 0 0 0 12 0 0 0
org::jastadd::tinytemplate::fragment::EmptyFragment 1 1 2.25 0 1.25 0 0 0 0 0 0 0 0 2 0 0 0 4 9 0 3 1 0 4 1 3 0 0 0 4 0 0 0 0 0 0 0
org::jastadd::tinytemplate::fragment::Fragment 14 1 1 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 9 9 0 1 0 1 9 0 9 0 0 0 9 0 0 0 0 0 0 0
org::jastadd::tinytemplate::fragment::Include 0 1 3 0 1.5 0 0 0 0 3 0 0 0 3 0 0 0 4 12 0 3 1 0 4 0 4 0 0 0 7 0 0 0 12 0 0 0
org::jastadd::tinytemplate::fragment::NestedIndentationFragment 9 2.33333333333333 8.66666666666667 0 1.33333333333333 0 0 0 0 1 0 0 0 2 0 0 0 2 26 0 20 2 4 3 0 2 0 0 0 7 0 0 0 2 0 0 0
org::jastadd::tinytemplate::fragment::NewlineFragment 1 1 2.66666666666667 0 0.833333333333333 0 0 0 0 1 0 0 0 2 0 0 0 5 16 0 3 2 0 6 1 5 0 0 0 9 0 0 0 5 0 0 0
