acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
at::ac::tuwien::infosys::www::pixy::AbstractVulnerabilityAnalysis 42 3.45 16.3 0 1.35 0 0 0 0 12 0 0 0 0 0 0 0 3 326 0 84 3 4 20 0 3 0 0 0 86 0 0 0 36 0 0 0
at::ac::tuwien::infosys::www::pixy::AbstractVulnerabilityAnalysis::InitialTaint 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractAnalysis 24 1.82758620689655 5.79310344827586 0 1.27586206896552 0 0 0 0 5 0 0 0 0 0 0 0 5 168 0 74 5 2 29 0 4 0 0 0 83 0 0 0 25 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractAnalysisInformation 7 1 3 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 4 12 0 3 1 2 4 0 3 0 0 0 5 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractAnalysisNode 14 1 3 0 0.666666666666667 0 0 0 0 1 0 0 0 0 0 0 0 1 9 0 3 1 2 3 0 2 0 0 0 7 0 0 0 1 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractLattice 18 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 3 1 5 2 0 2 0 0 0 4 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractLatticeElement 11 1 1 0 0.4 0 0 0 0 0 0 0 0 1 0 0 0 5 5 0 1 0 6 5 0 5 0 0 0 5 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::AbstractTransferFunction 55 1 2 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 3 0 48 2 0 2 0 0 0 2 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::AliasAnalysis 17 2.26086956521739 12.9130434782609 0 1.47826086956522 0 0 0 0 17 0 0 0 2 0 0 0 15 297 0 48 1 1 23 0 12 0 0 0 79 0 0 0 255 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::AliasLattice 0 2 23.5 0 1.5 0 0 0 0 3 0 0 0 1 0 0 0 2 47 0 44 1 0 2 0 2 0 0 0 6 0 0 0 6 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::AliasLatticeElement 10 1.29032258064516 5.7741935483871 0 0.903225806451613 0 0 0 0 4 0 0 0 2 0 0 0 22 179 0 41 2 0 31 0 31 0 0 0 90 0 0 0 88 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::completegraph::Edge 0 1.4 5.6 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 2 28 0 12 2 0 5 0 5 0 0 0 12 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::completegraph::Graph 1 2.125 12.125 0 1 0 0 0 0 1 0 0 0 0 0 0 0 5 97 0 39 3 0 8 0 5 0 0 0 15 0 0 0 5 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::completegraph::Node 2 1 3.25 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 3 13 0 4 2 0 4 0 4 0 0 0 6 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::DummyAliasAnalysis 0 1 3.28571428571429 0 1.71428571428571 0 0 0 0 0 0 0 0 3 0 0 0 7 23 0 5 0 0 7 0 7 0 0 0 7 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::MayAliases 40 2.17647058823529 8.05882352941176 0 0.823529411764706 0 0 0 0 1 0 0 0 0 0 0 0 13 137 0 31 1 0 17 0 17 0 0 0 27 0 0 0 13 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::MayAliasPair 5 2.73333333333333 10 0 0.8 0 0 0 0 1 0 0 0 0 0 0 0 10 150 0 23 1 0 15 0 15 0 0 0 26 0 0 0 10 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::MustAliases 57 2.15789473684211 9.05263157894737 0 0.894736842105263 0 0 0 0 1 0 0 0 0 0 0 0 10 172 0 27 1 0 19 0 19 0 0 0 35 0 0 0 10 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::MustAliasGroup 26 1.88888888888889 5.88888888888889 0 0.666666666666667 0 0 0 0 1 0 0 0 0 0 0 0 14 106 0 11 0 0 18 0 18 0 0 0 26 0 0 0 14 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::transferfunction::Assign 0 2 17.5 0 2.5 0 0 0 0 3 0 0 0 1 0 0 0 2 35 0 23 4 0 2 0 2 0 0 0 8 0 0 0 6 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::CompositeTransferFunction 2 1.25 3.75 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 4 15 0 6 1 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::DependencyAnalysis 12 2.03703703703704 17.2962962962963 0 1.62962962962963 0 0 0 0 23 0 0 0 2 0 0 0 23 467 0 76 10 0 27 0 7 0 0 0 92 0 0 0 529 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::DependencyLabel 1 1.83333333333333 7.5 0 0.5 0 0 0 0 1 0 0 0 1 0 0 0 3 45 0 16 3 0 6 2 5 0 0 0 16 0 0 0 3 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::DependencyLattice 0 1 41 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 41 0 41 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::DependencyLatticeElement 16 3.81818181818182 19.8863636363636 0 1.56818181818182 0 0 0 0 8 0 0 0 2 0 0 0 6 875 0 126 3 0 44 1 30 0 0 0 181 0 0 0 48 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::DependencySet 2 1.33333333333333 5.66666666666667 0 0.777777777777778 0 0 0 0 0 0 0 0 1 0 0 0 3 51 0 13 3 0 9 2 7 0 0 0 19 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::AbstractNode 5 1 1 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 4 4 0 4 0 0 0 4 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::BuiltinFunctionNode 8 1.5 6.6 0 0.2 0 0 0 0 2 0 0 0 1 0 0 0 9 66 0 25 3 0 10 0 10 0 0 0 24 0 0 0 18 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::CompleteGraphNode 0 1 3 0 0.25 0 0 0 0 0 0 0 0 1 0 0 0 1 12 0 3 0 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::DependencyGraph 23 4.77358490566038 28.377358490566 0 1.92452830188679 0 0 0 0 25 0 0 0 0 0 0 0 7 1504 0 204 8 0 53 0 30 0 0 0 182 0 0 0 175 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::DependencyGraph::NotReachableException 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::DependencyGraph::NodeComparator 0 2 8 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 8 0 8 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::DependencyGraph::ContextSwitch 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::NormalNode 9 1.54545454545455 6.63636363636364 0 0.363636363636364 0 0 0 0 5 0 0 0 1 0 0 0 8 73 0 24 3 0 11 0 11 0 0 0 40 0 0 0 40 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::graph::UninitializedNode 0 1 2.8 0 0.2 0 0 0 0 0 0 0 0 1 0 0 0 2 14 0 3 0 0 5 0 5 0 0 0 8 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::Sink 8 2 6.25 0 1 0 0 0 0 1 0 0 0 1 0 0 0 3 25 0 11 4 0 4 0 4 0 0 0 8 0 0 0 3 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::SinkProblem 0 1 3 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 3 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::transferfunction::CallUnknown 0 1 10 0 1 0 0 0 0 2 0 0 0 1 0 0 0 2 20 0 17 1 0 2 0 2 0 0 0 5 0 0 0 4 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::literal::transferfunction::CallUnknown 0 1 6.5 0 1 0 0 0 0 2 0 0 0 1 0 0 0 2 13 0 10 1 0 2 0 2 0 0 0 5 0 0 0 4 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::dependency::transferfunction::FunctionEntry 0 2 16 0 1 0 0 0 0 3 0 0 0 1 0 0 0 2 32 0 29 1 0 2 0 2 0 0 0 6 0 0 0 6 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::literal::transferfunction::FunctionEntry 0 2 18.5 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 37 0 34 1 0 2 0 2 0 0 0 3 0 0 0 2 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::alias::transferfunction::FunctionEntry 0 2 19 0 1.5 0 0 0 0 4 0 0 0 1 0 0 0 2 38 0 34 2 0 2 0 2 0 0 0 7 0 0 0 8 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::GenericRepository 5 1 15.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2 31 0 28 1 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::globalsmodification::GlobalsModificationAnalysis 1 5.4 26 0 1.8 0 0 0 0 10 0 0 0 0 0 0 0 2 130 0 58 0 0 5 0 2 0 0 0 24 0 0 0 20 0 0 0
at::ac::tuwien::infosys::www::pixy::analysis::inclusiondominator::InclusionDominatorAnalysis 2 1.57142857142857 7 0 1 0 0 0 0 8 0 0 0 2 0 0 0 5 49 0 24 1 0 7 0 3 0 0 0 20 0 0 0 40 0 0 0
