acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
test::net::sourceforge::pmd::AbstractRuleTest 0 1 7.42857142857143 0 0 0 0 0 0 7 0 0 0 0 0 0 0 14 104 0 16 0 0 14 0 14 0 0 0 71 0 0 0 98 0 0 0
test::net::sourceforge::pmd::AbstractRuleTest::MyRule 15 1 4.5 0 0 0 0 0 0 1 0 0 0 4 0 0 0 2 9 0 6 3 0 2 0 1 0 0 0 8 0 0 0 2 0 0 0
test::net::sourceforge::pmd::AbstractRuleTest::MyOtherRule 0 1 4.5 0 0 0 0 0 0 2 0 0 0 4 0 0 0 2 9 0 6 2 0 2 0 1 0 0 0 8 0 0 0 4 0 0 0
test::net::sourceforge::pmd::ant::AntTests 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
test::net::sourceforge::pmd::ant::FormatterTest 0 1 9.66666666666667 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 29 0 20 0 0 3 0 3 0 0 0 5 0 0 0 3 0 0 0
test::net::sourceforge::pmd::ant::PMDTaskTest 0 1.16666666666667 6.33333333333333 0 0 0 0 0 0 2 0 0 0 0 0 0 0 6 38 0 17 0 0 6 0 6 0 0 0 16 0 0 0 12 0 0 0
test::net::sourceforge::pmd::ast::AccessNodeTest 0 1 6.07142857142857 0 0 0 0 0 0 1 0 0 0 1 0 0 0 14 85 0 12 1 0 14 0 14 0 0 0 39 0 0 0 14 0 0 0
test::net::sourceforge::pmd::ast::ASTAnnotationTest 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 12 0 3 1 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
test::net::sourceforge::pmd::ast::ASTAssignmentOperatorTest 0 1 3.75 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 15 0 4 3 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
test::net::sourceforge::pmd::ast::ASTBlockStatementTest 0 1 4.33333333333333 0 0 0 0 0 0 2 0 0 0 1 0 0 0 3 13 0 5 0 0 3 0 3 0 0 0 7 0 0 0 6 0 0 0
