acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
cubeIterator 3 1.54545454545455 16.5454545454545 0 2.45454545454545 0 0 0 0 1 0 0 0 0 0 0 0 3 182 0 35 0 0 11 0 11 0 0 0 24 0 0 0 3 0 0 0
CubeIterator 0 1 21.6666666666667 0 2 0 0 0 0 2 0 0 0 0 0 0 0 3 65 0 35 0 0 3 0 3 0 0 0 16 0 0 0 6 0 0 0
Cudd 0 1.62068965517241 13.5862068965517 0 3.03448275862069 0 0 0 0 1 0 0 0 0 0 0 0 5 394 0 55 0 0 29 0 29 0 0 0 79 0 0 0 5 0 0 0
CuddAdd 0 2.42857142857143 18 0 3.12244897959184 0 0 0 0 4 0 0 0 0 0 0 0 5 882 0 84 0 0 49 0 49 0 0 0 215 0 0 0 20 0 0 0
algebra 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0
CuddLatAdd 0 2.59259259259259 18.8148148148148 0 3.11111111111111 0 0 0 0 4 0 0 0 0 0 0 0 4 1016 0 99 0 0 54 0 54 0 0 0 253 0 0 0 16 0 0 0
lattice 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0
cuddTest 0 1 12 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
apache 1 6 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 18 0 18 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
foo 0 4 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 22 0 22 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
gd 0 8 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 41 0 41 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
