acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::sourcemeter::analyzer::base::batch::decorators::BaseDecorator 18 1.75 8.25 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 33 0 16 3 3 4 0 2 0 0 0 8 0 0 0 0 0 0 0
com::sourcemeter::analyzer::base::batch::decorators::ComplexityPostDecorator 0 4.5 21 0 1.5 0 0 0 0 0 0 0 0 2 0 0 0 2 42 0 39 1 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
com::sourcemeter::analyzer::base::batch::decorators::DefaultDecorator 4 2 9.14285714285714 0 1 0 0 0 0 3 0 0 0 2 0 0 0 3 64 0 38 1 4 7 0 3 0 0 0 38 0 0 0 9 0 0 0
com::sourcemeter::analyzer::base::batch::decorators::FileMetricsDecorator 4 2.33333333333333 9.33333333333333 0 1.5 0 0 0 0 1 0 0 0 2 0 0 0 6 56 0 33 1 4 6 0 2 0 0 0 8 0 0 0 6 0 0 0
com::sourcemeter::analyzer::base::batch::decorators::LicenseDecorator 4 2.66666666666667 10.3333333333333 0 1.33333333333333 0 0 0 0 2 0 0 0 1 0 0 0 2 31 0 24 1 4 3 0 3 0 0 0 7 0 0 0 4 0 0 0
com::sourcemeter::analyzer::base::batch::decorators::ProjectDecorator 0 4 17.6 0 2.2 0 0 0 0 1 0 0 0 1 0 0 0 5 88 0 30 1 0 5 0 2 0 0 0 7 0 0 0 5 0 0 0
com::sourcemeter::analyzer::base::batch::MetricHunterCategory 0 1 3.625 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 29 0 6 3 0 8 0 8 0 0 0 19 0 0 0 0 0 0 0
com::sourcemeter::analyzer::base::batch::ProfileInitializer 6 4 24.6 0 1.6 0 0 0 0 0 0 0 0 0 0 0 0 1 123 0 38 9 0 5 5 2 0 0 0 14 0 0 0 0 0 0 0
com::sourcemeter::analyzer::base::batch::SourceMeterInitializer 26 2.71428571428571 16.6428571428571 0 1 0 0 0 0 3 0 0 0 1 0 0 0 6 233 0 61 9 4 14 0 4 0 0 0 37 0 0 0 18 0 0 0
com::sourcemeter::analyzer::base::batch::SourceMeterSensor 19 1.71428571428571 6.85714285714286 0 2.14285714285714 0 0 0 0 1 0 0 0 1 0 0 0 3 48 0 19 10 4 7 0 5 0 0 0 17 0 0 0 3 0 0 0
