acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
linux 0 1 1 0 1.88888888888889 0 0 0 0 0 0 0 0 0 0 0 0 9 9 0 1 168 0 9 168 9 0 0 0 9 0 0 0 0 0 0 0
posix 16 1 1 0 1.61946902654867 0 0 0 0 0 0 0 0 0 0 0 0 113 113 0 1 93 0 113 93 113 0 0 0 113 0 0 0 0 0 0 0
standard 467 1 1 0 1.72542372881356 0 0 0 0 0 0 0 0 0 0 0 0 295 295 0 1 108 0 295 108 295 0 0 0 295 0 0 0 0 0 0 0
stdio 3 1 1 0 1.4 0 0 0 0 0 0 0 0 0 0 0 0 25 25 0 1 5 0 25 5 25 0 0 0 25 0 0 0 0 0 0 0
stdlib 26 1 1 0 1.67272727272727 0 0 0 0 0 0 0 0 0 0 0 0 55 55 0 1 6 0 55 6 55 0 0 0 55 0 0 0 0 0 0 0
unix 131 1 6.5077519379845 0 2.05038759689922 0 0 0 0 0 0 0 0 0 0 0 0 258 1679 0 1422 195 0 258 195 258 0 0 0 258 0 0 0 0 0 0 0
abstract 152 2.39543726235741 22.2851711026616 0 1.5361216730038 0 0 0 0 106 0 0 0 0 0 0 0 82 5861 0 318 8 0 263 8 263 0 0 0 2288 0 0 0 8692 0 0 0
aliasTable 20 3.59259259259259 26.6666666666667 0 1.88888888888889 0 0 0 0 19 0 0 0 0 0 0 0 4 720 0 88 4 0 27 4 27 0 0 0 254 0 0 0 76 0 0 0
annotationInfo 18 1.53333333333333 10.9333333333333 0 1.53333333333333 0 0 0 0 14 0 0 0 0 0 0 0 4 164 0 30 5 0 15 5 15 0 0 0 76 0 0 0 56 0 0 0
annotationTable 4 1 2.88888888888889 0 1.33333333333333 0 0 0 0 8 0 0 0 0 0 0 0 9 26 0 10 2 0 9 2 9 0 0 0 22 0 0 0 72 0 0 0
cgrammar 4 84.75 483.875 0 1.875 0 0 0 0 83 0 0 0 0 0 0 0 2 3871 0 3749 60 0 8 60 8 0 0 0 649 0 0 0 166 0 0 0
checking 2 13.1 75.4 0 1.4 0 0 0 0 31 0 0 0 0 0 0 0 2 754 0 275 0 0 10 0 10 0 0 0 173 0 0 0 62 0 0 0
clabstract 9 2.94047619047619 26.4642857142857 0 1.20238095238095 0 0 0 0 40 0 0 0 0 0 0 0 27 2223 0 170 20 0 84 20 84 0 0 0 969 0 0 0 1080 0 0 0
clause 16 5.3 11.3 0 1.1 0 0 0 0 1 0 0 0 0 0 0 0 8 113 0 22 0 0 10 0 10 0 0 0 15 0 0 0 8 0 0 0
clauseStack 23 1.84615384615385 10.5384615384615 0 1.23076923076923 0 0 0 0 7 0 0 0 0 0 0 0 10 137 0 32 9 0 13 9 13 0 0 0 35 0 0 0 70 0 0 0
constraint 63 3.47058823529412 28.9411764705882 0 1.79411764705882 0 0 0 0 29 0 0 0 0 0 0 0 10 1968 0 412 8 0 68 8 68 0 0 0 549 0 0 0 290 0 0 0
constraintExpr 65 3.4390243902439 29.109756097561 0 1.51219512195122 0 0 0 0 27 0 0 0 0 0 0 0 4 2387 0 137 4 0 82 4 82 0 0 0 784 0 0 0 108 0 0 0
constraintExprData 59 1.17391304347826 7.82608695652174 0 1.26086956521739 0 0 0 0 6 0 0 0 0 0 0 0 1 180 0 13 8 0 23 8 23 0 0 0 120 0 0 0 6 0 0 0
constraintGeneration 9 5.42307692307692 84.8076923076923 0 1.96153846153846 0 0 0 0 24 0 0 0 0 0 0 0 2 2205 0 412 0 0 26 0 26 0 0 0 464 0 0 0 48 0 0 0
constraintList 66 2.29032258064516 18.258064516129 0 1.45161290322581 0 0 0 0 26 0 0 0 0 0 0 0 10 566 0 50 3 0 31 3 31 0 0 0 212 0 0 0 260 0 0 0
constraintResolve 21 4.39024390243902 35.1219512195122 0 2.02439024390244 0 0 0 0 21 0 0 0 0 0 0 0 2 1440 0 125 0 0 41 0 41 0 0 0 380 0 0 0 42 0 0 0
constraintTerm 29 3.0625 22.125 0 1.1875 0 0 0 0 27 0 0 0 0 0 0 0 15 708 0 119 7 0 32 7 32 0 0 0 201 0 0 0 405 0 0 0
context 548 2.24817518248175 15.7116788321168 0 1.14598540145985 0 0 0 0 61 0 0 0 0 0 0 0 12 4305 0 419 98 0 274 98 274 0 0 0 1422 0 0 0 732 0 0 0
cpperror 34 1.9375 12.5 0 2.25 0 0 0 0 14 0 0 0 0 0 0 0 5 200 0 58 0 0 16 0 16 0 0 0 96 0 0 0 70 0 0 0
cppexp 3 24.7142857142857 145 0 2.14285714285714 0 0 0 0 16 0 0 0 0 0 0 0 1 1015 0 462 8 0 7 8 7 0 0 0 93 0 0 0 16 0 0 0
cpphash 21 4.27272727272727 31.8181818181818 0 2.54545454545455 0 0 0 0 12 0 0 0 0 0 0 0 2 350 0 107 12 0 11 12 11 0 0 0 110 0 0 0 24 0 0 0
cpplib 36 11.1637931034483 66.301724137931 0 2.33620689655172 0 0 0 0 46 0 0 0 0 0 0 0 5 7691 0 726 162 0 116 162 116 0 0 0 1569 0 0 0 230 0 0 0
cppmain 16 1 19.75 0 1.125 0 0 0 0 12 0 0 0 0 0 0 0 2 158 0 75 1 0 8 1 8 0 0 0 72 0 0 0 24 0 0 0
cprim 14 8.75 30.125 0 1.3125 0 0 0 0 6 0 0 0 0 0 0 0 4 482 0 348 1 0 16 1 16 0 0 0 47 0 0 0 24 0 0 0
cscanner 8 7.69767441860465 42.8604651162791 0 1.16279069767442 0 0 0 0 26 0 0 0 0 0 0 0 22 1843 0 1095 35 0 43 35 43 0 0 0 281 0 0 0 572 0 0 0
cscannerHelp 13 6.74 51.94 0 1.08 0 0 0 0 41 0 0 0 0 0 0 0 10 2597 0 593 13 0 50 13 50 0 0 0 566 0 0 0 410 0 0 0
cstring 963 2.47222222222222 14.5416666666667 0 1.73611111111111 0 0 0 0 14 0 0 0 0 0 0 0 13 1047 0 142 0 0 72 0 72 0 0 0 282 0 0 0 182 0 0 0
cstringList 18 2.28571428571429 14.5238095238095 0 1.42857142857143 0 0 0 0 10 0 0 0 0 0 0 0 5 305 0 56 4 0 21 4 21 0 0 0 87 0 0 0 50 0 0 0
cstringSList 14 2.33333333333333 13.8 0 1.4 0 0 0 0 10 0 0 0 0 0 0 0 4 207 0 56 3 0 15 3 15 0 0 0 58 0 0 0 40 0 0 0
cstringTable 15 2.27586206896552 15.1379310344828 0 1.51724137931034 0 0 0 0 13 0 0 0 0 0 0 0 3 439 0 50 11 0 29 11 29 0 0 0 176 0 0 0 39 0 0 0
ctype 334 1.28758169934641 15.4640522875817 0 1.24183006535948 0 0 0 0 26 0 0 0 0 0 0 0 26 2366 0 258 11 0 153 11 153 0 0 0 910 0 0 0 676 0 0 0
ctypeList 0 1.9 10.8 0 1.3 0 0 0 0 9 0 0 0 0 0 0 0 1 108 0 26 6 0 10 6 10 0 0 0 41 0 0 0 9 0 0 0
declaratorInvNodeList 6 1.83333333333333 12 0 1.16666666666667 0 0 0 0 7 0 0 0 0 0 0 0 4 72 0 23 7 0 6 7 6 0 0 0 22 0 0 0 28 0 0 0
declaratorNodeList 12 1.83333333333333 14.1666666666667 0 1.16666666666667 0 0 0 0 8 0 0 0 0 0 0 0 2 85 0 21 7 0 6 7 6 0 0 0 27 0 0 0 16 0 0 0
ekind 32 4.36363636363636 7 0 1.09090909090909 0 0 0 0 4 0 0 0 0 0 0 0 11 77 0 20 1 0 11 1 11 0 0 0 18 0 0 0 44 0 0 0
enumNameList 13 2.23529411764706 14.5882352941176 0 1.29411764705882 0 0 0 0 10 0 0 0 0 0 0 0 7 248 0 35 7 0 17 7 17 0 0 0 78 0 0 0 70 0 0 0
enumNameSList 1 1 1.66666666666667 0 1.5 0 0 0 0 1 0 0 0 0 0 0 0 6 10 0 5 1 0 6 1 6 0 0 0 7 0 0 0 6 0 0 0
exprChecks 20 8.57692307692308 58.3846153846154 0 2.07692307692308 0 0 0 0 28 0 0 0 0 0 0 0 16 1518 0 237 1 0 26 1 26 0 0 0 440 0 0 0 448 0 0 0
exprData 96 2.89090909090909 11.0181818181818 0 1.4 0 0 0 0 15 0 0 0 0 0 0 0 53 606 0 135 0 0 55 0 55 0 0 0 147 0 0 0 795 0 0 0
exprNode 207 7.13020833333333 57.3177083333333 0 1.92708333333333 0 0 0 0 68 0 0 0 0 0 0 0 4 11005 0 707 92 0 192 92 192 0 0 0 2879 0 0 0 272 0 0 0
exprNodeList 32 1.5625 9.4375 0 1.25 0 0 0 0 7 0 0 0 0 0 0 0 11 151 0 32 9 0 16 9 16 0 0 0 48 0 0 0 77 0 0 0
exprNodeSList 3 1.71428571428571 12.5714285714286 0 1.28571428571429 0 0 0 0 7 0 0 0 0 0 0 0 3 88 0 23 7 0 7 7 7 0 0 0 26 0 0 0 21 0 0 0
fcnNodeList 5 1.8 8.6 0 1.1 0 0 0 0 7 0 0 0 0 0 0 0 5 86 0 22 7 0 10 7 10 0 0 0 30 0 0 0 35 0 0 0
fileLib 18 1.91666666666667 15.1666666666667 0 1.25 0 0 0 0 9 0 0 0 0 0 0 0 9 182 0 33 0 0 12 0 12 0 0 0 55 0 0 0 81 0 0 0
fileloc 343 2.01369863013699 10.8904109589041 0 1.41095890410959 0 0 0 0 18 0 0 0 0 0 0 0 15 795 0 130 6 0 73 6 73 0 0 0 274 0 0 0 270 0 0 0
filelocList 26 2.4375 15.4375 0 1.25 0 0 0 0 14 0 0 0 0 0 0 0 2 247 0 69 7 0 16 7 16 0 0 0 86 0 0 0 28 0 0 0
filelocStack 5 2.53846153846154 13.6153846153846 0 1.15384615384615 0 0 0 0 8 0 0 0 0 0 0 0 3 177 0 29 7 0 13 7 13 0 0 0 56 0 0 0 24 0 0 0
fileTable 103 2.4406779661017 17.3050847457627 0 1.83050847457627 0 0 0 0 19 0 0 0 0 0 0 0 5 1021 0 70 25 0 59 25 59 0 0 0 352 0 0 0 95 0 0 0
flagMarker 13 1.63157894736842 7.52631578947368 0 1.36842105263158 0 0 0 0 10 0 0 0 0 0 0 0 18 143 0 28 8 0 19 8 19 0 0 0 60 0 0 0 180 0 0 0
flagMarkerList 10 6.36363636363636 46.0909090909091 0 1.72727272727273 0 0 0 0 13 0 0 0 0 0 0 0 4 507 0 147 7 0 11 7 11 0 0 0 105 0 0 0 52 0 0 0
src/flags 55 2.76 33.78 0 1.28 0 0 0 0 30 0 0 0 0 0 0 0 12 1689 0 321 18 0 50 18 50 0 0 0 374 0 0 0 360 0 0 0
test/flags 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
flagSpec 10 1.85714285714286 11.3571428571429 0 1.28571428571429 0 0 0 0 9 0 0 0 0 0 0 0 1 159 0 19 5 0 14 5 14 0 0 0 71 0 0 0 9 0 0 0
functionClause 6 1.62068965517241 7.58620689655172 0 1.03448275862069 0 0 0 0 13 0 0 0 0 0 0 0 10 220 0 34 12 0 29 12 29 0 0 0 98 0 0 0 130 0 0 0
functionClauseList 4 2.21428571428571 13.8571428571429 0 1.21428571428571 0 0 0 0 12 0 0 0 0 0 0 0 4 194 0 65 3 0 14 3 14 0 0 0 68 0 0 0 48 0 0 0
functionConstraint 16 2.53333333333333 14.2666666666667 0 1.13333333333333 0 0 0 0 10 0 0 0 0 0 0 0 3 214 0 32 12 0 15 12 15 0 0 0 63 0 0 0 30 0 0 0
general 908 1.20588235294118 11.3529411764706 0 1.55882352941176 0 0 0 0 13 0 0 0 0 0 0 0 21 386 0 59 0 0 34 0 34 0 0 0 119 0 0 0 273 0 0 0
genericTable 4 2.38461538461538 14.2692307692308 0 1.5 0 0 0 0 13 0 0 0 0 0 0 0 2 371 0 69 11 0 26 11 26 0 0 0 154 0 0 0 26 0 0 0
src/globals 262 1 31 0 1 0 0 0 0 4 0 0 0 0 0 0 0 1 31 0 31 14 0 1 14 1 0 0 0 12 0 0 0 4 0 0 0
test/globals 9 1 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 14 0 7 6 0 2 6 2 0 0 0 10 0 0 0 0 0 0 0
test/tclauses/globals 1 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 4 1 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0
test/manual/globals 1 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 4 2 0 1 2 1 0 0 0 2 0 0 0 0 0 0 0
globalsClause 5 1.16666666666667 5.5 0 1.16666666666667 0 0 0 0 7 0 0 0 0 0 0 0 6 33 0 10 2 0 6 2 6 0 0 0 18 0 0 0 42 0 0 0
globSet 33 1.3 6.25 0 1.3 0 0 0 0 8 0 0 0 0 0 0 0 18 125 0 22 0 0 20 0 20 0 0 0 57 0 0 0 144 0 0 0
guardSet 38 2.23809523809524 14.1904761904762 0 1.57142857142857 0 0 0 0 10 0 0 0 0 0 0 0 6 298 0 32 2 0 21 2 21 0 0 0 106 0 0 0 60 0 0 0
abstBodyNode 3 2 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 8 3 0 1 3 1 0 0 0 2 0 0 0 0 0 0 0
abstractNode 3 3 16 0 1 0 0 0 0 5 0 0 0 0 0 0 0 1 16 0 16 6 0 1 6 1 0 0 0 9 0 0 0 5 0 0 0
aliasStack 0 1 1 0 1.375 0 0 0 0 0 0 0 0 0 0 0 0 16 16 0 1 5 0 16 5 16 0 0 0 16 0 0 0 0 0 0 0
src/Headers/bool 5 1 1 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 8 8 0 1 0 0 8 0 8 0 0 0 8 0 0 0 0 0 0 0
lib/bool 0 1 1 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
test/bool 0 1 1 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
test/manual/bool 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
test/db2/bool 0 1 1 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
test/db3/bool 0 1 1 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
test/db1/bool 0 1 1 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0
boolStack 0 1 1 0 1.14285714285714 0 0 0 0 0 0 0 0 0 0 0 0 7 7 0 1 4 0 7 4 7 0 0 0 7 0 0 0 0 0 0 0
cgrammar_tokens 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0
claimNode 0 3 18 0 1 0 0 0 0 6 0 0 0 0 0 0 0 1 18 0 18 7 0 1 7 1 0 0 0 7 0 0 0 6 0 0 0
code 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
constants 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
constDeclarationNode 1 2 10 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 10 0 10 2 0 1 2 1 0 0 0 4 0 0 0 3 0 0 0
constraintList2 0 1.13333333333333 3.53333333333333 0 1.26666666666667 0 0 0 0 5 0 0 0 0 0 0 0 15 53 0 19 6 0 15 6 15 0 0 0 26 0 0 0 75 0 0 0
cpp 0 2.5 20.6 0 1.1 0 0 0 0 15 0 0 0 0 0 0 0 10 206 0 75 1 0 10 1 10 0 0 0 93 0 0 0 150 0 0 0
declaratorInvNode 2 1.5 7 0 1 0 0 0 0 3 0 0 0 0 0 0 0 2 14 0 9 2 0 2 2 2 0 0 0 9 0 0 0 6 0 0 0
declaratorNode 10 1.5 6.5 0 1 0 0 0 0 3 0 0 0 0 0 0 0 2 13 0 9 3 0 2 3 2 0 0 0 6 0 0 0 6 0 0 0
dmalloc 1 1 1 0 2.16666666666667 0 0 0 0 0 0 0 0 0 0 0 0 24 24 0 1 6 0 24 6 24 0 0 0 24 0 0 0 0 0 0 0
enumSpecNode 8 3 16 0 1 0 0 0 0 5 0 0 0 0 0 0 0 1 16 0 16 4 0 1 4 1 0 0 0 9 0 0 0 5 0 0 0
exportNode 7 8 28 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 28 0 28 14 0 1 14 1 0 0 0 17 0 0 0 3 0 0 0
exposedNode 4 2 10 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 10 0 10 3 0 1 3 1 0 0 0 6 0 0 0 3 0 0 0
fcnNode 0 2 17.5 0 1 0 0 0 0 7 0 0 0 0 0 0 0 2 35 0 18 12 0 2 12 2 0 0 0 14 0 0 0 14 0 0 0
fileId 48 1 1 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 1 0 4 1 4 0 0 0 4 0 0 0 0 0 0 0
fileIdList 6 1 1 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 1 0 0 6 0 6 0 0 0 6 0 0 0 0 0 0 0
flag_codes 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
flags 7 3.84444444444444 24.7111111111111 0 1.24444444444444 0 0 0 0 27 0 0 0 0 0 0 0 40 1112 0 321 0 0 45 0 45 0 0 0 256 0 0 0 1080 0 0 0
forwardTypes 1117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0
globalList 3 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
globals 8 1.5 6 0 1.16666666666667 0 0 0 0 5 0 0 0 0 0 0 0 6 36 0 31 16 0 6 16 6 0 0 0 17 0 0 0 30 0 0 0
handle 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
help 2 1.75 42.6666666666667 0 1.08333333333333 0 0 0 0 11 0 0 0 0 0 0 0 1 512 0 121 0 0 12 0 12 0 0 0 75 0 0 0 11 0 0 0
idDecl 26 1 10.15 0 1.45 0 0 0 0 13 0 0 0 0 0 0 0 3 203 0 25 3 0 20 3 20 0 0 0 105 0 0 0 39 0 0 0
idDeclList 3 1.2 13.4 0 1.2 0 0 0 0 7 0 0 0 0 0 0 0 4 67 0 18 7 0 5 7 5 0 0 0 21 0 0 0 28 0 0 0
importNode 0 1.25 9.5 0 1 0 0 0 0 6 0 0 0 0 0 0 0 4 38 0 14 2 0 4 2 4 0 0 0 20 0 0 0 24 0 0 0
importNodeList 7 1.2 14.2 0 1.2 0 0 0 0 8 0 0 0 0 0 0 0 3 71 0 20 7 0 5 7 5 0 0 0 20 0 0 0 24 0 0 0
imports 3 1 109 0 2.33333333333333 0 0 0 0 23 0 0 0 0 0 0 0 3 327 0 227 0 0 3 0 3 0 0 0 76 0 0 0 69 0 0 0
